pair	label	qname	de_a	nmr_a	ms_a	s1_a	s2_a	cm_a	rl_a	ts_a	mapq_a	nintron_a	alnlen_a	de_b	nmr_b	ms_b	s1_b	s2_b	cm_b	rl_b	ts_b	mapq_b	nintron_b	alnlen_b
RABL2A~RABL2B	genuine	m64076_221110_210557/44957913/ccs	0.007600000128149986	0.0076	1998	2210	2183	663	292	+	51	9	2499	0.01360000018030405	0.01361	1608	2137		583	292	+	0	9	2499
RABL2A~RABL2B	genuine	m64076_221110_210557/5177357/ccs	0.00839999970048666	0.01197	3977	4407		1377	773	+	0	3	5098	0.02239999920129776	0.02373	2124	4053		1164	773	+	0	3	5098
RABL2A~RABL2B	genuine	m64076_221110_210557/174457309/ccs	0.007499999832361937	0.00747	2478	2782		865	237	+	0	10	3078	0.016899999231100082	0.01689	1723	2606		756	237	+	0	10	3078
RABL2A~RABL2B	genuine	m64076_221110_210557/852906/ccs	0.005900000222027302	0.00585	3187	3418	3410	1039	382	+	15	8	3759	0.010599999688565731	0.01091	2718	3330		954	382	+	0	8	3759
RABL2A~RABL2B	genuine	m64076_221110_210557/117441701/ccs	0.009700000286102295	0.00973	1762	2144		631	108	+	0	7	2363	0.0017000000225380063	0.00169	2257	2247	2144	716	108	+	60	7	2363
RABL2A~RABL2B	genuine	m64076_221110_210557/162202737/ccs	0.013299999758601189	0.01436	1312	1715		490	281	+	0	6	2019	0.01679999940097332	0.01783	1131	1677		460	281	+	0	6	2019
RABL2A~RABL2B	genuine	m64076_221110_210557/114164412/ccs	0.011500000022351742	0.01412	2126	2663		784	298	+	0	10	3046	0.014399999752640724	0.01707	1893	2604		746	298	+	0	10	3046
RABL2A~RABL2B	genuine	m64076_221110_210557/19335878/ccs	0.010599999688565731	0.01065	1492	1764		507	288	+	0	7	2066	0.01600000075995922	0.01597	1207	1693		458	288	+	0	7	2066
RABL2A~RABL2B	genuine	m64076_221110_210557/56232265/ccs	0.00989999994635582	0.00986	1884	2238		654	281	+	0	7	2536	0.014999999664723873	0.01498	1546	2161		602	281	+	0	7	2536
RABL2A~RABL2B	genuine	m64076_221110_210557/76677965/ccs	0.015399999916553497	0.0215	854	1192		345	24	+	0	10	1442	0.002099999925121665	0.00277	1360	1312	1210	435	24	+	60	10	1442
RABL2A~RABL2B	genuine	m64076_221110_210557/152896071/ccs	0.012000000104308128	0.01587	1424	1761		505	267	+	0	8	2079	0.01730000041425228	0.02116	1139	1690		456	267	+	0	8	2079
RABL2A~RABL2B	genuine	m64076_221110_210557/91489426/ccs	0.0052999998442828655	0.00526	3116	3327	3302	1013	382	+	40	5	3611	0.012199999764561653	0.01218	2465	3188		896	382	+	0	5	3611
RABL2A~RABL2B	genuine	m64076_221110_210557/42404304/ccs	0.012299999594688416	0.01623	1377	1728		494	267	+	0	7	2033	0.018200000748038292	0.02213	1066	1652		440	267	+	0	7	2033
RABL2A~RABL2B	genuine	m64076_221110_210557/88932536/ccs	0.05869999900460243	0.07523	926	1343	1329	289	108	+	20	9	2366	0.06369999796152115	0.07819	815	1304		260	108	+	0	9	2366
RABL2A~RABL2B	genuine	m64076_221110_210557/109511736/ccs	0.011900000274181366	0.01583	1392	1718		495	267	+	0	7	2021	0.017799999564886093	0.02177	1081	1642		441	267	+	0	7	2021
RABL2A~RABL2B	genuine	m64076_221110_210557/97322890/ccs	0.006899999920278788	0.00694	2946	3362	3347	1030	211	+	22	5	3603	0.01360000018030405	0.0136	2322	3239		928	211	+	0	5	3603
RABL2A~RABL2B	genuine	m64076_221110_210557/40502829/ccs	0.014700000174343586	0.0177	1422	1942		545	281	+	0	9	2317	0.01979999989271164	0.02287	1111	1877		496	281	+	0	9	2317
RABL2A~RABL2B	genuine	m64076_221110_210557/127601399/ccs	0.012299999594688416	0.0123	1323	1663		472	288	+	0	6	1952	0.018400000408291817	0.01844	1012	1588		419	288	+	0	6	1952
RABL2A~RABL2B	genuine	m64076_221110_210557/172819574/ccs	0.006300000008195639	0.00632	3434	3775	3760	1146	382	+	28	7	4114	0.012199999764561653	0.01215	2809	3649		1031	382	+	0	7	4114
RABL2A~RABL2B	genuine	m64076_221110_210557/28967920/ccs	0.02410000003874302	0.02799	802	1818		463	311	+	0	8	2251	0.0272000003606081	0.0311	621	1767		444	311	+	0	8	2251
RABL2A~RABL2B	genuine	m64076_221110_210557/72549410/ccs	0.004800000227987766	0.00479	2375	2436	2412	748	290	+	45	9	2713	0.010300000198185444	0.01032	1985	2366		672	290	+	0	9	2713
RABL2A~RABL2B	genuine	m64076_221110_210557/788698/ccs	0.011599999852478504	0.01159	1024	1237		356	108	+	0	9	1467	0.00139999995008111	0.00136	1415	1331	1237	417	108	+	60	9	1467
RABL2A~RABL2B	genuine	m64076_221110_210557/30212610/ccs	0.010200000368058681	0.01023	1577	1827		517	293	+	0	8	2150	0.0	0.0	2150	1926	1827	619	293	+	60	8	2150
RABL2A~RABL2B	genuine	m64076_221110_210557/50924374/ccs	0.003100000089034438	0.00306	2107	2035	2011	628	290	+	55	9	2289	0.009200000204145908	0.00917	1743	1967		560	290	+	0	9	2289
RABL2A~RABL2B	genuine	m64076_221110_210557/160302080/ccs	0.009600000455975533	0.00964	1086	1280		365	286	+	0	1	1452	0.014499999582767487	0.01446	905	1237		327	286	+	0	1	1452
RABL2A~RABL2B	genuine	m64076_221110_210557/47907317/ccs	0.05689999833703041	0.06049	801	1193		238	237	+	0	7	2050	0.06319999694824219	0.06683	670	1140		215	237	+	0	7	2050
RABL2A~RABL2B	genuine	m64076_221110_210557/82577813/ccs	0.010599999688565731	0.01397	1492	1775		507	286	+	0	7	2076	0.016899999231100082	0.02023	1155	1693		450	286	+	0	7	2076
RABL2A~RABL2B	genuine	m64076_221110_210557/68814343/ccs	0.007400000002235174	0.00743	1952	2133		624	376	+	0	8	2422	0.01360000018030405	0.01363	1563	2048		567	376	+	0	8	2422
RABL2A~RABL2B	genuine	m64076_221110_210557/90638189/ccs	0.010599999688565731	0.01056	1509	1794		514	286	+	0	7	2084	0.01679999940097332	0.01679	1172	1712		457	286	+	0	7	2084
RABL2A~RABL2B	genuine	m64076_221110_210557/38340546/ccs	0.014999999664723873	0.02154	727	935		272	115	+	0	8	1207	0.0017000000225380063	0.00166	1155	1043	967	339	115	+	60	8	1207
RABL2A~RABL2B	genuine	m64076_221110_210557/2558241/ccs	0.01489999983459711	0.01797	1187	1622		459	281	+	0	6	1948	0.022099999710917473	0.02515	824	1549		400	281	+	0	6	1948
RABL2A~RABL2B	genuine	m64076_221110_210557/83626749/ccs	0.008200000040233135	0.00817	2120	2466		733	108	+	0	9	2693	0.000699999975040555	0.00074	2641	2569	2466	827	108	+	60	9	2693
RABL2A~RABL2B	genuine	m64076_221110_210557/79758437/ccs	0.00570000009611249	0.00617	3450	3721	3694	1135	382	+	29	7	4052	0.011800000444054604	0.01234	2799	3582		1013	382	+	0	7	4052
RABL2A~RABL2B	genuine	m64076_221110_210557/131336817/ccs	0.011800000444054604	0.01299	2828	3628	3579	1102	408	+	22	4	4079	0.02290000021457672	0.02942	1635	3325		946	408	+	0	4	4079
RABL2A~RABL2B	genuine	m64076_221110_210557/176425474/ccs	0.00860000029206276	0.00861	1442	1619		465	291	+	0	4	1859	0.00430000014603138	0.0043	1651	1662	1619	500	291	+	60	4	1859
RABL2A~RABL2B	genuine	m64076_221110_210557/10487162/ccs	0.0013000000035390258	0.00222	3047	2946	2837	959	290	+	60	4	3156	0.011900000274181366	0.01503	1967	2560		723	290	+	0	1	2860
RABL2A~RABL2B	genuine	m64076_221110_210557/175704325/ccs	0.023499999195337296	0.02411	1068	1965		491	382	+	0	6	2489	0.029100000858306885	0.02973	736	1892		447	382	+	0	6	2489
RABL2A~RABL2B	genuine	m64076_221110_210557/125435949/ccs	0.010499999858438969	0.01049	1593	1897		549	281	+	0	8	2192	0.014999999664723873	0.01505	1333	1837		509	281	+	0	8	2192
RABL2A~RABL2B	genuine	m64076_221110_210557/37946453/ccs	0.012900000438094139	0.01796	1027	1316		387	24	+	0	10	1559	0.0	0.0	1559	1440	1330	483	24	+	60	10	1559
RABL2A~RABL2B	genuine	m64076_221110_210557/51315647/ccs	0.00430000014603138	0.00432	2260	2287	2256	698	290	+	59	9	2546	0.010599999688565731	0.0106	1844	2212		618	290	+	0	9	2546
RABL2A~RABL2B	genuine	m64076_221110_210557/83364668/ccs	0.010499999858438969	0.01245	1794	2195	2178	633	298	+	60	8	2490	0.01730000041425228	0.01928	1352	2126		552	298	+	0	8	2490
RABL2A~RABL2B	genuine	m64076_221110_210557/21825776/ccs	0.010900000110268593	0.01096	1564	1874		546	312	+	0	8	2190	0.013700000010430813	0.01373	1404	1833		516	312	+	0	8	2185
RABL2A~RABL2B	genuine	m64076_221110_210557/47055185/ccs	0.01679999940097332	0.01847	663	991		283	0	+	0	8	1191	0.0066999997943639755	0.0084	976	1058	996	333	0	+	60	8	1191
RABL2A~RABL2B	genuine	m64076_221110_210557/12125069/ccs	0.009200000204145908	0.01157	1579	1744		525	517	+	0	0	2075	0.024800000712275505	0.03759	723	1553		430	517	+	0	0	2075
RABL2A~RABL2B	genuine	m64076_221110_210557/32180477/ccs	0.011900000274181366	0.01191	1099	1350		391	92	+	0	10	1595	0.0019000000320374966	0.00188	1516	1442	1352	452	92	+	60	10	1595
RABL2A~RABL2B	genuine	m64076_221110_210557/35194269/ccs	0.010200000368058681	0.01023	1576	1844		532	288	+	0	8	2150	0.015300000086426735	0.01535	1291	1773		483	288	+	0	8	2150
RABL2A~RABL2B	genuine	m64076_221110_210557/82117184/ccs	0.011300000362098217	0.01129	1375	1639		472	288	+	0	6	1949	0.017400000244379044	0.01744	1064	1565		422	288	+	0	6	1949
RABL2A~RABL2B	genuine	m64076_221110_210557/178128790/ccs	0.01140000019222498	0.01144	1532	1877		539	312	+	0	8	2185	0.0142000000923872	0.0142	1375	1829		512	312	+	0	8	2183
RABL2A~RABL2B	genuine	m64076_221110_210557/22153014/ccs	0.010700000450015068	0.01475	1609	1922		555	286	+	0	8	2237	0.017000000923871994	0.02101	1246	1835		500	286	+	0	8	2237
RABL2A~RABL2B	genuine	m64076_221110_210557/69927544/ccs	0.010499999858438969	0.01046	1043	1246		378	0	+	0	9	1434	0.00139999995008111	0.00139	1382	1315	1251	436	0	+	60	9	1434
RABL2A~RABL2B	genuine	m64076_221110_210557/85328450/ccs	0.0015999999595806003	0.00164	1164	1182		393	81	+	0	1	1216	0.012299999594688416	0.01234	826	1103		339	81	+	0	1	1216
RABL2A~RABL2B	genuine	m64076_221110_210557/144442978/ccs	0.010200000368058681	0.01022	1507	1766		509	286	+	0	7	2055	0.016499999910593033	0.01655	1170	1684		452	286	+	0	7	2055
RABL2A~RABL2B	genuine	m64076_221110_210557/73728603/ccs	0.006300000008195639	0.01381	2657	2869		885	459	+	0	0	3185	0.012900000438094139	0.0248	2111	2786		777	459	+	0	0	3185
RABL2A~RABL2B	genuine	m64076_221110_210557/177472733/ccs	0.003700000001117587	0.00367	1231	1235		395	0	+	0	9	1361	0.009499999694526196	0.00955	1023	1196		360	0	+	0	9	1361
RABL2A~RABL2B	genuine	m64076_221110_210557/113770901/ccs	0.016200000420212746	0.01745	2033	3101		833	397	+	0	5	3553	0.02160000056028366	0.0228	1539	2973		757	397	+	0	5	3553
RABL2A~RABL2B	genuine	m64076_221110_210557/11602754/ccs	0.010700000450015068	0.01067	1556	1856		532	281	+	0	8	2156	0.014399999752640724	0.01438	1349	1809		501	281	+	0	8	2156
RABL2A~RABL2B	genuine	m64076_221110_210557/160302289/ccs	0.008700000122189522	0.00867	1964	2223		631	395	+	0	7	2538	0.014600000344216824	0.01458	1575	2137		567	395	+	0	7	2538
RABL2A~RABL2B	genuine	m64076_221110_210557/140050897/ccs	0.01209999993443489	0.01587	1637	2052		592	312	+	0	9	2395	0.015399999916553497	0.01921	1430	1987		560	312	+	0	9	2395
RABL2A~RABL2B	genuine	m64076_221110_210557/113707717/ccs	0.017500000074505806	0.01803	2256	3883		1064	94	+	0	1	4215	0.02419999986886978	0.02467	1529	3702		976	94	+	0	1	4215
RABL2A~RABL2B	genuine	m64076_221110_210557/152634590/ccs	0.008500000461935997	0.00849	1009	1151		351	0	+	0	8	1296	0.0	0.0	1296	1204	1168	408	0	+	60	8	1296
RABL2A~RABL2B	genuine	m64076_221110_210557/18418386/ccs	0.011900000274181366	0.01192	1330	1630		467	288	+	0	6	1930	0.01810000091791153	0.01813	1019	1554		413	288	+	0	6	1930
RABL2A~RABL2B	genuine	m64076_221110_210557/39847620/ccs	0.010300000198185444	0.01029	1566	1824		516	293	+	0	8	2139	0.0	0.0	2139	1923	1824	618	293	+	60	8	2139
RABL2A~RABL2B	genuine	m64076_221110_210557/135005413/ccs	0.010200000368058681	0.01018	1514	1773		511	286	+	0	7	2062	0.016499999910593033	0.01649	1177	1691		454	286	+	0	7	2062
RABL2A~RABL2B	genuine	m64076_221110_210557/41158888/ccs	0.009100000374019146	0.00913	1168	1344		386	281	+	0	2	1534	0.013000000268220901	0.01304	1013	1302		360	281	+	0	2	1534
RABL2A~RABL2B	genuine	m64076_221110_210557/92800857/ccs	0.009200000204145908	0.00918	994	1149		351	0	+	0	8	1307	0.013799999840557575	0.01377	839	1103		324	0	+	0	8	1307
RABL2A~RABL2B	genuine	m64076_221110_210557/162727172/ccs	0.010700000450015068	0.01071	1548	1835		531	312	+	0	8	2148	0.014399999752640724	0.01443	1341	1777		497	312	+	0	8	2148
RABL2A~RABL2B	genuine	m64076_221110_210557/168952493/ccs	0.01489999983459711	0.02027	893	1237		358	0	+	0	10	1480	0.004699999932199717	0.00473	1295	1334	1242	419	0	+	60	10	1480
RABL2A~RABL2B	genuine	m64076_221110_210557/50791546/ccs	0.018200000748038292	0.02058	2225	2159	2130	582	202	+	14	4	2527	0.02410000003874302	0.02651	2148	2074		535	202	+	0	4	2527
RABL2A~RABL2B	genuine	m64076_221110_210557/28968516/ccs	0.08340000361204147	0.10598	1089	1397		254	18	+	0	1	3312	0.08959999680519104	0.11292	944	1240		216	18	+	0	1	3312
RABL2A~RABL2B	genuine	m64076_221110_210557/22480207/ccs	0.005100000184029341	0.00515	2524	2632	2607	812	336	+	43	9	2915	0.010599999688565731	0.01063	2108	2559		730	336	+	0	9	2915
RABL2A~RABL2B	genuine	m64076_221110_210557/162267850/ccs	0.010700000450015068	0.01075	1405	1664		479	288	+	0	6	1953	0.016899999231100082	0.0169	1094	1588		425	288	+	0	6	1953
RABL2A~RABL2B	genuine	m64076_221110_210557/54723683/ccs	0.009100000374019146	0.01718	2439	2833		842	464	+	0	0	3201	0.013100000098347664	0.02562	2100	2773		789	464	+	0	0	3201
RABL2A~RABL2B	genuine	m64076_221110_210557/12059336/ccs	0.010700000450015068	0.0107	1551	1832		535	273	+	0	8	2150	0.015300000086426735	0.01535	1291	1772		495	273	+	0	8	2150
RABL2A~RABL2B	genuine	m64076_221110_210557/13567431/ccs	0.0649000033736229	0.0956	1194	1603	1621	337	154	+	18	10	3389	0.0697999969124794	0.10062	1055	1512		290	154	+	0	10	3389
RABL2A~RABL2B	genuine	m64076_221110_210557/21825202/ccs	0.012199999764561653	0.01607	1399	1727		503	265	+	0	7	2054	0.017999999225139618	0.02191	1088	1656		450	265	+	0	7	2054
RABL2A~RABL2B	genuine	m64076_221110_210557/57934961/ccs	0.010099999606609344	0.01013	1598	1888		542	286	+	0	7	2172	0.015599999576807022	0.01565	1287	1810		491	286	+	0	7	2172
RABL2A~RABL2B	genuine	m64076_221110_210557/82247825/ccs	0.003800000064074993	0.00381	1894	1856	1832	570	289	+	59	8	2102	0.010499999858438969	0.01047	1530	1782		504	289	+	0	8	2102
RABL2A~RABL2B	genuine	m64076_221110_210557/20775142/ccs	0.011099999770522118	0.01786	951	1207		361	47	+	0	4	1344	0.014100000262260437	0.02083	847	1181		346	47	+	0	4	1344
RABL2A~RABL2B	genuine	m64076_221110_210557/79431329/ccs	0.012900000438094139	0.01851	2096	2694		758	498	+	0	0	3188	0.0006000000284984708	0.00125	3132	2970	2724	927	498	+	60	0	3188
RABL2A~RABL2B	genuine	m64076_221110_210557/175834531/ccs	0.011300000362098217	0.01127	1315	1590		448	288	+	0	5	1863	0.01769999973475933	0.01771	1004	1514		394	288	+	0	5	1863
RABL2A~RABL2B	genuine	m64076_221110_210557/132975183/ccs	0.004100000020116568	0.00405	2209	2226	2192	681	290	+	60	8	2469	0.010900000110268593	0.01094	1767	2148		596	290	+	0	8	2469
RABL2A~RABL2B	genuine	m64076_221110_210557/16516440/ccs	0.003000000026077032	0.00301	1529	1483	1456	451	290	+	60	3	1659	0.00839999970048666	0.00844	1295	1436		399	290	+	0	3	1659
RABL2A~RABL2B	genuine	m64076_221110_210557/48039857/ccs	0.004000000189989805	0.00398	3603	3769	3741	1186	290	+	46	6	4019	0.01119999960064888	0.0112	2848	3626		1042	290	+	0	6	4019
RABL2A~RABL2B	genuine	m64076_221110_210557/168757052/ccs	0.01080000028014183	0.01082	1459	1756		500	288	+	0	6	2033	0.016200000420212746	0.01623	1174	1678		454	288	+	0	6	2033
RABL2A~RABL2B	genuine	m64076_221110_210557/42074651/ccs	0.0032999999821186066	0.00328	1950	1891	1867	583	290	+	58	8	2132	0.009800000116229057	0.00985	1586	1823		515	290	+	0	8	2132
RABL2A~RABL2B	genuine	m64076_221110_210557/135595908/ccs	0.010599999688565731	0.01065	1424	1685		486	288	+	0	6	1972	0.016699999570846558	0.01673	1113	1609		432	288	+	0	6	1972
RABL2A~RABL2B	genuine	m64076_221110_210557/74122226/ccs	0.011900000274181366	0.01195	807	1004		297	0	+	0	8	1172	0.0	0.0	1172	1073	1021	365	0	+	60	8	1172
RABL2A~RABL2B	genuine	m64076_221110_210557/28247820/ccs	0.06589999794960022	0.09397	261	366		77	0	+	0	3	713	0.065700002014637	0.08836	266	383	366	82	0	+	21	3	713
RABL2A~RABL2B	genuine	m64076_221110_210557/5113070/ccs	0.0017999999690800905	0.00177	1075	1044		328	24	+	0	6	1127	0.010599999688565731	0.01065	815	985		294	24	+	0	6	1127
RABL2A~RABL2B	genuine	m64076_221110_210557/168822058/ccs	0.07980000227689743	0.0949	784	1028		161	131	+	0	8	2371	0.0828000009059906	0.09739	702	963		139	131	+	0	7	2259
RABL2A~RABL2B	genuine	m64076_221110_210557/61408343/ccs	0.01119999960064888	0.01895	626	799		244	0	+	0	4	897	0.0	0.0	897	841	808	286	0	+	60	5	897
RABL2A~RABL2B	genuine	m64076_221110_210557/264973/ccs	0.010700000450015068	0.01074	1407	1669		481	288	+	0	6	1955	0.016899999231100082	0.01688	1096	1593		427	288	+	0	6	1955
RABL2A~RABL2B	genuine	m64076_221110_210557/17171778/ccs	0.010900000110268593	0.01291	2767	3508		1058	108	+	0	7	3872	0.001500000013038516	0.00155	3716	3734	3508	1219	108	+	60	7	3872
RABL2A~RABL2B	genuine	m64076_221110_210557/98698588/ccs	0.011800000444054604	0.01186	1513	1864		541	312	+	0	8	2193	0.014999999664723873	0.01505	1332	1824		512	312	+	0	8	2193
RABL2A~RABL2B	genuine	m64076_221110_210557/86508947/ccs	0.007400000002235174	0.00741	1741	1886		561	281	+	0	8	2159	0.012000000104308128	0.01204	1482	1828		524	281	+	0	8	2159
RABL2A~RABL2B	genuine	m64076_221110_210557/89587803/ccs	0.015699999406933784	0.04533	1633	2382		688	460	+	0	1	2890	0.017100000753998756	0.04394	1541	2384		668	460	+	0	1	2890
RABL2A~RABL2B	genuine	m64076_221110_210557/177735061/ccs	0.011599999852478504	0.01512	1567	1940		557	267	+	0	8	2248	0.01600000075995922	0.01957	1308	1865		515	267	+	0	8	2248
RABL2A~RABL2B	genuine	m64076_221110_210557/156371385/ccs	0.011699999682605267	0.01167	1429	1750		495	288	+	0	7	2057	0.017000000923871994	0.01702	1144	1679		446	288	+	0	7	2057
RABL2A~RABL2B	genuine	m64076_221110_210557/30015646/ccs	0.012000000104308128	0.01203	798	1000		295	0	+	0	8	1164	0.0008999999845400453	0.00086	1137	1065	1017	356	0	+	60	8	1164
RABL2A~RABL2B	genuine	m64076_221110_210557/22218232/ccs	0.01209999993443489	0.01211	1410	1778		498	281	+	0	7	2065	0.016499999910593033	0.01646	1177	1702		465	281	+	0	7	2065
RABL2A~RABL2B	genuine	m64076_221110_210557/130875568/ccs	0.011599999852478504	0.01164	838	1032		310	0	+	0	8	1203	0.0017000000225380063	0.00166	1151	1096	1037	362	0	+	60	8	1203
RABL2A~RABL2B	genuine	m64076_221110_210557/139921871/ccs	0.007600000128149986	0.01052	2511	2967		894	109	+	0	1	3137	0.013700000010430813	0.01658	2017	2907		817	109	+	0	1	3137
RABL2A~RABL2B	genuine	m64076_221110_210557/50069865/ccs	0.009800000116229057	0.00976	1678	1947		565	286	+	0	8	2253	0.01549999974668026	0.01553	1341	1865		508	286	+	0	8	2253
RABL2A~RABL2B	genuine	m64076_221110_210557/39977339/ccs	0.04390000179409981	0.06423	857	2011		455	95	+	0	7	2958	0.03550000116229057	0.05375	1230	2219	2012	538	95	+	60	7	2958
RABL2A~RABL2B	genuine	m64076_221110_210557/2359900/ccs	0.010300000198185444	0.01028	1494	1757		506	281	+	0	7	2042	0.015699999406933784	0.01567	1208	1686		459	281	+	0	7	2042
RABL2A~RABL2B	genuine	m64076_221110_210557/42009093/ccs	0.014000000432133675	0.01978	859	1142		336	0	+	0	9	1365	0.002899999963119626	0.00293	1261	1237	1147	398	0	+	60	9	1365
RABL2A~RABL2B	genuine	m64076_221110_210557/29099873/ccs	0.00419999985024333	0.00423	1262	1291		410	0	+	0	9	1419	0.007000000216066837	0.00705	1159	1262		394	0	+	0	9	1419
RABL2A~RABL2B	genuine	m64076_221110_210557/73336979/ccs	0.00800000037997961	0.00959	2468	2875		872	140	+	0	9	3129	0.012199999764561653	0.01374	2131	2787		807	140	+	0	9	3129
RABL2A~RABL2B	genuine	m64076_221110_210557/174852855/ccs	0.010200000368058681	0.01493	1221	1432		415	108	+	0	9	1675	0.0012000000569969416	0.00119	1623	1526	1432	483	108	+	60	9	1675
RABL2A~RABL2B	genuine	m64076_221110_210557/144574899/ccs	0.008200000040233135	0.00823	3025	2997		916	148	+	0	2	3158	0.017999999225139618	0.01805	2873	2794		794	148	+	0	2	3158
RABL2A~RABL2B	genuine	m64076_221110_210557/64227430/ccs	0.014600000344216824	0.01799	1268	1716		480	281	+	0	7	2057	0.020400000736117363	0.02382	957	1651		431	281	+	0	7	2057
