missed_gene	chrom	start	strand	ident	famsize	real_introns	ST_tx	dec_secondary	dec_primary	sisters
LOC129523468	NC_073236.2	140592917	-	0.989	6	9	0	15	1	LOC101142457;LOC129523511;LOC134756389;RABL2A;RABL2B
LOC129528175	NC_073241.2	23444184	-	0.984	16	5	0	15	3	GGT1;GGTLC1;GGTLC2;LOC101149759;LOC109024567;LOC109024570;LOC129523490;LOC129524426;LOC129529427;LOC129529588;LOC129529621;LOC129529623;LOC129529624;LOC134756364;LOC134756365
LOC129525220	NC_073224.2	129726451	+	0.961	15	1	0	14	2	LOC101126280;LOC101128712;LOC101136504;LOC101137462;LOC101137655;LOC101138029;LOC101138407;LOC101139500;LOC109026610;LOC129527277;MAB21L3;SLC30A8;SMIM10L1;ZNF440
LOC134757814	NC_073224.2	223558485	-	0.989	5	0	0	14	5	LOC115932867;LOC129533282;LOC129533340;LOC134757816
LOC101129521	NC_073240.2	72180843	-	0.988	9	0	0	13	0	LOC101126442;LOC101127166;LOC101137306;LOC101141368;LOC101146784;LOC115930192;LOC115935032;RPL17
LOC129527454	NC_073242.2	67067472	+	0.965	3	8	0	13	0	LOC129527819;SLC9B1
LOC101131829	NC_073229.2	104200054	-	0.98	2	2	0	12	3	ARHGAP21
LOC101143341	NC_073236.2	25827795	+	0.97	2	8	0	12	0	LOC115931021
LOC129529598	NC_086018.1	20132014	-	0.984	15	4	0	11	42	LOC101129569;LOC101144823;LOC101149491;LOC109023877;LOC115931276;LOC115931970;LOC115931980;LOC115932887;LOC129527970;LOC129529612;LOC129529613;LOC129529614;LOC134757612;LOC134758421
LOC115933063	NC_073229.2	87861236	+	0.989	2	9	0	11	5	LOC101154628
WASHC2A	NC_073232.2	65791542	+	0.985	3	22	0	11	13	LOC101143038;WASHC2C
LOC101146004	NC_073236.2	52769196	-	0.986	2	0	0	11	2	WBP1
LOC101136353	NC_073224.2	15692911	-	0.988	9	55	0	10	3	LOC115931212;LOC115931242;LOC129534585;LOC129534593;LOC129534707;LOC134757776;LOC134757815;SPTBN5
LOC115934587	NC_073228.2	46670936	+	0.958	3	0	0	10	0	LOC101141121;MAPK8IP1
LOC101127226	NC_073240.2	86490594	-	0.948	4	14	0	10	1	ADAMTS7;LOC109023513;LOC115933405
LOC134757816	NC_073224.2	223228245	-	0.989	5	0	0	9	2	LOC115932867;LOC129533282;LOC129533340;LOC134757814
LOC109027880	NC_073231.2	25072793	+	0.969	2	5	0	9	3	SBDS
LOC115932867	NC_073224.2	223278826	-	0.989	5	0	0	8	0	LOC129533282;LOC129533340;LOC134757814;LOC134757816
LOC115936297	NC_073233.2	67196235	+	0.974	2	1	0	8	0	SINHCAF
LOC129529427	NC_086018.1	3848305	+	0.984	16	7	0	8	0	GGT1;GGTLC1;GGTLC2;LOC101149759;LOC109024567;LOC109024570;LOC129523490;LOC129524426;LOC129528175;LOC129529588;LOC129529621;LOC129529623;LOC129529624;LOC134756364;LOC134756365
LOC129529247	NC_073224.2	15652987	+	0.99	8	28	0	6	2	LOC101128796;LOC129531977;LOC129532032;LOC129532055;LOC134758715;LOC134758759;MAPKBP1
LOC109026103	NC_086017.1	56489922	-	0.922	2	0	0	5	0	SS18
LOC101145974	NC_086017.1	174582145	+	0.987	2	0	0	5	5	PYGL
LOC129528237	NC_073241.2	40221937	-	0.981	2	0	0	5	1	TIA1
LOC115933405	NC_073240.2	86270476	+	0.948	4	16	0	5	3	ADAMTS7;LOC101127226;LOC109023513
