Gene Name	ENSEMBL	Gene ID	Biotype	In Table S1 (SD98 gene set)	SD Unit	Median famCN	No. Assigned Families	Family ID	Family MAD	No. Family Members	No. Protein Coding	No. Unprocessed Pseudogene	Max famCN Great Apes	Min famCN Great Apes	famCN Status per Paralog	Non-Syntenic with Chimpanzee	parCN Category	Fetal brain Expression
PMS2P1	ENSG00000078319.10	CHM13_G0051516	transcribed_unprocessed_pseudogene	Yes	.	22.7610713	1	ID_8	1.15437763	14.0	0.0	10.0	48.9063705	7.5324926	Undetermined	-	Fixed	Yes
PMS2P2	ENSG00000278416.1	CHM13_G0051108	translated_unprocessed_pseudogene	Yes	.	23.8053175	1	ID_8	1.15437763	14.0	0.0	10.0	46.444291	7.6267513	Undetermined	chr7:76367000-76642000	Polymorphic	Yes
PMS2P4	ENSG00000067601.8	CHM13_G0050972	transcribed_unprocessed_pseudogene	Yes	.	22.210561	1	ID_8	1.15437763	14.0	0.0	10.0	54.232742	8.754814	Undetermined	-	Nearly-Fixed	Yes
PMS2P5	ENSG00000123965.13	CHM13_G0051088	unprocessed_pseudogene	Yes	.	23.228248	1	ID_8	1.15437763	14.0	0.0	10.0	40.9809055	8.0757395	Undetermined	-	Nearly-Fixed	Yes
PMS2P6	ENSG00000174384.9	CHM13_G0051033	unprocessed_pseudogene	Yes	SD3842,SD8610	25.182911	1	ID_8	1.15437763	14.0	0.0	10.0	59.837456	8.002191	Undetermined	chr7:74249000-74314000	Nearly-Fixed	Yes
PMS2P7	ENSG00000229018.5	CHM13_G0051025	unprocessed_pseudogene	Yes	.	23.47507	1	ID_8	1.15437763	14.0	0.0	10.0	47.805786	7.4252768	Undetermined	chr7:74249000-74314000	Nearly-Fixed	Yes
POLR2J4	ENSG00000214783.9	CHM13_G0050459	lncRNA	No	.	N/A	6	ID_8	1.15437763	14.0	0.0	10.0	N/A	N/A	N/A	N/A	N/A	N/A
AC004951.4	ENSG00000273432.1	CHM13_G0050460	lncRNA	No	.	N/A	5	ID_9	0.0	5.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC017116.2	ENSG00000285596.1	CHM13_G0050465	lncRNA	No	.	N/A	5	ID_9	0.0	5.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC211476.6	ENSG00000285702.1	CHM13_G0051099	lncRNA	No	SD8610	N/A	3	ID_9	0.0	5.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
PMS2P3	ENSG00000127957.18	CHM13_G0051118	transcribed_unprocessed_pseudogene	Yes	SD3547	18.1557052	1	ID_9	0.0	5.0	0.0	1.0	42.8154965	8.930924	Undetermined	-	Nearly-Fixed	Yes
POLR2J4	ENSG00000214783.9	CHM13_G0050459	lncRNA	No	.	N/A	6	ID_9	0.0	5.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC004951.4	ENSG00000273432.1	CHM13_G0050460	lncRNA	No	.	N/A	5	ID_10	0.02642938	5.0	2.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC017116.2	ENSG00000285596.1	CHM13_G0050465	lncRNA	No	.	N/A	5	ID_10	0.02642938	5.0	2.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
POLR2J3	ENSG00000285437.1	CHM13_G0051625	protein_coding	Yes	.	9.8407105	1	ID_10	0.02642938	5.0	2.0	0.0	12.449627	2.1681287	Expanded in great apes	-	Nearly-Fixed	Yes
POLR2J3	ENSG00000285437.1	LOFF_G0002452	protein_coding	Yes	.	9.78785175	1	ID_10	0.02642938	5.0	2.0	0.0	12.358048	2.5043397	Expanded in great apes	-	Nearly-Fixed	Yes
POLR2J4	ENSG00000214783.9	CHM13_G0050459	lncRNA	No	.	N/A	6	ID_10	0.02642938	5.0	2.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC004951.4	ENSG00000273432.1	CHM13_G0050460	lncRNA	No	.	N/A	5	ID_11	0.02576488	5.0	1.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC017116.2	ENSG00000285596.1	CHM13_G0050465	lncRNA	No	.	N/A	5	ID_11	0.02576488	5.0	1.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
POLR2J4	ENSG00000214783.9	CHM13_G0050459	lncRNA	No	.	N/A	6	ID_11	0.02576488	5.0	1.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
POLR2J4	ENSG00000272655.2	CHM13_G0050466	transcribed_unprocessed_pseudogene	Yes	.	7.26862923	1	ID_11	0.02576488	5.0	1.0	1.0	11.472805	1.88080485	Expanded in great apes	-	Fixed	Yes
POLR2J	ENSG00000005075.15	CHM13_G0051617	protein_coding	Yes	.	7.21709947	1	ID_11	0.02576488	5.0	1.0	1.0	11.2264125	1.66864165	Expanded in great apes	-	Nearly-Fixed	Yes
AC004980.1	ENSG00000205485.13	CHM13_G0051153	transcribed_unprocessed_pseudogene	Yes	SD5181,SD5188,SD6715	4.11317465	1	ID_12	0.40567175	5.0	3.0	1.0	10.208721	2.2955472	Expanded in great apes	-	Nearly-Fixed	Yes
AC004980.2	ENSG00000214243.3	CHM13_G0051155	processed_pseudogene	No	.	N/A	1	ID_12	0.40567175	5.0	3.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
POM121C	ENSG00000272391.6	CHM13_G0051115	protein_coding	Yes	SD9004	4.92451815	1	ID_12	0.40567175	5.0	3.0	1.0	4.3930945	3.6319556	Expanded in humans	-	Fixed	Yes
POM121	ENSG00000196313.11	CHM13_G0051017	protein_coding	Yes	SD9004	4.47737145	1	ID_12	0.40567175	5.0	3.0	1.0	4.0401096	3.5342493	Expanded in great apes	-	Fixed	Yes
POMZP3	ENSG00000146707.14	CHM13_G0051154	protein_coding	Yes	.	4.5390625	1	ID_12	0.40567175	5.0	3.0	1.0	4.5884748	3.1784072	Expanded in great apes	-	Nearly-Fixed	Yes
AC004980.3	ENSG00000230305.2	CHM13_G0051151	unprocessed_pseudogene	Yes	.	29.8094025	1	ID_13	0.0	2.0	0.0	1.0	59.623337	5.8426011	Undetermined	-	Nearly-Fixed	Yes
AC211476.6	ENSG00000285702.1	CHM13_G0051099	lncRNA	No	SD8610	N/A	3	ID_13	0.0	2.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC005562.1	ENSG00000214719.13	CHM13_G0023805	lncRNA	No	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1740,SD1742,SD1744,SD1745,SD1749,SD1752,SD1753,SD1756,SD1757,SD1758,SD1761,SD1762,SD1786,SD1787,SD1788,SD1790,SD2049,SD7757	N/A	2	ID_14	0.76141081	10.0	4.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
AC005562.2	ENSG00000273609.1	CHM13_G0023807	unprocessed_pseudogene	Yes	SD1787	12.190476	1	ID_14	0.76141081	10.0	4.0	3.0	13.6509505	7.49140385	Undetermined	-	Nearly-Fixed	No
AC090616.5	ENSG00000266379.6	CHM13_G0023876	transcribed_unprocessed_pseudogene	Yes	.	11.4909199	1	ID_14	0.76141081	10.0	4.0	3.0	13.4235085	11.6966575	Undetermined	-	Fixed	Yes
AC090616.6	ENSG00000278867.1	CHM13_G0023874	TEC	No	SD1669,SD1742,SD1744,SD1745	N/A	1	ID_14	0.76141081	10.0	4.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091132.5	ENSG00000267246.1	CHM13_G0024533	lncRNA	No	SD8043	N/A	3	ID_14	0.76141081	10.0	4.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
LRRC37A2	ENSG00000238083.7	CHM13_G0024565	protein_coding	Yes	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1740,SD1742,SD1744,SD1745,SD1746,SD1748,SD1760,SD1787,SD4602,SD4603,SD4606,SD4607,SD4710,SD4714,SD4715	12.482812	1	ID_14	0.76141081	10.0	4.0	3.0	11.262297	7.3212996	Undetermined	chr17:47348000-47399000	Nearly-Fixed	Yes
LRRC37A3	ENSG00000176809.10	CHM13_G0025127	protein_coding	Yes	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1740,SD1742,SD1744,SD1745,SD1746,SD1748,SD1760,SD1787,SD2529,SD4602,SD4603,SD4606,SD4607,SD4711,SD4714,SD7471,SD8043	11.0619513	1	ID_14	0.76141081	10.0	4.0	3.0	10.3597828	6.6071457	Undetermined	chr17:65662000-65725000	Fixed	Yes
LRRC37A	ENSG00000176681.14	CHM13_G0024560	protein_coding	Yes	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1740,SD1742,SD1744,SD1745,SD1746,SD1748,SD1760,SD1787,SD4602,SD4603,SD4606,SD4607,SD4710,SD4714,SD4715	12.462855	1	ID_14	0.76141081	10.0	4.0	3.0	11.192074	7.37641	Undetermined	chr17:47149000-47201000	Polymorphic	Yes
LRRC37B	ENSG00000185158.12	CHM13_G0023871	protein_coding	Yes	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1739,SD1740,SD1742,SD1744,SD1745,SD1749,SD1752,SD1760,SD1787,SD4602,SD4603,SD5106,SD8043	9.86269679	1	ID_14	0.76141081	10.0	4.0	3.0	13.603357	6.16007185	Expanded in great apes	-	Fixed	Yes
LRRC37BP1	ENSG00000250462.8	CHM13_G0023809	transcribed_unprocessed_pseudogene	Yes	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1740,SD1742,SD1744,SD1745,SD1749,SD1787	9.749364	1	ID_14	0.76141081	10.0	4.0	3.0	9.10472	7.004425	Expanded in humans	-	Fixed	Yes
AC005562.1	ENSG00000214719.13	CHM13_G0023805	lncRNA	No	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1740,SD1742,SD1744,SD1745,SD1749,SD1752,SD1753,SD1756,SD1757,SD1758,SD1761,SD1762,SD1786,SD1787,SD1788,SD1790,SD2049,SD7757	N/A	2	ID_15	0.0	3.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091132.5	ENSG00000267246.1	CHM13_G0024533	lncRNA	No	SD8043	N/A	3	ID_15	0.0	3.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
LRRC37A4P	ENSG00000214425.8	CHM13_G0024528	transcribed_unprocessed_pseudogene	Yes	SD1669,SD1732,SD1733,SD1734,SD1737,SD1738,SD1740,SD1742,SD1744,SD1745,SD1746,SD1748,SD1760,SD1787,SD4602,SD4606,SD4607,SD4711,SD4712,SD4714,SD4715,SD7471	14.7391962	1	ID_15	0.0	3.0	0.0	1.0	10.454105	6.96224565	Undetermined	-	Nearly-Fixed	Yes
AC005632.2	ENSG00000257639.1	CHM13_G0020932	unprocessed_pseudogene	Yes	.	6.22391675	1	ID_16	0.01140225	3.0	0.0	3.0	9.8706145	1.8355882	Expanded in great apes	-	Nearly-Fixed	No
AC005632.2	ENSG00000257639.1	LOFF_G0001045	unprocessed_pseudogene	Yes	.	6.2125145	1	ID_16	0.01140225	3.0	0.0	3.0	10.1810805	1.6695048	Expanded in great apes	-	Polymorphic	No
CA5AP1	ENSG00000260133.1	CHM13_G0021135	unprocessed_pseudogene	Yes	.	6.11764325	1	ID_16	0.01140225	3.0	0.0	3.0	9.882577	1.8187253	Expanded in great apes	-	Fixed	No
AC005702.3	ENSG00000274378.1	CHM13_G0024961	unprocessed_pseudogene	Yes	SD2913,SD2915,SD2916,SD2918,SD4636	3.13923873	1	ID_17	0.06113323	2.0	0.0	2.0	4.9831825	3.34221145	Expanded in great apes	-	Nearly-Fixed	Yes
AC025048.3	ENSG00000267295.1	CHM13_G0024968	unprocessed_pseudogene	Yes	SD2913,SD2915,SD2916,SD2918,SD4636	3.01697228	1	ID_17	0.06113323	2.0	0.0	2.0	5.60363195	3.4715023	Expanded in great apes	-	Nearly-Fixed	Yes
AC005702.4	ENSG00000275860.1	CHM13_G0024960	unprocessed_pseudogene	Yes	SD2928,SD2930	8.076916	1	ID_18	0.18635659	3.0	0.0	2.0	20.972923	6.758331	Expanded in great apes	-	Nearly-Fixed	No
AC015818.1	ENSG00000230339.2	CHM13_G0023519	processed_pseudogene	No	SD2928	N/A	1	ID_18	0.18635659	3.0	0.0	2.0	N/A	N/A	N/A	N/A	N/A	N/A
AC025048.5	ENSG00000277532.1	CHM13_G0024970	unprocessed_pseudogene	Yes	SD2928,SD2930	7.70420282	1	ID_18	0.18635659	3.0	0.0	2.0	18.6504595	7.0904746	Expanded in great apes	-	Nearly-Fixed	No
AC005838.1	ENSG00000223544.1	CHM13_G0023241	unprocessed_pseudogene	Yes	SD2111	3.39967943	1	ID_19	0.0706196	2.0	1.0	1.0	4.10185435	2.45157945	Expanded in great apes	-	Fixed	No
COX10	ENSG00000006695.12	CHM13_G0023204	protein_coding	Yes	SD2111,SD467	3.8369988	1	ID_19	0.0706196	2.0	1.0	1.0	8.328443	2.1309578	Expanded in great apes	-	Fixed	Yes
AC006015.1	ENSG00000226401.3	CHM13_G0050814	unprocessed_pseudogene	Yes	SD3004	2.8687664	1	ID_20	0.00625351	2.0	0.0	2.0	3.9393375	1.0073332	Expanded in great apes	-	Nearly-Fixed	No
AC069152.1	ENSG00000225244.3	LOFF_G0002386	unprocessed_pseudogene	Yes	SD3004	2.88127343	1	ID_20	0.00625351	2.0	0.0	2.0	3.4587586	0.962107	Expanded in great apes	-	Nearly-Fixed	No
AC006328.1	ENSG00000233619.1	LOFF_G0000987	processed_pseudogene	No	.	N/A	1	ID_21	0.0	2.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
GOLGA2P7	ENSG00000225151.10	CHM13_G0019686	transcribed_unprocessed_pseudogene	Yes	SD2138,SD4202,SD4203,SD4264,SD4265,SD4267,SD4269,SD4271,SD4274,SD4275,SD4277,SD4278,SD6566,SD6569	12.0191033	1	ID_21	0.0	2.0	0.0	1.0	11.570444	6.3285427	Undetermined	chr15:82675000-82739000	Nearly-Fixed	Yes
AC006453.1	ENSG00000283132.1	CHM13_G0031527	unprocessed_pseudogene	Yes	SD7402,SD7577,SD7579	21.6052425	1	ID_22	2.01180038	11.0	0.0	8.0	77.7607775	3.849731	Undetermined	chr2:89350000-89588000	Nearly-Fixed	No
AC006453.2	ENSG00000283132.1	LOFF_G0001465	unprocessed_pseudogene	Yes	SD7402,SD7577,SD7579	21.9214285	1	ID_22	2.01180038	11.0	0.0	8.0	77.794085	3.8554288	Undetermined	-	Nearly-Fixed	No
AC027612.2	ENSG00000230572.5	CHM13_G0031579	transcribed_unprocessed_pseudogene	Yes	SD7397,SD7402,SD7577,SD7579	17.7264195	1	ID_22	2.01180038	11.0	0.0	8.0	76.28901	3.6819377	Undetermined	chr2:91796000-91877000	Fixed	Yes
AC239859.4	ENSG00000274927.1	CHM13_G0002844	unprocessed_pseudogene	Yes	SD7402,SD7574,SD7576,SD7577,SD7579	20.1726705	1	ID_22	2.01180038	11.0	0.0	8.0	70.26956	3.6592088	Undetermined	chr1:142453000-142566000	Polymorphic	No
AC245595.1	ENSG00000276756.4	LOFF_G0000126	transcribed_unprocessed_pseudogene	Yes	SD7397,SD7402,SD7577,SD7579	17.7105145	1	ID_22	2.01180038	11.0	0.0	8.0	75.9048725	3.6422405	Undetermined	chr1:143161000-143426000	Nearly-Fixed	No
AF254983.1	ENSG00000273840.1	CHM13_G0035644	lncRNA	No	SD5960,SD5971,SD7400,SD7402,SD7577,SD7579,SD7580	N/A	2	ID_22	2.01180038	11.0	0.0	8.0	N/A	N/A	N/A	N/A	N/A	N/A
AL356585.3	ENSG00000279231.1	CHM13_G0014229	unprocessed_pseudogene	Yes	SD7402,SD7577,SD7579	21.9896358	1	ID_22	2.01180038	11.0	0.0	8.0	76.00231	3.71495235	Undetermined	chr13:14207000-14274000	Nearly-Fixed	No
BAGE2	ENSG00000187172.15	CHM13_G0035646	transcribed_unprocessed_pseudogene	Yes	SD4001,SD4002,SD5220,SD7400,SD7402,SD7577,SD7579,SD7580,SD9906	16.728484	1	ID_22	2.01180038	11.0	0.0	8.0	64.2129705	3.5313808	Undetermined	chr21:11444000-11512000,chr21:11243000-11387000	Nearly-Fixed	Yes
DRD5P2	ENSG00000175658.4	LOFF_G0000125	processed_pseudogene	No	SD7397	N/A	1	ID_22	2.01180038	11.0	0.0	8.0	N/A	N/A	N/A	N/A	N/A	N/A
DRD5P2	ENSG00000175658.4	LOFF_G0001443	processed_pseudogene	No	SD7397	N/A	1	ID_22	2.01180038	11.0	0.0	8.0	N/A	N/A	N/A	N/A	N/A	N/A
FP700107.1	ENSG00000278273.1	CHM13_G0002887	unprocessed_pseudogene	Yes	SD7402,SD7577,SD7579	19.714793	1	ID_22	2.01180038	11.0	0.0	8.0	77.51037	3.8118584	Undetermined	-	Polymorphic	No
AC006453.2	ENSG00000283214.1	CHM13_G0031533	unprocessed_pseudogene	Yes	.	13.5577105	1	ID_23	0.0513505	5.0	0.0	3.0	76.84018	2.9559503	Undetermined	-	Polymorphic	No
AC006453.2	ENSG00000283214.1	LOFF_G0001441	unprocessed_pseudogene	Yes	.	13.50636	1	ID_23	0.0513505	5.0	0.0	3.0	76.9081	2.9415536	Undetermined	chr2:89350000-89588000	Nearly-Fixed	No
AC008132.2	ENSG00000239989.1	CHM13_G0036581	transcribed_processed_pseudogene	No	SD6590	N/A	3	ID_23	0.0513505	5.0	0.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
AC008132.2	ENSG00000239989.1	LOFF_G0001930	transcribed_processed_pseudogene	No	SD6590	N/A	3	ID_23	0.0513505	5.0	0.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
AP000550.3	ENSG00000283145.1	LOFF_G0001915	unprocessed_pseudogene	Yes	SD6590	13.001315	1	ID_23	0.0513505	5.0	0.0	3.0	71.07061	2.7128394	Undetermined	-	Polymorphic	No
