family_id	gene	chrom	start	end	detected	recovered_by
ID_395	RGPD1	chr2	86909901	87019191	Y	RNA-split
ID_63	ANAPC1P2	chr2	87037033	87058220	Y	RNA-split
ID_63	ANAPC1P3	chr2	87123762	87126211	N	
ID_63	AC083899.1	chr2	87130427	87202282	Y	RNA-split
ID_63	ANAPC1P4	chr2	87712968	87750095	Y	RNA-split
ID_395	RGPD2	chr2	87767939	87837964	Y	RNA-split
ID_63	ANAPC1P5	chr2	87992304	88004460	N	
ID_22	AC006453.1	chr2	89538522	89556925	Y	expr-collapse
ID_24	LSP1P5	chr2	90105022	90147871	Y	expr-collapse
ID_26	AC006453.4	chr2	90228191	90245534	N	
ID_24	LSP1P4	chr2	91806874	91849698	Y	expr-collapse
ID_22	AC027612.2	chr2	91875827	91904480	Y	expr-collapse
ID_251	ANKRD36B	chr2	97950885	98048181	N	
ID_395	RGPD3	chr2	106852051	106929839	Y	RNA-split
ID_63	AC097527.1	chr2	106932223	106939096	N	
ID_395	RGPD4	chr2	108288410	108354099	Y	RNA-split
ID_386	LIMS1	chr2	108994973	109147842	N	
ID_386	LIMS4	chr2	110869109	110895544	N	
ID_395	RGPD5	chr2	110936275	111001638	Y	RNA-split
ID_63	ANAPC1	chr2	112037440	112311134	Y	RNA-split
ID_395	RGPD8	chr2	112795143	112861095	Y	RNA-split
ID_391	WASH2P	chr2	114013234	114023720	Y	RNA-split
ID_332	DDX11L2	chr2	114023720	114025947	Y	RNA-split
ID_65	FAR2P1	chr2	130441675	130470147	Y	RNA-split
ID_65	CYP4F27P	chr2	130478035	130479051	Y	projection
ID_65	FAR2P2	chr2	130850654	130865267	Y	RNA-split
ID_65	CYP4F62P	chr2	130863729	130875321	Y	projection
ID_65	CYP4F30P	chr2	131114190	131120019	Y	RNA-split
ID_65	FAR2P3	chr2	131124287	131152985	Y	RNA-split
ID_65	FAR2P4	chr2	131713789	131743753	Y	RNA-split
ID_141	AC119751.3	chr3	95668991	95671638	Y	RNA-split
ID_146	AC233280.19	chr3	198342015	198343130	N	
ID_146	AC124944.2	chr3	198403551	198444967	N	
ID_35	FAM157A	chr3	200883047	200954215	Y	RNA-split
ID_391	WASH8P	chr3	201079783	201097278	Y	RNA-split
ID_35	AC110079.1	chr4	121896771	121939030	Y	RNA-split
ID_35	GTF2IP12	chr4	122710627	122759756	Y	RNA-split
ID_163	GUSBP1	chr5	21350028	21696579	Y	RNA-split
ID_399	NAIPP1	chr5	70432873	70449844	Y	RNA-split
ID_163	GUSBP3	chr5	70465243	70505040	Y	RNA-split
ID_163	AC131392.1	chr5	70679155	70725182	Y	RNA-split
ID_399	NAIPP2	chr5	70774918	70792685	Y	expr-collapse
ID_313	CDH12P1	chr5	70901860	70902156	N	
ID_163	GUSBP16	chr5	71208720	71252673	Y	RNA-split
ID_399	NAIP	chr5	71424929	71482091	Y	projection
ID_399	NAIPP4	chr5	71559603	71585455	Y	RNA-split
ID_313	CDH12P3	chr5	71589693	71589989	N	
ID_163	AC146949.1	chr5	71701647	71740552	Y	RNA-split
ID_182	FAM153B	chr5	176604120	176659690	Y	RNA-split
ID_182	FAM153A	chr5	178251444	178327488	Y	projection
ID_35	AC008443.6	chr5	181851743	181855644	N	
ID_163	GUSBP2	chr6	26739835	26824933	Y	RNA-split
ID_207	SPDYE1	chr7	44156261	44168507	Y	RNA-split
ID_208	GTF2IP14	chr7	66290271	66306356	Y	projection
ID_208	GTF2IP5	chr7	66995739	67024210	Y	RNA-split
ID_207	SPDYE21	chr7	68498461	68506406	Y	RNA-split
ID_8	PMS2P4	chr7	68507281	68522154	Y	RNA-split
ID_207	SPDYE7P	chr7	74091027	74099848	Y	projection
ID_12	POM121	chr7	74107538	74179670	Y	RNA-split
ID_407	NSUN5P2	chr7	74175809	74183019	Y	RNA-split
ID_407	TRIM74	chr7	74187708	74197691	N	
ID_8	PMS2P7	chr7	74233765	74249332	Y	RNA-split
ID_8	PMS2P11	chr7	74265295	74269589	Y	RNA-split
ID_207	SPDYE17	chr7	74276649	74286089	Y	RNA-split
ID_8	PMS2P6	chr7	74293709	74305513	Y	RNA-split
ID_207	SPDYE10P	chr7	74304323	74311264	Y	RNA-split
ID_402	NCF1B	chr7	74420835	74436153	N	
ID_374	GTF2IRD2P1	chr7	74442956	74480301	Y	RNA-split
ID_208	GTF2I	chr7	75852514	75962984	Y	RNA-split
ID_402	NCF1	chr7	75976253	75991692	N	
ID_374	GTF2IRD2	chr7	75998458	76053859	Y	RNA-split
ID_8	PMS2P5	chr7	76096419	76100140	Y	RNA-split
ID_207	SPDYE12P	chr7	76108976	76115619	Y	RNA-split
ID_208	CASTOR2	chr7	76167037	76233789	N	
ID_374	GTF2IRD2B	chr7	76296514	76353770	Y	RNA-split
ID_402	NCF1C	chr7	76360590	76375995	N	
ID_208	GTF2IP1	chr7	76389248	76441615	Y	RNA-split
ID_207	SPDYE9	chr7	76510544	76520418	Y	projection
ID_207	SPDYE8	chr7	76538561	76548009	Y	projection
ID_207	SPDYE13	chr7	76568351	76574235	Y	projection
ID_8	PMS2P10	chr7	76575232	76586963	Y	projection
ID_207	SPDYE14	chr7	76596367	76602252	Y	projection
ID_8	AC211486.3	chr7	76603248	76614958	Y	projection
ID_207	SPDYE15	chr7	76624357	76630241	Y	projection
ID_8	PMS2P2	chr7	76631238	76646816	Y	RNA-split
ID_407	TRIM73	chr7	76682335	76698280	N	
ID_407	NSUN5P1	chr7	76697604	76704067	Y	RNA-split
ID_12	POM121C	chr7	76704064	76773584	Y	RNA-split
ID_207	SPDYE5	chr7	76780965	76791636	Y	RNA-split
ID_207	SPDYE16	chr7	77810553	77820700	Y	RNA-split
ID_12	AC004980.1	chr7	77828590	77906904	Y	protein-tail
ID_12	POMZP3	chr7	77889197	77906183	N	
ID_207	SPDYE18	chr7	78303830	78311572	Y	RNA-split
ID_207	SPDYE3	chr7	101547787	101562282	Y	RNA-split
ID_8	PMS2P1	chr7	101559306	101576392	Y	RNA-split
ID_207	SPDYE6	chr7	103663166	103673862	Y	projection
ID_207	SPDYE2	chr7	103962118	103972964	Y	RNA-split
ID_127	TCAF2	chr7	144980464	145010762	N	
ID_127	AC099548.2	chr7	145042141	145117285	N	
ID_127	TCAF2C	chr7	145090337	145098763	N	
ID_490	ZNF705G	chr8	7084496	7114544	Y	RNA-split
ID_338	DEFB108C	chr8	7102093	7106486	N	
ID_458	SPAG11A	chr8	7171678	7192682	N	
ID_490	ZNF705D	chr8	7619008	7630136	Y	projection
ID_338	DEFB108D	chr8	7634987	7639336	N	
ID_338	DEFB108A	chr8	12080371	12084735	Y	RNA-split
ID_334	DEFB104B	chr8	12522996	12527770	N	
ID_458	SPAG11B	chr8	12534401	12555431	N	
ID_490	ZNF705B	chr8	12612891	12638954	Y	RNA-split
ID_245	CNTNAP3	chr9	39086152	39301732	Y	RNA-split
ID_261	CNTNAP3P5	chr9	39786634	39796678	N	
ID_261	AL513478.3	chr9	40182305	40186244	N	
ID_260	AL513478.2	chr9	40202700	40208822	N	
ID_280	ANKRD20A3P	chr9	40211671	40284336	Y	RNA-split
ID_104	AL669942.1	chr9	40336207	40344131	Y	RNA-split
ID_245	BX005040.4	chr9	41323315	41373554	Y	RNA-split
ID_147	AC125634.1	chr9	42529786	42537205	Y	RNA-split
ID_245	CNTNAP3B	chr9	43440746	43680056	Y	RNA-split
ID_359	FGF7P5	chr9	44178191	44179570	Y	RNA-split
ID_359	FGF7P7	chr9	44220295	44221682	Y	RNA-split
ID_261	BX664718.2	chr9	44277729	44354481	Y	RNA-split
ID_260	MEP1AP4	chr9	44369523	44375633	N	
ID_280	ANKRD20A7P	chr9	44382760	44503215	Y	RNA-split
ID_104	CYP4F60P	chr9	44502952	44504018	Y	RNA-split
ID_348	DUX4L50	chr9	47737220	47737936	N	
ID_147	AL353626.3	chr9	77394972	77407442	Y	RNA-split
ID_104	FAM95B1	chr9	77797810	77805957	Y	RNA-split
ID_260	MEP1AP1	chr9	77952010	77958144	N	
ID_261	AL773545.4	chr9	77974578	77978517	N	
ID_267	AL590399.2	chr9	78289826	78290136	Y	RNA-split
ID_245	CNTNAP3P2	chr9	78831664	79065816	Y	RNA-split
ID_280	ANKRD20A1	chr9	79615465	79703187	Y	RNA-split
ID_261	CNTNAP3P1	chr9	80247804	80257862	N	
ID_359	FGF7P8	chr9	80292843	80294222	Y	protein-tail
ID_35	FAM157B	chr9	150478579	150516124	Y	RNA-split
ID_35	AL133216.2	chr10	38447204	38496163	Y	RNA-split
ID_240	SYT15	chr10	47464575	47480533	N	
ID_443	SHLD2P1	chr10	47496904	47538456	Y	RNA-split
ID_327	CTSLP3	chr10	47641642	47647779	N	
ID_443	SHLD2P3	chr10	48581036	48621767	Y	RNA-split
ID_240	FO681492.1	chr10	48641165	48655007	N	
ID_327	CTSLP4	chr10	51553971	51557497	Y	RNA-split
ID_327	CTSLP6	chr10	80739715	80743245	Y	RNA-split
ID_443	SHLD2	chr10	87977792	88075100	Y	RNA-split
ID_240	AL157893.1	chr10	88097762	88099813	N	
ID_327	CTSLP1	chr10	88270282	88273802	Y	RNA-split
ID_332	FO538757.1	chr11	3740	5220	N	
ID_391	WASHC1	chr11	5922	16459	Y	RNA-split
ID_43	TRIM64DP	chr11	89696664	89702267	Y	RNA-split
ID_43	TRIM64B	chr11	89788985	89795720	N	
ID_43	TRIM64	chr11	89888639	89894223	N	
ID_43	TRIM64EP	chr11	89977681	89983077	Y	RNA-split
ID_332	DDX11L5	chr12	5135	6786	Y	projection
ID_49	AC009533.1	chr12	9259741	9295801	Y	RNA-split
ID_49	DDX12P	chr12	9401422	9430965	Y	RNA-split
ID_49	DDX11	chr12	30948352	30979293	Y	RNA-split
ID_22	AL356585.3	chr13	13560341	13578654	Y	expr-collapse
ID_251	AL356585.4	chr13	13734170	13738626	N	
ID_147	FO681491.1	chr13	17624760	17647558	Y	protein-tail
ID_142	CR381670.1	chr14	5759975	5783699	Y	RNA-split
ID_411	OR11H12	chr14	13104431	13105517	N	
ID_65	CR383656.5	chr14	13134773	13154353	N	
ID_403	NF1P10	chr14	13212855	13215996	Y	RNA-split
ID_411	OR11H13P	chr14	13493444	13494424	N	
ID_300	BMS1P17	chr14	13614822	13630011	Y	RNA-split
ID_403	NF1P7	chr14	13803703	13813427	Y	RNA-split
ID_148	AC126603.1	chr15	18136928	18186041	N	
ID_188	HERC2P3	chr15	18291208	18418223	Y	protein-tail
ID_71	AC023310.1	chr15	18428068	18432445	Y	projection
ID_116	GOLGA6L6	chr15	18443672	18453636	Y	RNA-split
ID_113	GOLGA8CP	chr15	18474211	18487534	Y	RNA-split
ID_167	CHEK2P2	chr15	19353208	19362048	N	
ID_113	GOLGA8EP	chr15	20099133	20109998	Y	RNA-split
ID_116	GOLGA6L22	chr15	20130998	20141345	Y	RNA-split
ID_71	HERC2P7	chr15	20152552	20156955	Y	projection
ID_188	HERC2P2	chr15	20166919	20262941	Y	RNA-split
ID_113	GOLGA8IP	chr15	20278132	20289966	Y	RNA-split
ID_156	WHAMMP3	chr15	20336417	20358287	N	
ID_113	GOLGA8DP	chr15	20841226	20854575	Y	RNA-split
ID_116	GOLGA6L1	chr15	21006515	21016292	Y	RNA-split
ID_71	AC242376.1	chr15	21046171	21050536	Y	RNA-split
ID_116	AC100756.3	chr15	21062528	21070403	Y	RNA-split
ID_113	GOLGA8S	chr15	21091024	21103533	Y	RNA-split
ID_188	HERC2	chr15	25853559	26064943	Y	projection
ID_71	AC091304.3	chr15	26074992	26079365	Y	projection
ID_116	AC091304.1	chr15	26091804	26100822	Y	RNA-split
ID_113	GOLGA8F	chr15	26121343	26134741	Y	RNA-split
ID_113	GOLGA8G	chr15	26296346	26309751	Y	RNA-split
ID_116	AC138749.1	chr15	26330348	26338091	Y	RNA-split
ID_71	HERC2P11	chr15	26351728	26356111	Y	RNA-split
ID_188	HERC2P9	chr15	26366200	26461978	Y	RNA-split
ID_113	GOLGA8M	chr15	26478664	26515105	Y	RNA-split
ID_156	WHAMMP2	chr15	26514302	26535923	Y	protein-tail
ID_113	GOLGA8J	chr15	27874771	27885220	Y	RNA-split
ID_68	DNM1P28	chr15	27890545	27893814	Y	RNA-split
ID_179	ULK4P3	chr15	27895441	27922933	Y	projection
ID_113	GOLGA8T	chr15	27926870	27937297	Y	RNA-split
ID_68	AC019322.3	chr15	28188413	28189637	Y	RNA-split
ID_113	GOLGA8R	chr15	28197010	28207436	Y	RNA-split
ID_156	AC127502.1	chr15	28264052	28300871	Y	protein-tail
ID_156	AC127502.3	chr15	28300623	28306948	Y	RNA-split
ID_113	GOLGA8Q	chr15	28345327	28355752	Y	projection
ID_68	DNM1P50	chr15	28361066	28364334	Y	projection
ID_179	ULK4P2	chr15	28365932	28393844	Y	RNA-split
ID_113	GOLGA8H	chr15	28397319	28407743	Y	RNA-split
ID_113	GOLGA8K	chr15	30189305	30199719	Y	projection
ID_179	ULK4P1	chr15	30203116	30231537	Y	RNA-split
ID_68	DNM1P32	chr15	30233052	30236315	Y	RNA-split
ID_113	GOLGA8O	chr15	30238450	30252173	Y	RNA-split
ID_156	AC135983.4	chr15	30290477	30296821	Y	projection
ID_113	GOLGA8N	chr15	30389923	30403785	Y	RNA-split
ID_78	GOLGA8A	chr15	32184802	32213415	Y	RNA-split
ID_88	GOLGA6L10	chr15	80204111	80213595	Y	RNA-split
ID_78	UBE2Q2P2	chr15	80219260	80284203	Y	RNA-split
ID_88	GOLGA6L9	chr15	80294144	80303281	Y	RNA-split
ID_481	UBE2Q2P6	chr15	80309845	80318965	Y	RNA-split
ID_324	CSPG4P10	chr15	80323598	80341387	Y	RNA-split
ID_481	UBE2Q2L	chr15	82038454	82054353	Y	RNA-split
ID_324	CSPG4P11	chr15	82052722	82063358	Y	projection
ID_88	GOLGA6L4	chr15	82101780	82111483	Y	RNA-split
ID_481	UBE2Q2P11	chr15	82117976	82127040	Y	RNA-split
ID_324	CSPG4P4Y	chr15	82133635	82137155	Y	expr-collapse
ID_78	AC243562.1	chr15	82144483	82145499	N	
ID_481	UBE2Q2P8	chr15	82169947	82170050	N	
ID_324	DNM1P51	chr15	82233822	82242855	Y	projection
ID_481	UBE2Q2P12	chr15	82243926	82253037	Y	RNA-split
ID_88	GOLGA6L5P	chr15	82260324	82269230	Y	RNA-split
ID_78	UBE2Q2P1	chr15	82279207	82323633	Y	RNA-split
ID_78	AC044860.1	chr15	82932394	82986906	Y	expr-collapse
ID_324	CSPG4P12	chr15	82943632	82966101	Y	expr-collapse
ID_391	WASH3P	chr15	99730896	99745839	Y	projection
ID_332	DDX11L9	chr15	99745852	99748389	Y	projection
ID_332	DDX11L16	chr16	4785	7013	N	
ID_391	WASH6P	chr16	6965	11846	N	
ID_154	NPIPB2	chr16	11963305	12012756	Y	RNA-split
ID_154	NPIPA2	chr16	14746465	14763820	Y	RNA-split
ID_154	NPIPP1	chr16	15105361	15124458	Y	RNA-split
ID_154	NPIPA5	chr16	15368422	15385843	Y	RNA-split
ID_154	NPIPA7	chr16	16391277	16406172	Y	RNA-split
ID_154	NPIPB6	chr16	28623069	28643879	Y	RNA-split
ID_154	NPIPB8	chr16	28737050	28758038	Y	RNA-split
ID_154	NPIPB7	chr16	28924552	28939395	Y	RNA-split
ID_154	NPIPB9	chr16	29032364	29053395	Y	RNA-split
ID_154	NPIPB10P	chr16	29319787	29333871	Y	RNA-split
ID_154	NPIPB11	chr16	29663393	29685822	Y	RNA-split
ID_302	BOLA2B	chr16	29735379	29736755	N	
ID_154	NPIPB12	chr16	29765424	29788033	Y	projection
ID_474	TP53TG3D	chr16	32640147	32643352	Y	RNA-split
ID_167	AC133548.1	chr16	32772942	32779658	N	
ID_26	SLC9B1P1	chr16	32804124	32821138	N	
ID_182	AC137800.1	chr16	33014727	33030069	Y	RNA-split
ID_182	AC137800.2	chr16	33033161	33036614	Y	RNA-split
ID_474	TP53TG3C	chr16	33087982	33090583	Y	RNA-split
ID_474	TP53TG3B	chr16	33607931	33611137	Y	RNA-split
ID_167	AC136944.3	chr16	33739351	33747637	N	
ID_148	AC142384.1	chr16	34884759	34929924	N	
ID_154	NPIPB14P	chr16	75785804	75805631	Y	RNA-split
ID_154	NPIPB15	chr16	80195643	80209850	Y	RNA-split
ID_14	AC005562.2	chr17	31562334	31562446	N	
ID_14	LRRC37BP1	chr17	31574334	31581958	N	
ID_14	LRRC37B	chr17	32953747	32999386	Y	RNA-split
ID_14	AC090616.5	chr17	33034040	33040757	N	
ID_92	AC243829.7	chr17	37109490	37110818	N	
ID_468	TBC1D3B	chr17	37113571	37124508	Y	projection
ID_468	TBC1D3I	chr17	37201376	37212474	Y	projection
ID_209	AC233699.1	chr17	37222112	37268486	Y	RNA-split
ID_468	TBC1D3H	chr17	37325491	37336389	Y	RNA-split
ID_222	AC243829.6	chr17	37415116	37415223	N	
ID_468	TBC1D3K	chr17	38911393	38922345	Y	RNA-split
ID_468	TBC1D3D	chr17	38965110	38976061	Y	RNA-split
ID_468	TBC1D3E	chr17	38991013	39001923	Y	RNA-split
ID_468	TBC1D3	chr17	39044721	39055611	Y	RNA-split
ID_209	NPEPPSP1	chr17	39058772	39120206	Y	RNA-split
ID_14	LRRC37A	chr17	47154742	47199790	Y	RNA-split
ID_14	LRRC37A2	chr17	47373158	47417300	Y	RNA-split
ID_209	NPEPPS	chr17	48385624	48486670	Y	projection
ID_468	TBC1D3P1	chr17	60877165	60886227	Y	RNA-split
ID_92	AC053481.4	chr17	63130560	63131864	N	
ID_468	TBC1D3P2	chr17	63134634	63145601	Y	RNA-split
ID_14	LRRC37A3	chr17	65724068	65789437	Y	RNA-split
ID_359	FGF7P1	chr18	15048958	15050337	Y	RNA-split
ID_332	DDX11L10	chr19	4458	6260	Y	RNA-split
ID_175	TEKT4P2	chr21	5692610	5754003	N	
ID_22	BAGE2	chr21	10610346	10714100	Y	expr-collapse
ID_147	ANKRD30BP2	chr21	11382453	11411385	N	
ID_359	FGF7P2	chr21	11693615	11695000	Y	projection
ID_175	AC134878.2	chr22	5801017	5862418	N	
ID_411	OR11H1	chr22	16102172	16103154	N	
ID_65	AP000534.2	chr22	16115445	16152024	N	
ID_403	NF1P11	chr22	16196565	16203867	Y	projection
ID_300	BMS1P22	chr22	16379167	16394790	Y	RNA-split
ID_283	BCRP7	chr22	18941056	18944077	Y	RNA-split
ID_283	BCRP2	chr22	21511792	21531058	Y	RNA-split
ID_283	BCRP4	chr22	23052760	23058851	Y	RNA-split
ID_283	BCRP1	chr22	24721538	24725375	Y	RNA-split
ID_283	AP000356.3	chr22	25106240	25114807	Y	RNA-split
