fam	gene	n_exon_ge80	has_shared_exon	rna_found	topup	bucket
ID_215	AC239860.1	3	True	True	False	FOUND:rna-split
ID_400	NOTCH2NLA	6	True	True	False	FOUND:rna-split
ID_448	SEC22B3P	4	True	True	False	FOUND:rna-split
ID_215	PDE4DIP	64	True	True	False	FOUND:rna-split
ID_213	AC239804.2	0	False	True	False	FOUND:rna-split
ID_215	AC245297.1	9	True	True	False	FOUND:rna-split
ID_448	SEC22B2P	4	True	True	False	FOUND:projection
ID_400	NOTCH2NLB	34	True	True	False	FOUND:rna-split
ID_212	AC245100.8	2	True	True	False	FOUND:rna-split
ID_213	AC239809.1	0	False	False	False	MISS:collapse-K0
ID_215	PDE4DIPP1	7	True	True	False	FOUND:rna-split
ID_213	AC245407.1	0	False	False	False	MISS:collapse-K0
ID_400	NOTCH2NLC	5	True	True	False	FOUND:rna-split
ID_431	PPIAL4C	1	True	False	False	MISS:not-expressed
ID_212	LINC00869	15	True	True	False	FOUND:rna-split
ID_211	AC243772.3	24	True	True	False	FOUND:rna-split
ID_357	FCGR1A	11	True	True	False	FOUND:rna-split
ID_226	H2BC18	16	True	True	False	FOUND:rna-split
ID_226	H3C13	1	True	True	False	FOUND:rna-split
ID_354	FAM72A	14	True	True	False	FOUND:rna-split
ID_462	SRGAP2	42	True	True	False	FOUND:rna-split
ID_35	AL592148.2	4	True	True	False	FOUND:projection
ID_35	GTF2IP20	7	True	True	False	FOUND:projection
ID_35	LINC01347	14	True	True	False	FOUND:protein-tail
ID_63	ANAPC1P1	14	True	False	False	MISS:collapse-K0
ID_395	RGPD1	31	True	True	False	FOUND:rna-split
ID_63	ANAPC1P2	8	True	True	False	FOUND:rna-split
ID_63	ANAPC1P3	3	True	False	False	MISS:mischain
ID_63	AC083899.1	21	True	True	False	FOUND:rna-split
ID_63	ANAPC1P4	12	True	True	False	FOUND:rna-split
ID_395	RGPD2	30	True	True	False	FOUND:rna-split
ID_63	ANAPC1P5	3	True	False	False	MISS:mischain
ID_22	AC006453.1	4	True	True	False	FOUND:rna-split
ID_24	LSP1P5	3	True	True	False	FOUND:rna-split
ID_26	AC006453.4	0	False	True	False	FOUND:rna-split
ID_24	LSP1P4	3	True	True	False	FOUND:rna-split
ID_22	AC027612.2	9	True	True	False	FOUND:rna-split
ID_251	ANKRD36B	22	False	False	False	MISS:seeding-gap
ID_395	RGPD3	26	True	True	False	FOUND:rna-split
ID_63	AC097527.1	4	True	False	False	MISS:not-expressed
ID_395	RGPD4	28	True	True	False	FOUND:rna-split
ID_386	LIMS1	20	True	True	False	FOUND:rna-split
ID_386	LIMS4	17	True	True	False	FOUND:rna-split
ID_395	RGPD5	30	True	True	False	FOUND:protein-tail
ID_63	ANAPC1	42	True	True	False	FOUND:rna-split
ID_395	RGPD8	27	True	True	False	FOUND:protein-tail
ID_391	WASH2P	9	True	True	False	FOUND:rna-split
ID_332	DDX11L2	3	True	True	False	FOUND:rna-split
ID_65	FAR2P1	6	True	True	False	FOUND:rna-split
ID_65	CYP4F27P	2	True	True	False	FOUND:projection
ID_65	FAR2P2	5	True	True	False	FOUND:rna-split
ID_65	CYP4F62P	5	True	True	False	FOUND:rna-split
ID_65	CYP4F30P	5	True	True	False	FOUND:rna-split
ID_65	FAR2P3	2	True	True	False	FOUND:rna-split
ID_65	FAR2P4	9	True	True	False	FOUND:projection
ID_141	AC119751.3	6	False	True	False	FOUND:protein-tail
ID_146	AC233280.19	8	True	False	True	MISS:coverage-limited
ID_146	AC124944.2	7	False	True	False	FOUND:rna-split
ID_35	FAM157A	16	True	True	False	FOUND:projection
ID_391	WASH8P	10	True	True	False	FOUND:rna-split
ID_35	AC110079.1	8	True	True	False	FOUND:protein-tail
ID_35	GTF2IP12	4	False	True	False	FOUND:protein-tail
ID_163	GUSBP1	23	True	True	False	FOUND:rna-split
ID_399	NAIPP1	3	True	True	False	FOUND:protein-tail
ID_163	GUSBP3	5	True	True	False	FOUND:rna-split
ID_163	AC131392.1	3	True	True	False	FOUND:rna-split
ID_399	NAIPP2	1	True	True	False	FOUND:expr-collapse
ID_313	CDH12P1	0	False	False	False	MISS:genuine-miss
ID_163	GUSBP16	6	True	True	False	FOUND:rna-split
ID_399	NAIP	18	True	True	False	FOUND:rna-split
ID_399	NAIPP4	7	True	True	False	FOUND:rna-split
ID_313	CDH12P3	0	False	False	False	MISS:mischain
ID_163	AC146949.1	5	True	True	False	FOUND:rna-split
ID_182	FAM153B	5	True	True	False	FOUND:rna-split
ID_182	FAM153A	29	True	True	False	FOUND:rna-split
ID_35	AC008443.6	0	False	False	False	MISS:seeding-gap
ID_163	GUSBP2	9	True	True	False	FOUND:rna-split
ID_207	SPDYE1	9	True	True	False	FOUND:projection
ID_208	GTF2IP14	0	False	True	False	FOUND:projection
ID_208	GTF2IP5	0	False	True	False	FOUND:protein-tail
ID_207	SPDYE21	6	True	True	False	FOUND:projection
ID_8	PMS2P4	7	True	True	False	FOUND:rna-split
ID_207	SPDYE7P	7	True	True	False	FOUND:projection
ID_12	POM121	29	True	True	False	FOUND:rna-split
ID_407	NSUN5P2	13	True	True	False	FOUND:rna-split
ID_407	TRIM74	9	True	False	False	MISS:resolved-elsewhere
ID_8	PMS2P7	7	True	True	False	FOUND:rna-split
ID_8	PMS2P11	0	False	True	False	FOUND:protein-tail
ID_207	SPDYE17	8	True	True	False	FOUND:rna-split
ID_8	PMS2P6	2	True	True	False	FOUND:rna-split
ID_207	SPDYE10P	6	True	True	False	FOUND:rna-split
ID_402	NCF1B	5	True	False	True	MISS:mischain
ID_374	GTF2IRD2P1	0	False	True	False	FOUND:projection
ID_208	GTF2I	20	True	True	False	FOUND:protein-tail
ID_402	NCF1	9	True	False	True	MISS:mischain
ID_374	GTF2IRD2	13	True	True	False	FOUND:rna-split
ID_8	PMS2P5	4	True	True	False	FOUND:protein-tail
ID_207	SPDYE12P	4	True	True	False	FOUND:rna-split
ID_208	CASTOR2	9	True	False	False	MISS:collapse-K0
ID_374	GTF2IRD2B	11	True	True	False	FOUND:rna-split
ID_402	NCF1C	8	True	False	True	MISS:mischain
ID_208	GTF2IP1	12	True	True	False	FOUND:protein-tail
ID_207	SPDYE9	8	True	True	False	FOUND:rna-split
ID_207	SPDYE8	7	True	True	False	FOUND:rna-split
ID_207	SPDYE13	4	True	True	False	FOUND:rna-split
ID_8	PMS2P10	6	True	True	False	FOUND:projection
ID_207	SPDYE14	0	False	True	False	FOUND:projection
ID_8	AC211486.3	5	True	True	False	FOUND:projection
ID_207	SPDYE15	5	True	True	False	FOUND:rna-split
ID_8	PMS2P2	7	True	True	False	FOUND:rna-split
ID_407	TRIM73	8	True	True	False	FOUND:rna-split
ID_407	NSUN5P1	13	True	True	False	FOUND:rna-split
ID_12	POM121C	17	True	True	False	FOUND:rna-split
ID_207	SPDYE5	7	True	True	False	FOUND:protein-tail
ID_207	SPDYE16	10	True	True	False	FOUND:projection
ID_12	AC004980.1	10	True	True	False	FOUND:rna-split
ID_12	POMZP3	8	True	True	False	FOUND:rna-split
ID_207	SPDYE18	7	True	True	False	FOUND:projection
ID_207	SPDYE3	12	True	True	False	FOUND:rna-split
ID_8	PMS2P1	13	True	True	False	FOUND:rna-split
ID_207	SPDYE6	8	True	True	False	FOUND:projection
ID_207	SPDYE2	8	True	True	False	FOUND:projection
ID_127	TCAF2	15	True	True	False	FOUND:rna-split
ID_127	AC099548.2	8	True	True	False	FOUND:rna-split
ID_127	TCAF2C	6	True	True	False	FOUND:rna-split
ID_490	ZNF705G	9	True	True	False	FOUND:rna-split
ID_338	DEFB108C	1	True	False	False	MISS:seeding-gap
ID_458	SPAG11A	6	True	False	False	MISS:not-expressed
ID_490	ZNF705D	6	True	True	False	FOUND:rna-split
ID_338	DEFB108D	1	True	False	False	MISS:seeding-gap
ID_338	DEFB108A	1	True	True	False	FOUND:protein-tail
ID_334	DEFB104B	1	False	False	False	MISS:not-expressed
ID_458	SPAG11B	5	True	False	False	MISS:not-expressed
ID_490	ZNF705B	1	True	True	False	FOUND:rna-split
ID_245	CNTNAP3	24	True	True	False	FOUND:rna-split
ID_261	CNTNAP3P5	0	False	True	False	FOUND:rna-split
ID_261	AL513478.3	1	True	False	False	MISS:collapse-K0
ID_260	AL513478.2	6	True	False	False	MISS:genuine-miss
ID_280	ANKRD20A3P	24	True	True	False	FOUND:rna-split
ID_104	AL669942.1	5	True	True	False	FOUND:rna-split
ID_245	BX005040.4	2	True	True	False	FOUND:rna-split
ID_147	AC125634.1	4	True	True	False	FOUND:rna-split
ID_245	CNTNAP3B	38	True	True	False	FOUND:rna-split
ID_359	FGF7P5	2	True	True	False	FOUND:rna-split
ID_359	FGF7P7	2	True	True	False	FOUND:rna-split
ID_261	BX664718.2	5	False	True	False	FOUND:rna-split
ID_260	MEP1AP4	4	True	False	False	MISS:not-expressed
ID_280	ANKRD20A7P	11	True	True	False	FOUND:rna-split
ID_104	CYP4F60P	2	True	True	False	FOUND:protein-tail
ID_348	DUX4L50	3	False	False	False	MISS:thin-single-exon
ID_147	AL353626.3	6	True	True	False	FOUND:rna-split
ID_104	FAM95B1	0	False	True	False	FOUND:rna-split
ID_260	MEP1AP1	4	True	False	False	MISS:genuine-miss
ID_261	AL773545.4	2	True	False	False	MISS:seeding-gap
ID_267	AL590399.2	0	False	True	False	FOUND:protein-tail
ID_245	CNTNAP3P2	23	True	True	False	FOUND:rna-split
ID_280	ANKRD20A1	24	True	True	False	FOUND:rna-split
ID_261	CNTNAP3P1	0	False	False	False	MISS:not-expressed
ID_359	FGF7P8	2	False	True	False	FOUND:rna-split
ID_35	FAM157B	12	True	True	False	FOUND:protein-tail
ID_35	AL133216.2	14	True	True	False	FOUND:protein-tail
ID_240	SYT15	16	True	True	False	FOUND:rna-split
ID_443	SHLD2P1	12	True	True	False	FOUND:rna-split
ID_327	CTSLP3	1	True	True	False	FOUND:rna-split
ID_443	SHLD2P3	14	True	True	False	FOUND:rna-split
ID_240	FO681492.1	14	True	True	False	FOUND:rna-split
ID_327	CTSLP4	7	True	True	False	FOUND:rna-split
ID_327	CTSLP6	7	True	True	False	FOUND:rna-split
ID_443	SHLD2	22	True	True	False	FOUND:rna-split
ID_240	AL157893.1	0	False	True	False	FOUND:rna-split
ID_327	CTSLP1	7	True	True	False	FOUND:rna-split
ID_332	FO538757.1	5	True	False	False	MISS:resolved-elsewhere
ID_391	WASHC1	18	True	True	False	FOUND:rna-split
ID_43	TRIM64DP	0	False	True	False	FOUND:protein-tail
ID_43	TRIM64B	5	True	False	False	MISS:not-expressed
ID_43	TRIM64	5	True	False	False	MISS:collapse-K0
ID_43	TRIM64EP	0	False	True	False	FOUND:protein-tail
ID_332	DDX11L5	7	True	True	False	FOUND:projection
ID_49	AC009533.1	17	True	True	False	FOUND:rna-split
ID_49	DDX12P	19	True	True	False	FOUND:rna-split
ID_49	DDX11	43	True	True	False	FOUND:protein-tail
ID_22	AL356585.3	4	True	True	False	FOUND:rna-split
ID_251	AL356585.4	3	False	True	False	FOUND:rna-split
ID_147	FO681491.1	6	True	True	False	FOUND:rna-split
ID_142	CR381670.1	0	False	True	False	FOUND:rna-split
ID_411	OR11H12	1	True	False	False	MISS:not-expressed
ID_65	CR383656.5	5	True	False	False	MISS:not-expressed
ID_403	NF1P10	0	False	True	False	FOUND:rna-split
ID_411	OR11H13P	0	False	False	False	MISS:genuine-miss
ID_300	BMS1P17	4	True	True	False	FOUND:protein-tail
ID_403	NF1P7	0	False	True	False	FOUND:rna-split
ID_148	AC126603.1	10	True	False	False	MISS:genuine-miss
ID_188	HERC2P3	25	True	True	False	FOUND:rna-split
ID_71	AC023310.1	4	True	True	False	FOUND:projection
ID_116	GOLGA6L6	8	True	True	False	FOUND:rna-split
ID_113	GOLGA8CP	16	True	True	False	FOUND:rna-split
ID_167	CHEK2P2	8	False	True	False	FOUND:rna-split
ID_113	GOLGA8EP	14	True	True	False	FOUND:rna-split
ID_116	GOLGA6L22	9	True	True	False	FOUND:rna-split
ID_71	HERC2P7	3	True	True	False	FOUND:rna-split
ID_188	HERC2P2	36	True	True	False	FOUND:rna-split
ID_113	GOLGA8IP	14	True	True	False	FOUND:rna-split
ID_156	WHAMMP3	11	True	True	False	FOUND:rna-split
ID_113	GOLGA8DP	15	True	True	False	FOUND:rna-split
ID_116	GOLGA6L1	9	True	True	False	FOUND:rna-split
ID_71	AC242376.1	5	True	True	False	FOUND:rna-split
ID_116	AC100756.3	6	True	True	False	FOUND:rna-split
ID_113	GOLGA8S	17	True	True	False	FOUND:rna-split
ID_188	HERC2	105	True	True	False	FOUND:rna-split
ID_71	AC091304.3	5	True	True	False	FOUND:rna-split
ID_116	AC091304.1	7	True	True	False	FOUND:rna-split
ID_113	GOLGA8F	21	True	True	False	FOUND:rna-split
ID_113	GOLGA8G	17	True	True	False	FOUND:rna-split
ID_116	AC138749.1	6	True	True	False	FOUND:rna-split
ID_71	HERC2P11	4	True	True	False	FOUND:rna-split
ID_188	HERC2P9	15	True	True	False	FOUND:rna-split
ID_113	GOLGA8M	23	True	True	False	FOUND:rna-split
ID_156	WHAMMP2	9	True	True	False	FOUND:rna-split
ID_113	GOLGA8J	16	True	True	False	FOUND:rna-split
ID_68	DNM1P28	4	True	True	False	FOUND:protein-tail
ID_179	ULK4P3	4	True	True	False	FOUND:projection
ID_113	GOLGA8T	14	True	True	False	FOUND:rna-split
ID_68	AC019322.3	2	True	True	False	FOUND:protein-tail
ID_113	GOLGA8R	13	True	True	False	FOUND:rna-split
ID_156	AC127502.1	9	True	True	False	FOUND:rna-split
ID_156	AC127502.3	0	False	True	False	FOUND:protein-tail
ID_113	GOLGA8Q	13	True	True	False	FOUND:rna-split
ID_68	DNM1P50	3	True	True	False	FOUND:projection
ID_179	ULK4P2	4	True	True	False	FOUND:rna-split
ID_113	GOLGA8H	19	True	True	False	FOUND:rna-split
ID_113	GOLGA8K	17	True	True	False	FOUND:projection
ID_179	ULK4P1	3	True	True	False	FOUND:rna-split
ID_68	DNM1P32	4	True	True	False	FOUND:protein-tail
ID_113	GOLGA8O	15	True	True	False	FOUND:rna-split
ID_156	AC135983.4	2	True	True	False	FOUND:projection
ID_113	GOLGA8N	15	True	True	False	FOUND:rna-split
ID_78	GOLGA8A	27	False	True	False	FOUND:protein-tail
ID_88	GOLGA6L10	8	True	True	False	FOUND:rna-split
ID_78	UBE2Q2P2	4	True	True	False	FOUND:rna-split
ID_88	GOLGA6L9	8	True	True	False	FOUND:rna-split
ID_481	UBE2Q2P6	0	False	True	False	FOUND:rna-split
ID_324	CSPG4P10	12	True	True	False	FOUND:rna-split
ID_481	UBE2Q2L	4	True	True	False	FOUND:rna-split
ID_324	CSPG4P11	6	True	True	False	FOUND:rna-split
ID_88	GOLGA6L4	17	True	True	False	FOUND:rna-split
ID_481	UBE2Q2P11	0	False	True	False	FOUND:rna-split
ID_324	CSPG4P4Y	0	False	True	False	FOUND:rna-split
ID_78	AC243562.1	1	True	True	False	FOUND:rna-split
ID_481	UBE2Q2P8	0	False	False	False	MISS:mischain
ID_324	DNM1P51	2	True	True	False	FOUND:rna-split
ID_481	UBE2Q2P12	0	False	True	False	FOUND:rna-split
ID_88	GOLGA6L5P	8	True	True	False	FOUND:rna-split
ID_78	UBE2Q2P1	7	False	True	False	FOUND:protein-tail
ID_78	AC044860.1	19	True	True	False	FOUND:rna-split
ID_324	CSPG4P12	13	True	True	False	FOUND:rna-split
ID_391	WASH3P	9	True	True	False	FOUND:rna-split
ID_332	DDX11L9	5	True	True	False	FOUND:rna-split
ID_332	DDX11L16	2	True	False	False	MISS:not-expressed
ID_391	WASH6P	8	True	False	False	MISS:not-expressed
ID_154	NPIPB2	15	True	True	False	FOUND:rna-split
ID_154	NPIPA2	16	True	True	False	FOUND:rna-split
ID_154	NPIPP1	10	True	True	False	FOUND:rna-split
ID_154	NPIPA5	14	True	True	False	FOUND:rna-split
ID_154	NPIPA7	6	True	True	False	FOUND:rna-split
ID_154	NPIPB6	21	True	True	False	FOUND:rna-split
ID_154	NPIPB8	7	True	True	False	FOUND:rna-split
ID_154	NPIPB7	5	True	True	False	FOUND:rna-split
ID_154	NPIPB9	18	True	True	False	FOUND:rna-split
ID_154	NPIPB10P	4	True	True	False	FOUND:rna-split
ID_154	NPIPB11	5	True	True	False	FOUND:rna-split
ID_302	BOLA2B	7	False	False	False	MISS:mischain
ID_154	NPIPB12	10	True	True	False	FOUND:projection
ID_474	TP53TG3D	6	True	True	False	FOUND:rna-split
ID_167	AC133548.1	0	False	False	False	MISS:not-expressed
ID_26	SLC9B1P1	4	True	False	False	MISS:not-expressed
ID_182	AC137800.1	3	False	True	False	FOUND:protein-tail
ID_182	AC137800.2	3	False	True	False	FOUND:protein-tail
ID_474	TP53TG3C	6	True	True	False	FOUND:rna-split
ID_474	TP53TG3B	6	True	True	False	FOUND:rna-split
ID_167	AC136944.3	5	True	True	False	FOUND:rna-split
ID_148	AC142384.1	9	True	False	False	MISS:mischain
ID_154	NPIPB14P	9	True	True	False	FOUND:rna-split
ID_154	NPIPB15	9	True	True	False	FOUND:rna-split
ID_14	AC005562.2	1	True	True	False	FOUND:rna-split
ID_14	LRRC37BP1	6	True	True	False	FOUND:rna-split
ID_14	LRRC37B	12	True	True	False	FOUND:rna-split
ID_14	AC090616.5	2	True	True	False	FOUND:rna-split
ID_92	AC243829.7	0	False	False	False	MISS:not-expressed
ID_468	TBC1D3B	12	True	True	False	FOUND:rna-split
ID_468	TBC1D3I	10	True	True	False	FOUND:projection
ID_209	AC233699.1	11	True	True	False	FOUND:rna-split
ID_468	TBC1D3H	12	True	True	False	FOUND:rna-split
ID_222	AC243829.6	0	False	False	False	MISS:mischain
ID_468	TBC1D3K	18	True	True	False	FOUND:rna-split
ID_468	TBC1D3D	20	True	True	False	FOUND:rna-split
ID_468	TBC1D3E	19	True	True	False	FOUND:rna-split
ID_468	TBC1D3	10	True	True	False	FOUND:rna-split
ID_209	NPEPPSP1	9	True	True	False	FOUND:rna-split
ID_14	LRRC37A	14	True	True	False	FOUND:protein-tail
ID_14	LRRC37A2	24	True	True	False	FOUND:protein-tail
ID_209	NPEPPS	25	True	True	False	FOUND:rna-split
ID_468	TBC1D3P1	1	True	True	False	FOUND:rna-split
ID_92	AC053481.4	0	False	False	False	MISS:not-expressed
ID_468	TBC1D3P2	10	True	True	False	FOUND:rna-split
ID_14	LRRC37A3	12	True	True	False	FOUND:projection
ID_359	FGF7P1	2	True	True	False	FOUND:protein-tail
ID_332	DDX11L10	3	True	True	False	FOUND:protein-tail
ID_175	TEKT4P2	4	True	False	False	MISS:mischain
ID_22	BAGE2	12	True	True	False	FOUND:rna-split
ID_147	ANKRD30BP2	9	True	True	False	FOUND:rna-split
ID_359	FGF7P2	2	True	True	False	FOUND:projection
ID_175	AC134878.2	7	True	False	False	MISS:genuine-miss
ID_411	OR11H1	1	True	False	False	MISS:not-expressed
ID_65	AP000534.2	7	True	True	False	FOUND:rna-split
ID_403	NF1P11	0	False	True	False	FOUND:rna-split
ID_300	BMS1P22	4	True	True	False	FOUND:rna-split
ID_283	BCRP7	6	True	True	False	FOUND:rna-split
ID_283	BCRP2	10	True	True	False	FOUND:rna-split
ID_283	BCRP4	5	True	True	False	FOUND:rna-split
ID_283	BCRP1	8	True	True	False	FOUND:rna-split
ID_283	AP000356.3	10	True	True	False	FOUND:rna-split
