family	gene	locus	len	fam_size	rna_found	best_par_id	n_par_ge95	n_par_ge90	best_par_locus
ID_354	FAM72D	chr1:144220682-144237402	16720	4	True	0.996	3	3	chr1:143025000
ID_211	AC241585.3	chr1:144264691-144273083	8392	4	True	0.970	3	3	chr1:142880000
ID_431	PPIAL4D	chr1:144366357-144366853	496	5	True	0.998	6	28	chr1:143470000
ID_215	AC239860.2	chr1:144624326-144625491	1165	7	True	0.999	3	3	chr1:146725000
ID_215	AC239860.1	chr1:144625929-144637478	11549	7	True	0.978	1	3	chr1:146710000
ID_400	NOTCH2NLA	chr1:145263046-145345902	82856	6	True	0.997	4	5	chr1:146105000
ID_448	SEC22B3P	chr1:145439433-145451394	11961	3	True	0.999	3	3	chr1:146000000
ID_215	PDE4DIP	chr1:145474975-145714337	239362	7	True	0.996	3	5	chr1:145850000
ID_213	AC239804.2	chr1:145768949-145779518	10569	4	True	0.994	3	3	chr1:143580000
ID_215	AC245297.1	chr1:145855639-145979396	123757	7	True	0.997	3	3	chr1:145475000
ID_448	SEC22B2P	chr1:146003303-146015266	11963	3	True	0.999	3	3	chr1:145435000
ID_400	NOTCH2NLB	chr1:146108307-146215315	107008	6	True	0.984	40	42	chr1:143625000
ID_212	AC245100.8	chr1:146347679-146348727	1048	5	True	0.990	5	5	chr1:148730000
ID_213	AC239809.1	chr1:146572932-146573150	218	4	False	0.995	1	7	chr1:148305000
ID_215	PDE4DIPP1	chr1:146713522-146726811	13289	7	True	0.980	4	4	chr1:144620000
ID_213	AC245407.1	chr1:148346520-148348932	2412	4	False	0.994	3	3	chr1:120415000
ID_400	NOTCH2NLC	chr1:148519505-148596912	77407	6	True	0.984	3	4	chr1:146105000
ID_431	PPIAL4C	chr1:148708008-148708609	601	5	False	0.993	6	6	chr1:146320000
ID_212	LINC00869	chr1:148730482-148829853	99371	5	True	0.991	8	11	chr1:146345000
ID_211	AC243772.3	chr1:148800985-148871935	70950	4	True	0.990	2	3	chr1:142840000
ID_357	FCGR1A	chr1:148906815-148916660	9845	3	True	0.988	2	2	chr1:142945000
ID_226	H2BC18	chr1:148906833-148936508	29675	5	True	0.974	2	2	chr1:121095000
ID_226	H3C13	chr1:148937358-148937828	470	5	True	0.987	4	4	chr1:142975000
ID_354	FAM72A	chr1:205450359-205468600	18241	4	True	0.993	3	3	chr1:144215000
ID_462	SRGAP2	chr1:205466058-205728625	262567	4	True	0.991	4	4	chr1:143115000
ID_35	AL592148.2	chr1:221743930-221753495	9565	10	True	0.979	15	15	chr20:55000
ID_35	GTF2IP20	chr1:223141181-223182346	41165	10	True	0.974	6	6	chr1:155000
ID_35	LINC01347	chr1:242467318-242512761	45443	10	True	0.985	11	17	chr1:155000
ID_63	ANAPC1P1	chr2:86863741-86914950	51209	8	False	0.979	5	6	chr2:87990000
ID_395	RGPD1	chr2:86909901-87019191	109290	6	True	0.992	5	5	chr2:87765000
ID_63	ANAPC1P2	chr2:87037033-87058220	21187	8	True	0.981	3	3	chr2:87145000
ID_63	ANAPC1P3	chr2:87123762-87126211	2449	8	False	0.998	4	4	chr2:87160000
ID_63	AC083899.1	chr2:87130427-87202282	71855	8	True	0.998	3	4	chr2:87120000
ID_63	ANAPC1P4	chr2:87712968-87750095	37127	8	True	0.978	3	4	chr2:87130000
ID_395	RGPD2	chr2:87767939-87837964	70025	6	True	0.992	2	2	chr2:86950000
ID_63	ANAPC1P5	chr2:87992304-88004460	12156	8	False	0.979	2	4	chr2:86900000
ID_22	AC006453.1	chr2:89538522-89556925	18403	6	True	0.999	12	14	chr2:90180000
ID_24	LSP1P5	chr2:90105022-90147871	42849	3	True	0.998	6	6	chr2:89590000
ID_26	AC006453.4	chr2:90228191-90245534	17343	2	True	0.993	3	7	chr2:89495000
ID_24	LSP1P4	chr2:91806874-91849698	42824	3	True	0.997	6	6	chr2:90105000
ID_22	AC027612.2	chr2:91875827-91904480	28653	6	True	0.990	12	14	chr1:143760000
ID_251	ANKRD36B	chr2:97950885-98048181	97296	2	False	0.974	5	15	chr2:97620000
ID_395	RGPD3	chr2:106852051-106929839	77788	6	True	0.985	6	6	chr2:108285000
ID_63	AC097527.1	chr2:106932223-106939096	6873	8	False	0.985	5	5	chr2:86870000
ID_395	RGPD4	chr2:108288410-108354099	65689	6	True	0.985	5	7	chr2:106860000
ID_386	LIMS1	chr2:108994973-109147842	152869	2	True	0.980	4	4	chr2:110865000
ID_386	LIMS4	chr2:110869109-110895544	26435	2	True	0.997	2	2	chr2:110360000
ID_395	RGPD5	chr2:110936275-111001638	65363	6	True	0.993	6	7	chr2:110250000
ID_63	ANAPC1	chr2:112037440-112311134	273694	8	True	0.958	2	5	chr2:87125000
ID_395	RGPD8	chr2:112795143-112861095	65952	6	True	0.967	5	7	chr2:110935000
ID_391	WASH2P	chr2:114013234-114023720	10486	5	True	0.987	7	7	chr16:5000
ID_332	DDX11L2	chr2:114023720-114025947	2227	6	True	0.986	11	11	chr11:0
ID_65	FAR2P1	chr2:130441675-130470147	28472	9	True	0.953	3	6	chr2:131120000
ID_65	CYP4F27P	chr2:130478035-130479051	1016	9	True	0.994	3	3	chr2:131720000
ID_65	FAR2P2	chr2:130850654-130865267	14613	9	True	0.992	3	3	chr2:131120000
ID_65	CYP4F62P	chr2:130863729-130875321	11592	9	True	0.998	3	3	chr2:131110000
ID_65	CYP4F30P	chr2:131114190-131120019	5829	9	True	0.998	3	3	chr2:130865000
ID_65	FAR2P3	chr2:131124287-131152985	28698	9	True	0.992	3	3	chr2:130835000
ID_65	FAR2P4	chr2:131713789-131743753	29964	9	True	0.972	3	3	chr2:130455000
ID_141	AC119751.3	chr3:95668991-95671638	2647	1	True	0.995	15	16	chr22:3755000
ID_146	AC233280.19	chr3:198342015-198343130	1115	2	False	0.996	2	2	chr3:200385000
ID_146	AC124944.2	chr3:198403551-198444967	41416	2	True	0.921	0	1	chr3:73105000
ID_35	FAM157A	chr3:200883047-200954215	71168	10	True	0.987	9	11	chr20:55000
ID_391	WASH8P	chr3:201079783-201097278	17495	5	True	0.973	2	2	chr20:75000
ID_35	AC110079.1	chr4:121896771-121939030	42259	10	True	0.973	11	11	chr1:223175000
ID_35	GTF2IP12	chr4:122710627-122759756	49129	10	True	0.970	10	15	chr1:227150000
ID_163	GUSBP1	chr5:21350028-21696579	346551	6	True	0.977	14	24	chr5:34305000
ID_399	NAIPP1	chr5:70432873-70449844	16971	4	True	0.990	1	1	chr5:71575000
ID_163	GUSBP3	chr5:70465243-70505040	39797	6	True	0.995	3	9	chr5:71700000
ID_163	AC131392.1	chr5:70679155-70725182	46027	6	True	0.992	19	30	chr5:71700000
ID_399	NAIPP2	chr5:70774918-70792685	17767	4	True	0.997	2	2	chr5:71425000
ID_313	CDH12P1	chr5:70901860-70902156	296	2	False	1.000	3	3	chr5:71585000
ID_163	GUSBP16	chr5:71208720-71252673	43953	6	True	0.993	9	25	chr5:71690000
ID_399	NAIP	chr5:71424929-71482091	57162	4	True	0.997	1	1	chr5:70770000
ID_399	NAIPP4	chr5:71559603-71585455	25852	4	True	0.994	2	3	chr5:71435000
ID_313	CDH12P3	chr5:71589693-71589989	296	2	False	1.000	3	3	chr5:71315000
ID_163	AC146949.1	chr5:71701647-71740552	38905	6	True	0.995	3	9	chr5:70465000
ID_182	FAM153B	chr5:176604120-176659690	55570	4	True	0.889	0	0	chr5:178265000
ID_182	FAM153A	chr5:178251444-178327488	76044	4	True	0.954	1	2	chr5:178330000
ID_35	AC008443.6	chr5:181851743-181855644	3901	10	False	0.988	15	15	chr20:55000
ID_163	GUSBP2	chr6:26739835-26824933	85098	6	True	0.971	6	23	chr5:34335000
ID_207	SPDYE1	chr7:44156261-44168507	12246	17	True	0.970	8	8	chr7:103660000
ID_208	GTF2IP14	chr7:66290271-66306356	16085	5	True	0.975	1	1	chr7:66995000
ID_208	GTF2IP5	chr7:66995739-67024210	28471	5	True	0.969	1	1	chr7:66290000
ID_207	SPDYE21	chr7:68498461-68506406	7945	17	True	0.978	7	8	chr7:76780000
ID_8	PMS2P4	chr7:68507281-68522154	14873	9	True	0.978	6	8	chr7:103970000
ID_207	SPDYE7P	chr7:74091027-74099848	8821	17	True	0.968	4	8	chr7:77810000
ID_12	POM121	chr7:74107538-74179670	72132	4	True	0.976	2	4	chr7:77825000
ID_407	NSUN5P2	chr7:74175809-74183019	7210	4	True	0.985	1	1	chr7:76695000
ID_407	TRIM74	chr7:74187708-74197691	9983	4	False	0.997	1	1	chr7:76680000
ID_8	PMS2P7	chr7:74233765-74249332	15567	9	True	0.996	10	11	chr7:76630000
ID_8	PMS2P11	chr7:74265295-74269589	4294	9	True	0.993	9	11	chr7:74290000
ID_207	SPDYE17	chr7:74276649-74286089	9440	17	True	0.998	8	9	chr7:76510000
ID_8	PMS2P6	chr7:74293709-74305513	11804	9	True	0.997	10	11	chr7:74265000
ID_207	SPDYE10P	chr7:74304323-74311264	6941	17	True	0.998	8	8	chr7:74245000
ID_402	NCF1B	chr7:74420835-74436153	15318	3	False	0.997	2	2	chr7:76360000
ID_374	GTF2IRD2P1	chr7:74442956-74480301	37345	3	True	0.987	2	2	chr7:76315000
ID_208	GTF2I	chr7:75852514-75962984	110470	5	True	0.995	2	2	chr7:74375000
ID_402	NCF1	chr7:75976253-75991692	15439	3	False	0.994	2	2	chr7:74420000
ID_374	GTF2IRD2	chr7:75998458-76053859	55401	3	True	0.972	2	2	chr7:74440000
ID_8	PMS2P5	chr7:76096419-76100140	3721	9	True	0.971	4	11	chr7:101565000
ID_207	SPDYE12P	chr7:76108976-76115619	6643	17	True	0.971	2	2	chr7:101550000
ID_208	CASTOR2	chr7:76167037-76233789	66752	5	False	0.986	2	2	chr7:76420000
ID_374	GTF2IRD2B	chr7:76296514-76353770	57256	3	True	0.987	2	2	chr7:74440000
ID_402	NCF1C	chr7:76360590-76375995	15405	3	False	0.997	2	2	chr7:74420000
ID_208	GTF2IP1	chr7:76389248-76441615	52367	5	True	0.997	3	3	chr7:74355000
ID_207	SPDYE9	chr7:76510544-76520418	9874	17	True	1.000	8	9	chr7:76535000
ID_207	SPDYE8	chr7:76538561-76548009	9448	17	True	1.000	9	10	chr7:76510000
ID_207	SPDYE13	chr7:76568351-76574235	5884	17	True	1.000	10	10	chr7:76620000
ID_8	PMS2P10	chr7:76575232-76586963	11731	9	True	0.999	10	11	chr7:76515000
ID_207	SPDYE14	chr7:76596367-76602252	5885	17	True	0.998	8	8	chr7:76540000
ID_8	AC211486.3	chr7:76603248-76614958	11710	9	True	0.999	10	11	chr7:76545000
ID_207	SPDYE15	chr7:76624357-76630241	5884	17	True	1.000	10	10	chr7:76565000
ID_8	PMS2P2	chr7:76631238-76646816	15578	9	True	0.996	10	11	chr7:76545000
ID_407	TRIM73	chr7:76682335-76698280	15945	4	True	0.997	1	1	chr7:74180000
ID_407	NSUN5P1	chr7:76697604-76704067	6463	4	True	0.993	1	1	chr7:74175000
ID_12	POM121C	chr7:76704064-76773584	69520	4	True	0.982	2	3	chr7:77900000
ID_207	SPDYE5	chr7:76780965-76791636	10671	17	True	0.978	8	8	chr7:68495000
ID_207	SPDYE16	chr7:77810553-77820700	10147	17	True	0.988	8	8	chr7:78300000
ID_12	AC004980.1	chr7:77828590-77906904	78314	4	True	0.982	6	6	chr1:82970000
ID_12	POMZP3	chr7:77889197-77906183	16986	4	True	0.983	2	2	chr7:77720000
ID_207	SPDYE18	chr7:78303830-78311572	7742	17	True	0.986	8	8	chr7:77810000
ID_207	SPDYE3	chr7:101547787-101562282	14495	17	True	0.968	11	11	chr7:76105000
ID_8	PMS2P1	chr7:101559306-101576392	17086	9	True	0.969	10	11	chr7:76090000
ID_207	SPDYE6	chr7:103663166-103673862	10696	17	True	0.994	8	8	chr7:103870000
ID_207	SPDYE2	chr7:103962118-103972964	10846	17	True	0.996	8	8	chr7:103865000
ID_127	TCAF2	chr7:144980464-145010762	30298	3	True	0.999	2	2	chr7:145095000
ID_127	AC099548.2	chr7:145042141-145117285	75144	3	True	0.999	3	74	chr7:144980000
ID_127	TCAF2C	chr7:145090337-145098763	8426	3	True	0.995	1	1	chr7:145000000
ID_490	ZNF705G	chr8:7084496-7114544	30048	3	True	0.966	2	5	chr12:8175000
ID_338	DEFB108C	chr8:7102093-7106486	4393	3	False	0.994	4	4	chr8:12080000
ID_458	SPAG11A	chr8:7171678-7192682	21004	2	False	0.996	2	2	chr8:11990000
ID_490	ZNF705D	chr8:7619008-7630136	11128	3	True	0.998	6	6	chr8:12085000
ID_338	DEFB108D	chr8:7634987-7639336	4349	3	False	0.961	5	5	chr8:12620000
ID_338	DEFB108A	chr8:12080371-12084735	4364	3	True	0.994	4	4	chr8:7100000
ID_334	DEFB104B	chr8:12522996-12527770	4774	1	False	0.992	2	2	chr8:7195000
ID_458	SPAG11B	chr8:12534401-12555431	21030	2	False	0.995	2	2	chr8:11990000
ID_490	ZNF705B	chr8:12612891-12638954	26063	3	True	0.995	2	3	chr8:12070000
ID_245	CNTNAP3	chr9:39086152-39301732	215580	4	True	0.983	2	2	chr9:41310000
ID_261	CNTNAP3P5	chr9:39786634-39796678	10044	5	True	0.995	5	5	chr9:78360000
ID_261	AL513478.3	chr9:40182305-40186244	3939	5	False	0.997	2	2	chr9:77970000
ID_260	AL513478.2	chr9:40202700-40208822	6122	3	False	0.989	2	2	chr9:44365000
ID_280	ANKRD20A3P	chr9:40211671-40284336	72665	3	True	0.993	5	5	chr9:77875000
ID_104	AL669942.1	chr9:40336207-40344131	7924	3	True	0.994	3	4	chr9:42950000
ID_245	BX005040.4	chr9:41323315-41373554	50239	4	True	0.988	3	3	chr9:43470000
ID_147	AC125634.1	chr9:42529786-42537205	7419	4	True	0.997	2	3	chr9:77390000
ID_245	CNTNAP3B	chr9:43440746-43680056	239310	4	True	0.991	3	3	chr9:41320000
ID_359	FGF7P5	chr9:44178191-44179570	1379	5	True	1.000	7	8	chr9:44220000
ID_359	FGF7P7	chr9:44220295-44221682	1387	5	True	1.000	7	8	chr9:44175000
ID_261	BX664718.2	chr9:44277729-44354481	76752	5	True	0.980	4	11	chr9:40180000
ID_260	MEP1AP4	chr9:44369523-44375633	6110	3	False	0.989	2	2	chr9:40200000
ID_280	ANKRD20A7P	chr9:44382760-44503215	120455	3	True	0.914	0	3	chr9:40215000
ID_104	CYP4F60P	chr9:44502952-44504018	1066	3	True	0.984	4	4	chr9:40340000
ID_348	DUX4L50	chr9:47737220-47737936	716	1	False	0.975	4	4	chr9:80370000
ID_147	AL353626.3	chr9:77394972-77407442	12470	4	True	0.996	1	1	chr9:42530000
ID_104	FAM95B1	chr9:77797810-77805957	8147	3	True	0.970	3	5	chr9:40335000
ID_260	MEP1AP1	chr9:77952010-77958144	6134	3	False	0.987	2	2	chr9:40200000
ID_261	AL773545.4	chr9:77974578-77978517	3939	5	False	0.997	2	2	chr9:40180000
ID_267	AL590399.2	chr9:78289826-78290136	310	1	True	1.000	6	6	chr9:44140000
ID_245	CNTNAP3P2	chr9:78831664-79065816	234152	4	True	0.989	2	2	chr9:41320000
ID_280	ANKRD20A1	chr9:79615465-79703187	87722	3	True	0.993	5	5	chr9:77860000
ID_261	CNTNAP3P1	chr9:80247804-80257862	10058	5	False	0.983	5	5	chr9:39785000
ID_359	FGF7P8	chr9:80292843-80294222	1379	5	True	0.994	7	8	chr9:39830000
ID_35	FAM157B	chr9:150478579-150516124	37545	10	True	0.987	18	22	chr16:96185000
ID_35	AL133216.2	chr10:38447204-38496163	48959	10	True	0.972	10	12	chr1:155000
ID_240	SYT15	chr10:47464575-47480533	15958	3	True	0.997	2	2	chr10:48635000
ID_443	SHLD2P1	chr10:47496904-47538456	41552	3	True	0.993	1	2	chr10:48580000
ID_327	CTSLP3	chr10:47641642-47647779	6137	4	True	0.991	4	4	chr10:48470000
ID_443	SHLD2P3	chr10:48581036-48621767	40731	3	True	0.993	1	2	chr10:47495000
ID_240	FO681492.1	chr10:48641165-48655007	13842	3	True	0.997	2	2	chr10:47460000
ID_327	CTSLP4	chr10:51553971-51557497	3526	4	True	0.988	4	4	chr10:88270000
ID_327	CTSLP6	chr10:80739715-80743245	3530	4	True	0.985	4	4	chr10:51550000
ID_443	SHLD2	chr10:87977792-88075100	97308	3	True	0.960	2	2	chr10:47495000
ID_240	AL157893.1	chr10:88097762-88099813	2051	3	True	0.966	2	2	chr10:47470000
ID_327	CTSLP1	chr10:88270282-88273802	3520	4	True	0.988	4	4	chr10:51550000
ID_332	FO538757.1	chr11:3740-5220	1480	6	False	0.995	11	11	chr15:99745000
ID_391	WASHC1	chr11:5922-16459	10537	5	True	0.995	7	7	chr19:5000
ID_43	TRIM64DP	chr11:89696664-89702267	5603	4	True	0.997	1	1	chr11:89975000
ID_43	TRIM64B	chr11:89788985-89795720	6735	4	False	0.998	1	1	chr11:89885000
ID_43	TRIM64	chr11:89888639-89894223	5584	4	False	0.998	1	1	chr11:89790000
ID_43	TRIM64EP	chr11:89977681-89983077	5396	4	True	0.997	1	1	chr11:89695000
ID_332	DDX11L5	chr12:5135-6786	1651	6	True	0.998	11	11	chrY:62450000
ID_49	AC009533.1	chr12:9259741-9295801	36060	3	True	0.985	2	2	chr12:9400000
ID_49	DDX12P	chr12:9401422-9430965	29543	3	True	0.985	2	2	chr12:9265000
ID_49	DDX11	chr12:30948352-30979293	30941	3	True	0.962	2	2	chr12:9265000
ID_22	AL356585.3	chr13:13560341-13578654	18313	6	True	0.981	12	14	chr21:10625000
ID_251	AL356585.4	chr13:13734170-13738626	4456	2	True	0.977	5	5	chr14:3490000
ID_147	FO681491.1	chr13:17624760-17647558	22798	4	True	0.976	3	3	chr21:11380000
ID_142	CR381670.1	chr14:5759975-5783699	23724	1	True	0.997	13	15	chr21:7555000
ID_411	OR11H12	chr14:13104431-13105517	1086	3	False	0.994	3	3	chr22:16100000
ID_65	CR383656.5	chr14:13134773-13154353	19580	9	False	0.995	2	2	chr22:16130000
ID_403	NF1P10	chr14:13212855-13215996	3141	3	True	0.996	2	3	chr22:16195000
ID_411	OR11H13P	chr14:13493444-13494424	980	3	False	0.981	3	3	chr22:16100000
ID_300	BMS1P17	chr14:13614822-13630011	15189	2	True	0.997	2	2	chr14:13395000
ID_403	NF1P7	chr14:13803703-13813427	9724	3	True	0.956	1	3	chr22:16195000
ID_148	AC126603.1	chr15:18136928-18186041	49113	2	False	0.993	1	1	chr15:19365000
ID_188	HERC2P3	chr15:18291208-18418223	127015	4	True	0.994	3	4	chr15:19205000
ID_71	AC023310.1	chr15:18428068-18432445	4377	5	True	0.996	6	6	chr15:20150000
ID_116	GOLGA6L6	chr15:18443672-18453636	9964	6	True	0.966	3	6	chr15:21060000
ID_113	GOLGA8CP	chr15:18474211-18487534	13323	16	True	0.996	5	6	chr15:20095000
ID_167	CHEK2P2	chr15:19353208-19362048	8840	3	True	0.997	6	6	chr15:18190000
ID_113	GOLGA8EP	chr15:20099133-20109998	10865	16	True	0.996	6	6	chr15:18470000
ID_116	GOLGA6L22	chr15:20130998-20141345	10347	6	True	0.981	2	6	chr15:26090000
ID_71	HERC2P7	chr15:20152552-20156955	4403	5	True	0.996	6	6	chr15:18425000
ID_188	HERC2P2	chr15:20166919-20262941	96022	4	True	0.986	3	4	chr15:18340000
ID_113	GOLGA8IP	chr15:20278132-20289966	11834	16	True	0.973	9	9	chr15:26475000
ID_156	WHAMMP3	chr15:20336417-20358287	21870	5	True	0.971	1	2	chr15:26510000
ID_113	GOLGA8DP	chr15:20841226-20854575	13349	16	True	0.996	5	6	chr15:20970000
ID_116	GOLGA6L1	chr15:21006515-21016292	9777	6	True	0.993	3	6	chr15:20810000
ID_71	AC242376.1	chr15:21046171-21050536	4365	5	True	0.994	6	6	chr15:20150000
ID_116	AC100756.3	chr15:21062528-21070403	7875	6	True	0.997	3	6	chr15:21005000
ID_113	GOLGA8S	chr15:21091024-21103533	12509	16	True	0.968	6	6	chr15:20970000
ID_188	HERC2	chr15:25853559-26064943	211384	4	True	0.921	0	3	chr15:20205000
ID_71	AC091304.3	chr15:26074992-26079365	4373	5	True	0.998	6	6	chr15:26350000
ID_116	AC091304.1	chr15:26091804-26100822	9018	6	True	0.998	2	6	chr15:26330000
ID_113	GOLGA8F	chr15:26121343-26134741	13398	16	True	1.000	5	6	chr15:26295000
ID_113	GOLGA8G	chr15:26296346-26309751	13405	16	True	1.000	5	6	chr15:26120000
ID_116	AC138749.1	chr15:26330348-26338091	7743	6	True	0.997	2	6	chr15:26090000
ID_71	HERC2P11	chr15:26351728-26356111	4383	5	True	0.998	6	6	chr15:26070000
ID_188	HERC2P9	chr15:26366200-26461978	95778	4	True	0.980	3	4	chr15:18340000
ID_113	GOLGA8M	chr15:26478664-26515105	36441	16	True	0.979	6	13	chr15:20325000
ID_156	WHAMMP2	chr15:26514302-26535923	21621	5	True	0.971	1	3	chr15:20335000
ID_113	GOLGA8J	chr15:27874771-27885220	10449	16	True	0.990	9	9	chr15:28395000
ID_68	DNM1P28	chr15:27890545-27893814	3269	4	True	0.999	3	3	chr15:28360000
ID_179	ULK4P3	chr15:27895441-27922933	27492	3	True	0.995	3	3	chr15:28170000
ID_113	GOLGA8T	chr15:27926870-27937297	10427	16	True	0.990	9	9	chr15:30185000
ID_68	AC019322.3	chr15:28188413-28189637	1224	4	True	1.000	3	3	chr15:27890000
ID_113	GOLGA8R	chr15:28197010-28207436	10426	16	True	0.998	8	9	chr15:28345000
ID_156	AC127502.1	chr15:28264052-28300871	36819	5	True	0.994	1	1	chr15:30295000
ID_156	AC127502.3	chr15:28300623-28306948	6325	5	True	0.996	1	1	chr15:30290000
ID_113	GOLGA8Q	chr15:28345327-28355752	10425	16	True	0.998	8	9	chr15:28195000
ID_68	DNM1P50	chr15:28361066-28364334	3268	4	True	0.999	3	3	chr15:28185000
ID_179	ULK4P2	chr15:28365932-28393844	27912	3	True	1.000	3	3	chr15:28170000
ID_113	GOLGA8H	chr15:28397319-28407743	10424	16	True	0.990	9	9	chr15:27870000
ID_113	GOLGA8K	chr15:30189305-30199719	10414	16	True	0.990	9	9	chr15:27925000
ID_179	ULK4P1	chr15:30203116-30231537	28421	3	True	0.997	3	3	chr15:28170000
ID_68	DNM1P32	chr15:30233052-30236315	3263	4	True	0.997	3	3	chr15:27890000
ID_113	GOLGA8O	chr15:30238450-30252173	13723	16	True	0.995	9	9	chr15:28345000
ID_156	AC135983.4	chr15:30290477-30296821	6344	5	True	0.996	1	1	chr15:28300000
ID_113	GOLGA8N	chr15:30389923-30403785	13862	16	True	0.993	9	9	chr15:28190000
ID_78	GOLGA8A	chr15:32184802-32213415	28613	5	True	0.994	1	1	chr15:32330000
ID_88	GOLGA6L10	chr15:80204111-80213595	9484	4	True	0.969	5	9	chr15:82180000
ID_78	UBE2Q2P2	chr15:80219260-80284203	64943	5	True	0.948	0	2	chrY:26320000
ID_88	GOLGA6L9	chr15:80294144-80303281	9137	4	True	0.949	0	6	chr15:82030000
ID_481	UBE2Q2P6	chr15:80309845-80318965	9120	5	True	0.995	5	5	chr15:82115000
ID_324	CSPG4P10	chr15:80323598-80341387	17789	5	True	0.993	3	3	chr15:82940000
ID_481	UBE2Q2L	chr15:82038454-82054353	15899	5	True	1.000	5	5	chr15:82235000
ID_324	CSPG4P11	chr15:82052722-82063358	10636	5	True	0.999	4	4	chr15:82225000
ID_88	GOLGA6L4	chr15:82101780-82111483	9703	4	True	0.998	7	9	chr15:82255000
ID_481	UBE2Q2P11	chr15:82117976-82127040	9064	5	True	0.995	5	5	chr15:80305000
ID_324	CSPG4P4Y	chr15:82133635-82137155	3520	5	True	0.969	4	4	chr15:80325000
ID_78	AC243562.1	chr15:82144483-82145499	1016	5	True	0.977	4	4	chr15:82070000
ID_481	UBE2Q2P8	chr15:82169947-82170050	103	5	False	0.959	3	10	chr15:82935000
ID_324	DNM1P51	chr15:82233822-82242855	9033	5	True	0.999	4	4	chr15:82045000
ID_481	UBE2Q2P12	chr15:82243926-82253037	9111	5	True	1.000	5	5	chr15:82035000
ID_88	GOLGA6L5P	chr15:82260324-82269230	8906	4	True	0.998	6	8	chr15:82100000
ID_78	UBE2Q2P1	chr15:82279207-82323633	44426	5	True	0.970	2	3	chrY:26320000
