family	gene	rna_bucket	rna_found	dna_linked98	best_sib_id
ID_448	SEC22B2P	FOUND:projection	True	True	0.999
ID_400	NOTCH2NLB	FOUND:rna-split	True	True	0.997
ID_212	AC245100.8	FOUND:rna-split	True	True	0.99
ID_213	AC239809.1	MISS:collapse-K0	False	False	0.944
ID_215	PDE4DIPP1	FOUND:rna-split	True	False	0.978
ID_213	AC245407.1	MISS:collapse-K0	False	True	0.992
ID_400	NOTCH2NLC	FOUND:rna-split	True	True	0.984
ID_431	PPIAL4C	MISS:not-expressed	False	True	0.988
ID_212	LINC00869	FOUND:rna-split	True	True	0.986
ID_211	AC243772.3	FOUND:rna-split	True	True	0.993
ID_357	FCGR1A	FOUND:rna-split	True	True	0.988
ID_226	H2BC18	FOUND:rna-split	True	False	0.956
ID_226	H3C13	FOUND:rna-split	True	True	0.987
ID_354	FAM72A	FOUND:rna-split	True	True	0.993
ID_462	SRGAP2	FOUND:rna-split	True	True	0.989
ID_35	AL592148.2	FOUND:projection	True	False	0.979
ID_35	GTF2IP20	FOUND:projection	True	False	0.973
ID_35	LINC01347	FOUND:protein-tail	True	False	0.979
ID_63	ANAPC1P1	MISS:collapse-K0	False	False	0.979
ID_395	RGPD1	FOUND:rna-split	True	True	0.992
ID_63	ANAPC1P2	FOUND:rna-split	True	True	0.981
ID_63	ANAPC1P3	MISS:mischain	False	True	0.998
ID_63	AC083899.1	FOUND:rna-split	True	True	0.981
ID_63	ANAPC1P4	FOUND:rna-split	True	False	0.978
ID_395	RGPD2	FOUND:rna-split	True	True	0.992
ID_63	ANAPC1P5	MISS:mischain	False	False	0.979
ID_22	AC006453.1	FOUND:rna-split	True	True	0.987
ID_24	LSP1P5	FOUND:rna-split	True	True	0.997
ID_26	AC006453.4	FOUND:rna-split	True	False	0.948
ID_24	LSP1P4	FOUND:rna-split	True	True	0.997
ID_22	AC027612.2	FOUND:rna-split	True	True	0.991
ID_251	ANKRD36B	MISS:seeding-gap	False	False	0.0
ID_395	RGPD3	FOUND:rna-split	True	True	0.985
ID_63	AC097527.1	MISS:not-expressed	False	True	0.985
ID_395	RGPD4	FOUND:rna-split	True	True	0.985
ID_386	LIMS1	FOUND:rna-split	True	False	0.979
ID_386	LIMS4	FOUND:rna-split	True	False	0.979
ID_395	RGPD5	FOUND:protein-tail	True	False	0.972
ID_63	ANAPC1	FOUND:rna-split	True	False	0.942
ID_395	RGPD8	FOUND:protein-tail	True	False	0.967
ID_391	WASH2P	FOUND:rna-split	True	True	0.987
ID_332	DDX11L2	FOUND:rna-split	True	True	0.985
ID_65	FAR2P1	FOUND:rna-split	True	False	0.964
ID_65	CYP4F27P	FOUND:projection	True	True	0.994
ID_65	FAR2P2	FOUND:rna-split	True	True	1.0
ID_65	CYP4F62P	FOUND:rna-split	True	True	1.0
ID_65	CYP4F30P	FOUND:rna-split	True	True	0.998
ID_65	FAR2P3	FOUND:rna-split	True	True	0.992
ID_65	FAR2P4	FOUND:projection	True	True	0.984
ID_141	AC119751.3	FOUND:protein-tail	True	False	0.0
ID_146	AC233280.19	MISS:coverage-limited	False	True	0.987
ID_146	AC124944.2	FOUND:rna-split	True	False	0.0
ID_35	FAM157A	FOUND:projection	True	False	0.975
ID_391	WASH8P	FOUND:rna-split	True	True	0.982
ID_35	AC110079.1	FOUND:protein-tail	True	False	0.973
ID_35	GTF2IP12	FOUND:protein-tail	True	False	0.972
ID_163	GUSBP1	FOUND:rna-split	True	False	0.904
ID_399	NAIPP1	FOUND:protein-tail	True	True	0.995
ID_163	GUSBP3	FOUND:rna-split	True	True	0.995
ID_163	AC131392.1	FOUND:rna-split	True	False	0.968
ID_399	NAIPP2	FOUND:expr-collapse	True	True	0.997
ID_313	CDH12P1	MISS:genuine-miss	False	True	1.0
ID_163	GUSBP16	FOUND:rna-split	True	False	0.972
ID_399	NAIP	FOUND:rna-split	True	True	0.997
ID_399	NAIPP4	FOUND:rna-split	True	True	0.995
ID_313	CDH12P3	MISS:mischain	False	True	1.0
ID_163	AC146949.1	FOUND:rna-split	True	True	0.995
ID_182	FAM153B	FOUND:rna-split	True	False	0.889
ID_182	FAM153A	FOUND:rna-split	True	False	0.889
ID_35	AC008443.6	MISS:seeding-gap	False	True	0.987
ID_163	GUSBP2	FOUND:rna-split	True	False	0.961
ID_207	SPDYE1	FOUND:projection	True	False	0.971
ID_208	GTF2IP14	FOUND:projection	True	False	0.975
ID_208	GTF2IP5	FOUND:protein-tail	True	False	0.975
ID_207	SPDYE21	FOUND:projection	True	False	0.978
ID_8	PMS2P4	FOUND:rna-split	True	False	0.892
ID_207	SPDYE7P	FOUND:projection	True	False	0.968
ID_12	POM121	FOUND:rna-split	True	False	0.877
ID_407	NSUN5P2	FOUND:rna-split	True	True	0.993
ID_407	TRIM74	MISS:resolved-elsewhere	False	True	0.997
ID_8	PMS2P7	FOUND:rna-split	True	True	0.996
ID_8	PMS2P11	FOUND:protein-tail	True	True	0.995
ID_207	SPDYE17	FOUND:rna-split	True	True	0.999
ID_8	PMS2P6	FOUND:rna-split	True	True	0.995
ID_207	SPDYE10P	FOUND:rna-split	True	True	0.999
ID_402	NCF1B	MISS:mischain	False	True	0.997
ID_374	GTF2IRD2P1	FOUND:projection	True	True	0.987
ID_208	GTF2I	FOUND:protein-tail	True	True	0.995
ID_402	NCF1	MISS:mischain	False	True	0.994
ID_374	GTF2IRD2	FOUND:rna-split	True	False	0.972
ID_8	PMS2P5	FOUND:protein-tail	True	False	0.971
ID_207	SPDYE12P	FOUND:rna-split	True	False	0.971
ID_208	CASTOR2	MISS:collapse-K0	False	True	0.986
ID_374	GTF2IRD2B	FOUND:rna-split	True	True	0.987
ID_402	NCF1C	MISS:mischain	False	True	0.997
ID_208	GTF2IP1	FOUND:protein-tail	True	True	0.995
ID_207	SPDYE9	FOUND:rna-split	True	True	1.0
ID_207	SPDYE8	FOUND:rna-split	True	True	1.0
ID_207	SPDYE13	FOUND:rna-split	True	True	1.0
ID_8	PMS2P10	FOUND:projection	True	True	0.994
ID_207	SPDYE14	FOUND:projection	True	True	0.998
ID_8	AC211486.3	FOUND:projection	True	True	0.996
ID_207	SPDYE15	FOUND:rna-split	True	True	1.0
ID_8	PMS2P2	FOUND:rna-split	True	True	0.996
ID_407	TRIM73	FOUND:rna-split	True	True	0.997
ID_407	NSUN5P1	FOUND:rna-split	True	True	0.993
ID_12	POM121C	FOUND:rna-split	True	False	0.877
ID_207	SPDYE5	FOUND:protein-tail	True	False	0.978
ID_207	SPDYE16	FOUND:projection	True	True	0.986
ID_12	AC004980.1	FOUND:rna-split	True	True	1.0
ID_12	POMZP3	FOUND:rna-split	True	True	1.0
ID_207	SPDYE18	FOUND:projection	True	True	0.986
ID_207	SPDYE3	FOUND:rna-split	True	False	0.971
ID_8	PMS2P1	FOUND:rna-split	True	False	0.971
ID_207	SPDYE6	FOUND:projection	True	True	0.994
ID_207	SPDYE2	FOUND:projection	True	True	0.994
ID_127	TCAF2	FOUND:rna-split	True	True	0.999
ID_127	AC099548.2	FOUND:rna-split	True	True	1.0
ID_127	TCAF2C	FOUND:rna-split	True	True	1.0
ID_490	ZNF705G	FOUND:rna-split	True	False	0.964
ID_338	DEFB108C	MISS:seeding-gap	False	True	0.994
ID_458	SPAG11A	MISS:not-expressed	False	True	0.994
ID_490	ZNF705D	FOUND:rna-split	True	True	0.996
ID_338	DEFB108D	MISS:seeding-gap	False	False	0.954
ID_338	DEFB108A	FOUND:protein-tail	True	True	0.994
ID_334	DEFB104B	MISS:not-expressed	False	False	0.0
ID_458	SPAG11B	MISS:not-expressed	False	True	0.994
ID_490	ZNF705B	FOUND:rna-split	True	True	0.996
ID_245	CNTNAP3	FOUND:rna-split	True	False	0.973
ID_261	CNTNAP3P5	FOUND:rna-split	True	True	0.983
ID_261	AL513478.3	MISS:collapse-K0	False	True	0.997
ID_260	AL513478.2	MISS:genuine-miss	False	True	0.989
ID_280	ANKRD20A3P	FOUND:rna-split	True	True	0.991
ID_104	AL669942.1	FOUND:rna-split	True	True	0.984
ID_245	BX005040.4	FOUND:rna-split	True	True	0.988
ID_147	AC125634.1	FOUND:rna-split	True	True	0.997
ID_245	CNTNAP3B	FOUND:rna-split	True	True	0.988
ID_359	FGF7P5	FOUND:rna-split	True	True	1.0
ID_359	FGF7P7	FOUND:rna-split	True	True	1.0
ID_261	BX664718.2	FOUND:rna-split	True	False	0.979
ID_260	MEP1AP4	MISS:not-expressed	False	True	0.989
ID_280	ANKRD20A7P	FOUND:rna-split	True	False	0.976
ID_104	CYP4F60P	FOUND:protein-tail	True	True	0.984
ID_348	DUX4L50	MISS:thin-single-exon	False	False	0.0
ID_147	AL353626.3	FOUND:rna-split	True	True	0.997
ID_104	FAM95B1	FOUND:rna-split	True	True	0.982
ID_260	MEP1AP1	MISS:genuine-miss	False	True	0.987
ID_261	AL773545.4	MISS:seeding-gap	False	True	0.997
ID_267	AL590399.2	FOUND:protein-tail	True	False	0.0
ID_245	CNTNAP3P2	FOUND:rna-split	True	True	0.987
ID_280	ANKRD20A1	FOUND:rna-split	True	True	0.991
ID_261	CNTNAP3P1	MISS:not-expressed	False	True	0.983
ID_359	FGF7P8	FOUND:rna-split	True	False	0.967
ID_35	FAM157B	FOUND:protein-tail	True	True	0.985
ID_35	AL133216.2	FOUND:protein-tail	True	False	0.975
ID_240	SYT15	FOUND:rna-split	True	True	0.997
ID_443	SHLD2P1	FOUND:rna-split	True	True	0.993
ID_327	CTSLP3	FOUND:rna-split	True	True	0.98
ID_443	SHLD2P3	FOUND:rna-split	True	True	0.993
ID_240	FO681492.1	FOUND:rna-split	True	True	0.997
ID_327	CTSLP4	FOUND:rna-split	True	True	0.988
ID_327	CTSLP6	FOUND:rna-split	True	True	0.985
ID_443	SHLD2	FOUND:rna-split	True	False	0.946
ID_240	AL157893.1	FOUND:rna-split	True	False	0.966
ID_327	CTSLP1	FOUND:rna-split	True	True	0.988
ID_332	FO538757.1	MISS:resolved-elsewhere	False	True	0.995
ID_391	WASHC1	FOUND:rna-split	True	True	0.994
ID_43	TRIM64DP	FOUND:protein-tail	True	True	0.997
ID_43	TRIM64B	MISS:not-expressed	False	True	0.998
ID_43	TRIM64	MISS:collapse-K0	False	True	0.998
ID_43	TRIM64EP	FOUND:protein-tail	True	True	0.997
ID_332	DDX11L5	FOUND:projection	True	True	0.998
ID_49	AC009533.1	FOUND:rna-split	True	True	0.985
ID_49	DDX12P	FOUND:rna-split	True	True	0.985
ID_49	DDX11	FOUND:protein-tail	True	False	0.962
ID_22	AL356585.3	FOUND:rna-split	True	True	0.981
ID_251	AL356585.4	FOUND:rna-split	True	False	0.952
ID_147	FO681491.1	FOUND:rna-split	True	False	0.976
ID_142	CR381670.1	FOUND:rna-split	True	False	0.0
ID_411	OR11H12	MISS:not-expressed	False	True	0.994
ID_65	CR383656.5	MISS:not-expressed	False	True	0.995
ID_403	NF1P10	FOUND:rna-split	True	True	0.996
ID_411	OR11H13P	MISS:genuine-miss	False	True	0.981
ID_300	BMS1P17	FOUND:protein-tail	True	True	0.994
ID_403	NF1P7	FOUND:rna-split	True	False	0.948
ID_148	AC126603.1	MISS:genuine-miss	False	False	0.883
ID_188	HERC2P3	FOUND:rna-split	True	True	0.986
ID_71	AC023310.1	FOUND:projection	True	True	0.996
ID_116	GOLGA6L6	FOUND:rna-split	True	False	0.966
ID_113	GOLGA8CP	FOUND:rna-split	True	True	0.996
ID_167	CHEK2P2	FOUND:rna-split	True	False	0.958
ID_113	GOLGA8EP	FOUND:rna-split	True	True	0.996
ID_116	GOLGA6L22	FOUND:rna-split	True	True	0.982
ID_71	HERC2P7	FOUND:rna-split	True	True	0.996
ID_188	HERC2P2	FOUND:rna-split	True	True	0.986
ID_113	GOLGA8IP	FOUND:rna-split	True	False	0.971
ID_156	WHAMMP3	FOUND:rna-split	True	False	0.972
ID_113	GOLGA8DP	FOUND:rna-split	True	True	0.992
ID_116	GOLGA6L1	FOUND:rna-split	True	True	0.997
ID_71	AC242376.1	FOUND:rna-split	True	True	0.994
ID_116	AC100756.3	FOUND:rna-split	True	True	0.997
ID_113	GOLGA8S	FOUND:rna-split	True	False	0.968
ID_188	HERC2	FOUND:rna-split	True	False	0.922
ID_71	AC091304.3	FOUND:rna-split	True	True	0.998
ID_116	AC091304.1	FOUND:rna-split	True	True	0.997
ID_113	GOLGA8F	FOUND:rna-split	True	True	1.0
ID_113	GOLGA8G	FOUND:rna-split	True	True	1.0
ID_116	AC138749.1	FOUND:rna-split	True	True	0.997
ID_71	HERC2P11	FOUND:rna-split	True	True	0.998
ID_188	HERC2P9	FOUND:rna-split	True	False	0.98
ID_113	GOLGA8M	FOUND:rna-split	True	False	0.977
ID_156	WHAMMP2	FOUND:rna-split	True	False	0.972
ID_113	GOLGA8J	FOUND:rna-split	True	True	0.99
ID_68	DNM1P28	FOUND:protein-tail	True	True	1.0
ID_179	ULK4P3	FOUND:projection	True	True	0.994
ID_113	GOLGA8T	FOUND:rna-split	True	True	0.99
ID_68	AC019322.3	FOUND:protein-tail	True	True	1.0
ID_113	GOLGA8R	FOUND:rna-split	True	True	0.998
ID_156	AC127502.1	FOUND:rna-split	True	False	0.942
ID_156	AC127502.3	FOUND:protein-tail	True	True	0.996
ID_113	GOLGA8Q	FOUND:rna-split	True	True	0.998
ID_68	DNM1P50	FOUND:projection	True	True	0.999
ID_179	ULK4P2	FOUND:rna-split	True	True	0.994
ID_113	GOLGA8H	FOUND:rna-split	True	True	0.99
ID_113	GOLGA8K	FOUND:projection	True	True	0.99
ID_179	ULK4P1	FOUND:rna-split	True	True	0.985
ID_68	DNM1P32	FOUND:protein-tail	True	True	0.998
ID_113	GOLGA8O	FOUND:rna-split	True	True	0.994
ID_156	AC135983.4	FOUND:projection	True	True	0.996
ID_113	GOLGA8N	FOUND:rna-split	True	True	0.994
ID_78	GOLGA8A	FOUND:protein-tail	True	False	0.0
ID_88	GOLGA6L10	FOUND:rna-split	True	False	0.961
ID_78	UBE2Q2P2	FOUND:rna-split	True	False	0.854
ID_88	GOLGA6L9	FOUND:rna-split	True	False	0.948
ID_481	UBE2Q2P6	FOUND:rna-split	True	True	0.995
ID_324	CSPG4P10	FOUND:rna-split	True	True	0.993
ID_481	UBE2Q2L	FOUND:rna-split	True	True	1.0
ID_324	CSPG4P11	FOUND:rna-split	True	True	0.999
ID_88	GOLGA6L4	FOUND:rna-split	True	True	0.998
ID_481	UBE2Q2P11	FOUND:rna-split	True	True	0.995
ID_324	CSPG4P4Y	FOUND:rna-split	True	False	0.969
ID_78	AC243562.1	FOUND:rna-split	True	False	0.969
ID_481	UBE2Q2P8	MISS:mischain	False	False	0.942
ID_324	DNM1P51	FOUND:rna-split	True	True	0.999
ID_481	UBE2Q2P12	FOUND:rna-split	True	True	1.0
ID_88	GOLGA6L5P	FOUND:rna-split	True	True	0.998
ID_78	UBE2Q2P1	FOUND:protein-tail	True	False	0.854
ID_78	AC044860.1	FOUND:rna-split	True	False	0.596
ID_324	CSPG4P12	FOUND:rna-split	True	True	0.993
ID_391	WASH3P	FOUND:rna-split	True	True	0.994
ID_332	DDX11L9	FOUND:rna-split	True	True	0.996
ID_332	DDX11L16	MISS:not-expressed	False	True	0.998
ID_391	WASH6P	MISS:not-expressed	False	True	0.987
ID_154	NPIPB2	FOUND:rna-split	True	False	0.967
ID_154	NPIPA2	FOUND:rna-split	True	False	0.979
ID_154	NPIPP1	FOUND:rna-split	True	False	0.96
ID_154	NPIPA5	FOUND:rna-split	True	False	0.979
ID_154	NPIPA7	FOUND:rna-split	True	False	0.979
ID_154	NPIPB6	FOUND:rna-split	True	True	0.985
ID_154	NPIPB8	FOUND:rna-split	True	True	0.99
ID_154	NPIPB7	FOUND:rna-split	True	True	0.997
ID_154	NPIPB9	FOUND:rna-split	True	True	0.997
ID_154	NPIPB10P	FOUND:rna-split	True	True	0.99
ID_154	NPIPB11	FOUND:rna-split	True	False	0.967
ID_302	BOLA2B	MISS:mischain	False	False	0.0
ID_154	NPIPB12	FOUND:projection	True	False	0.967
ID_474	TP53TG3D	FOUND:rna-split	True	True	0.99
ID_167	AC133548.1	MISS:not-expressed	False	False	0.886
ID_26	SLC9B1P1	MISS:not-expressed	False	False	0.948
ID_182	AC137800.1	FOUND:protein-tail	True	False	0.468
ID_182	AC137800.2	FOUND:protein-tail	True	False	0.85
ID_474	TP53TG3C	FOUND:rna-split	True	True	1.0
ID_474	TP53TG3B	FOUND:rna-split	True	True	1.0
ID_167	AC136944.3	FOUND:rna-split	True	False	0.958
ID_148	AC142384.1	MISS:mischain	False	False	0.883
ID_154	NPIPB14P	FOUND:rna-split	True	False	0.965
ID_154	NPIPB15	FOUND:rna-split	True	True	0.986
ID_14	AC005562.2	FOUND:rna-split	True	True	1.0
ID_14	LRRC37BP1	FOUND:rna-split	True	True	0.982
ID_14	LRRC37B	FOUND:rna-split	True	True	0.982
ID_14	AC090616.5	FOUND:rna-split	True	False	0.978
ID_92	AC243829.7	MISS:not-expressed	False	True	0.984
ID_468	TBC1D3B	FOUND:rna-split	True	True	0.996
ID_468	TBC1D3I	FOUND:projection	True	True	0.995
ID_209	AC233699.1	FOUND:rna-split	True	True	0.997
ID_468	TBC1D3H	FOUND:rna-split	True	True	0.996
ID_222	AC243829.6	MISS:mischain	False	False	0.0
ID_468	TBC1D3K	FOUND:rna-split	True	True	0.998
ID_468	TBC1D3D	FOUND:rna-split	True	True	0.998
ID_468	TBC1D3E	FOUND:rna-split	True	True	0.998
ID_468	TBC1D3	FOUND:rna-split	True	True	0.997
ID_209	NPEPPSP1	FOUND:rna-split	True	True	0.997
ID_14	LRRC37A	FOUND:protein-tail	True	True	0.988
ID_14	LRRC37A2	FOUND:protein-tail	True	True	0.988
ID_209	NPEPPS	FOUND:rna-split	True	False	0.955
ID_468	TBC1D3P1	FOUND:rna-split	True	True	0.987
ID_92	AC053481.4	MISS:not-expressed	False	True	0.984
ID_468	TBC1D3P2	FOUND:rna-split	True	True	0.987
ID_14	LRRC37A3	FOUND:projection	True	False	0.969
ID_359	FGF7P1	FOUND:protein-tail	True	True	0.988
ID_332	DDX11L10	FOUND:protein-tail	True	True	0.996
ID_175	TEKT4P2	MISS:mischain	False	False	0.959
ID_22	BAGE2	FOUND:rna-split	True	True	0.981
ID_147	ANKRD30BP2	FOUND:rna-split	True	False	0.976
ID_359	FGF7P2	FOUND:projection	True	True	0.988
ID_175	AC134878.2	MISS:genuine-miss	False	False	0.959
ID_411	OR11H1	MISS:not-expressed	False	True	0.994
ID_65	AP000534.2	FOUND:rna-split	True	True	0.995
ID_403	NF1P11	FOUND:rna-split	True	True	0.996
ID_300	BMS1P22	FOUND:rna-split	True	True	0.994
ID_283	BCRP7	FOUND:rna-split	True	True	0.988
ID_283	BCRP2	FOUND:rna-split	True	True	0.988
ID_283	BCRP4	FOUND:rna-split	True	False	0.979
ID_283	BCRP1	FOUND:rna-split	True	False	0.977
ID_283	AP000356.3	FOUND:rna-split	True	False	0.979
