chrom	start	end	member	famID	primary_reads
chr7	76575232	76586963	PMS2P10	ID_8	53
chr7	76596367	76602252	SPDYE14	ID_207	46
chr7	76603248	76614958	AC211486.3	ID_8	51
chr7	76624357	76630241	SPDYE15	ID_207	62
chr7	76631238	76646816	PMS2P2	ID_8	420
chr7	76682335	76698280	TRIM73	ID_407	374
chr7	76697604	76704067	NSUN5P1	ID_407	441
chr7	76704064	76773584	POM121C	ID_12	865
chr7	76780965	76791636	SPDYE5	ID_207	116
chr7	77810553	77820700	SPDYE16	ID_207	100
chr7	77828590	77906904	AC004980.1	ID_12	2823
chr7	77889197	77906183	POMZP3	ID_12	240
chr7	78303830	78311572	SPDYE18	ID_207	180
chr7	101547787	101562282	SPDYE3	ID_207	252
chr7	101559306	101576392	PMS2P1	ID_8	1142
chr7	103663166	103673862	SPDYE6	ID_207	35
chr7	103962118	103972964	SPDYE2	ID_207	908
chr7	144980464	145010762	TCAF2	ID_127	267
chr7	145042141	145117285	AC099548.2	ID_127	551
chr7	145090337	145098763	TCAF2C	ID_127	83
chr8	7084496	7114544	ZNF705G	ID_490	40
chr8	7102093	7106486	DEFB108C	ID_338	17
chr8	7171678	7192682	SPAG11A	ID_458	19
chr8	7619008	7630136	ZNF705D	ID_490	19
chr8	7634987	7639336	DEFB108D	ID_338	10
chr8	12080371	12084735	DEFB108A	ID_338	30
chr8	12522996	12527770	DEFB104B	ID_334	0
chr8	12534401	12555431	SPAG11B	ID_458	6
chr8	12612891	12638954	ZNF705B	ID_490	144
chr9	39086152	39301732	CNTNAP3	ID_245	1095
chr9	39786634	39796678	CNTNAP3P5	ID_261	7
chr9	40182305	40186244	AL513478.3	ID_261	6
chr9	40202700	40208822	AL513478.2	ID_260	22
chr9	40211671	40284336	ANKRD20A3P	ID_280	5432
chr9	40336207	40344131	AL669942.1	ID_104	546
chr9	41323315	41373554	BX005040.4	ID_245	85
chr9	42529786	42537205	AC125634.1	ID_147	83
chr9	43440746	43680056	CNTNAP3B	ID_245	984
chr9	44178191	44179570	FGF7P5	ID_359	73
chr9	44220295	44221682	FGF7P7	ID_359	89
chr9	44277729	44354481	BX664718.2	ID_261	127
chr9	44369523	44375633	MEP1AP4	ID_260	8
chr9	44382760	44503215	ANKRD20A7P	ID_280	574
chr9	44502952	44504018	CYP4F60P	ID_104	35
chr9	47737220	47737936	DUX4L50	ID_348	3
chr9	77394972	77407442	AL353626.3	ID_147	764
chr9	77797810	77805957	FAM95B1	ID_104	671
chr9	77952010	77958144	MEP1AP1	ID_260	71
chr9	77974578	77978517	AL773545.4	ID_261	4
chr9	78289826	78290136	AL590399.2	ID_267	146
chr9	78831664	79065816	CNTNAP3P2	ID_245	823
chr9	79615465	79703187	ANKRD20A1	ID_280	2697
chr9	80247804	80257862	CNTNAP3P1	ID_261	8
chr9	80292843	80294222	FGF7P8	ID_359	9
chr9	150478579	150516124	FAM157B	ID_35	75
chr10	38447204	38496163	AL133216.2	ID_35	168
chr10	47464575	47480533	SYT15	ID_240	24
chr10	47496904	47538456	SHLD2P1	ID_443	774
chr10	47641642	47647779	CTSLP3	ID_327	50
chr10	48581036	48621767	SHLD2P3	ID_443	868
chr10	48641165	48655007	FO681492.1	ID_240	12
chr10	51553971	51557497	CTSLP4	ID_327	55
chr10	80739715	80743245	CTSLP6	ID_327	45
chr10	87977792	88075100	SHLD2	ID_443	1675
chr10	88097762	88099813	AL157893.1	ID_240	41
chr10	88270282	88273802	CTSLP1	ID_327	85
chr11	3740	5220	FO538757.1	ID_332	13
chr11	5922	16459	WASHC1	ID_391	340
chr11	89696664	89702267	TRIM64DP	ID_43	16
chr11	89788985	89795720	TRIM64B	ID_43	1
chr11	89888639	89894223	TRIM64	ID_43	7
chr11	89977681	89983077	TRIM64EP	ID_43	34
chr12	5135	6786	DDX11L5	ID_332	4
chr12	9259741	9295801	AC009533.1	ID_49	258
chr12	9401422	9430965	DDX12P	ID_49	195
chr12	30948352	30979293	DDX11	ID_49	227
chr13	13560341	13578654	AL356585.3	ID_22	32
chr13	13734170	13738626	AL356585.4	ID_251	140
chr13	17624760	17647558	FO681491.1	ID_147	325
chr14	5759975	5783699	CR381670.1	ID_142	108
chr14	13104431	13105517	OR11H12	ID_411	1
chr14	13134773	13154353	CR383656.5	ID_65	8
chr14	13212855	13215996	NF1P10	ID_403	20
chr14	13493444	13494424	OR11H13P	ID_411	18
chr14	13614822	13630011	BMS1P17	ID_300	279
chr14	13803703	13813427	NF1P7	ID_403	58
chr15	18136928	18186041	AC126603.1	ID_148	50
chr15	18291208	18418223	HERC2P3	ID_188	1646
chr15	18428068	18432445	AC023310.1	ID_71	4
chr15	18443672	18453636	GOLGA6L6	ID_116	117
chr15	18474211	18487534	GOLGA8CP	ID_113	764
chr15	19353208	19362048	CHEK2P2	ID_167	40
chr15	20099133	20109998	GOLGA8EP	ID_113	612
chr15	20130998	20141345	GOLGA6L22	ID_116	134
chr15	20152552	20156955	HERC2P7	ID_71	26
chr15	20166919	20262941	HERC2P2	ID_188	1217
chr15	20278132	20289966	GOLGA8IP	ID_113	264
chr15	20336417	20358287	WHAMMP3	ID_156	362
chr15	20841226	20854575	GOLGA8DP	ID_113	550
chr15	21006515	21016292	GOLGA6L1	ID_116	411
chr15	21046171	21050536	AC242376.1	ID_71	37
chr15	21062528	21070403	AC100756.3	ID_116	115
chr15	21091024	21103533	GOLGA8S	ID_113	152
chr15	25853559	26064943	HERC2	ID_188	1520
chr15	26074992	26079365	AC091304.3	ID_71	6
chr15	26091804	26100822	AC091304.1	ID_116	351
chr15	26121343	26134741	GOLGA8F	ID_113	1039
chr15	26296346	26309751	GOLGA8G	ID_113	1150
chr15	26330348	26338091	AC138749.1	ID_116	159
chr15	26351728	26356111	HERC2P11	ID_71	24
chr15	26366200	26461978	HERC2P9	ID_188	996
chr15	26478664	26515105	GOLGA8M	ID_113	334
chr15	26514302	26535923	WHAMMP2	ID_156	317
chr15	27874771	27885220	GOLGA8J	ID_113	126
chr15	27890545	27893814	DNM1P28	ID_68	23
chr15	27895441	27922933	ULK4P3	ID_179	133
chr15	27926870	27937297	GOLGA8T	ID_113	211
chr15	28188413	28189637	AC019322.3	ID_68	28
chr15	28197010	28207436	GOLGA8R	ID_113	134
chr15	28264052	28300871	AC127502.1	ID_156	314
chr15	28300623	28306948	AC127502.3	ID_156	111
chr15	28345327	28355752	GOLGA8Q	ID_113	115
chr15	28361066	28364334	DNM1P50	ID_68	21
chr15	28365932	28393844	ULK4P2	ID_179	335
chr15	28397319	28407743	GOLGA8H	ID_113	266
chr15	30189305	30199719	GOLGA8K	ID_113	182
chr15	30203116	30231537	ULK4P1	ID_179	392
chr15	30233052	30236315	DNM1P32	ID_68	27
chr15	30238450	30252173	GOLGA8O	ID_113	368
chr15	30290477	30296821	AC135983.4	ID_156	12
chr15	30389923	30403785	GOLGA8N	ID_113	270
chr15	32184802	32213415	GOLGA8A	ID_78	2769
chr15	80204111	80213595	GOLGA6L10	ID_88	429
chr15	80219260	80284203	UBE2Q2P2	ID_78	1562
chr15	80294144	80303281	GOLGA6L9	ID_88	1329
chr15	80309845	80318965	UBE2Q2P6	ID_481	82
chr15	80323598	80341387	CSPG4P10	ID_324	206
chr15	82038454	82054353	UBE2Q2L	ID_481	129
chr15	82052722	82063358	CSPG4P11	ID_324	64
chr15	82101780	82111483	GOLGA6L4	ID_88	242
chr15	82117976	82127040	UBE2Q2P11	ID_481	68
chr15	82133635	82137155	CSPG4P4Y	ID_324	30
chr15	82144483	82145499	AC243562.1	ID_78	70
chr15	82169947	82170050	UBE2Q2P8	ID_481	32
chr15	82233822	82242855	DNM1P51	ID_324	60
chr15	82243926	82253037	UBE2Q2P12	ID_481	82
chr15	82260324	82269230	GOLGA6L5P	ID_88	1254
chr15	82279207	82323633	UBE2Q2P1	ID_78	1252
chr15	82932394	82986906	AC044860.1	ID_78	150
chr15	82943632	82966101	CSPG4P12	ID_324	71
chr15	99730896	99745839	WASH3P	ID_391	6
chr15	99745852	99748389	DDX11L9	ID_332	5
chr16	4785	7013	DDX11L16	ID_332	0
chr16	6965	11846	WASH6P	ID_391	1
chr16	11963305	12012756	NPIPB2	ID_154	491
chr16	14746465	14763820	NPIPA2	ID_154	398
chr16	15105361	15124458	NPIPP1	ID_154	1608
chr16	15368422	15385843	NPIPA5	ID_154	162
chr16	16391277	16406172	NPIPA7	ID_154	299
chr16	28623069	28643879	NPIPB6	ID_154	703
chr16	28737050	28758038	NPIPB8	ID_154	203
chr16	28924552	28939395	NPIPB7	ID_154	105
chr16	29032364	29053395	NPIPB9	ID_154	634
chr16	29319787	29333871	NPIPB10P	ID_154	112
chr16	29663393	29685822	NPIPB11	ID_154	251
chr16	29735379	29736755	BOLA2B	ID_302	445
chr16	29765424	29788033	NPIPB12	ID_154	273
chr16	32640147	32643352	TP53TG3D	ID_474	390
chr16	32772942	32779658	AC133548.1	ID_167	1
chr16	32804124	32821138	SLC9B1P1	ID_26	5
chr16	33014727	33030069	AC137800.1	ID_182	45
chr16	33033161	33036614	AC137800.2	ID_182	38
chr16	33087982	33090583	TP53TG3C	ID_474	399
chr16	33607931	33611137	TP53TG3B	ID_474	327
chr16	33739351	33747637	AC136944.3	ID_167	13
chr16	34884759	34929924	AC142384.1	ID_148	30
chr16	75785804	75805631	NPIPB14P	ID_154	1283
chr16	80195643	80209850	NPIPB15	ID_154	271
chr17	31562334	31562446	AC005562.2	ID_14	525
chr17	31574334	31581958	LRRC37BP1	ID_14	843
chr17	32953747	32999386	LRRC37B	ID_14	1148
chr17	33034040	33040757	AC090616.5	ID_14	54
chr17	37109490	37110818	AC243829.7	ID_92	1
chr17	37113571	37124508	TBC1D3B	ID_468	16
chr17	37201376	37212474	TBC1D3I	ID_468	23
chr17	37222112	37268486	AC233699.1	ID_209	174
chr17	37325491	37336389	TBC1D3H	ID_468	85
chr17	37415116	37415223	AC243829.6	ID_222	6
chr17	38911393	38922345	TBC1D3K	ID_468	132
chr17	38965110	38976061	TBC1D3D	ID_468	386
chr17	38991013	39001923	TBC1D3E	ID_468	182
chr17	39044721	39055611	TBC1D3	ID_468	404
chr17	39058772	39120206	NPEPPSP1	ID_209	649
chr17	47154742	47199790	LRRC37A	ID_14	927
chr17	47373158	47417300	LRRC37A2	ID_14	1860
chr17	48385624	48486670	NPEPPS	ID_209	2756
chr17	60877165	60886227	TBC1D3P1	ID_468	268
chr17	63130560	63131864	AC053481.4	ID_92	4
chr17	63134634	63145601	TBC1D3P2	ID_468	251
chr17	65724068	65789437	LRRC37A3	ID_14	1369
chr18	15048958	15050337	FGF7P1	ID_359	247
chr19	4458	6260	DDX11L10	ID_332	10
chr21	5692610	5754003	TEKT4P2	ID_175	72
chr21	10610346	10714100	BAGE2	ID_22	856
chr21	11382453	11411385	ANKRD30BP2	ID_147	446
chr21	11693615	11695000	FGF7P2	ID_359	28
chr22	5801017	5862418	AC134878.2	ID_175	466
chr22	16102172	16103154	OR11H1	ID_411	1
chr22	16115445	16152024	AP000534.2	ID_65	12
chr22	16196565	16203867	NF1P11	ID_403	24
chr22	16379167	16394790	BMS1P22	ID_300	686
chr22	18941056	18944077	BCRP7	ID_283	2629
chr22	21511792	21531058	BCRP2	ID_283	1847
chr22	23052760	23058851	BCRP4	ID_283	861
chr22	24721538	24725375	BCRP1	ID_283	1273
chr22	25106240	25114807	AP000356.3	ID_283	1948
