fam	gene	chrom	start	end	sibling_id	unique_own	band	cause	rec_0.98	rec_0.95	rec_0.90
ID_213	AC246785.1	chr1	143591826	143594083	0.9933540097474524	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_391	WASH6P	chr16	6965	11846	0.9872006606110653	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_167	AC133548.1	chr16	32772942	32779658	0.8963414634146342	0	<90%	expressed-K=0: exon-homogenized	N	N	N
ID_92	AC243829.7	chr17	37109490	37110818	0.9839939024390244	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_348	DUX4L50	chr9	47737220	47737936		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_131	AC105272.1	chr1	103516936	103517135		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_92	AC053481.4	chr17	63130560	63131864		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_431	PPIAL4D	chr1	144366357	144366853	0.9838709677419355	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_222	AC243829.6	chr17	37415116	37415223		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_261	CNTNAP3P5	chr9	39786634	39796678	0.9832091405861898	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_65	CR383656.5	chr14	13134773	13154353	0.9945360772098248	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_146	AC233280.19	chr3	198342015	198343130	0.9865470852017937	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_226	H3P4	chr1	121127576	121127993	0.9736842105263158	0	95-98%	expressed-K=0: exon-homogenized	N	N	N
ID_26	AC006453.4	chr2	90228191	90245534		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_402	NCF1B	chr7	74420835	74436153	0.9969989561586639	2	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_402	NCF1C	chr7	76360590	76375995		2	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_411	OR11H13P	chr14	13493444	13494424	0.9806320081549439	2	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_240	SYT15	chr10	47464575	47480533	0.9968231046931408	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_226	H3C13	chr1	148937358	148937828		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_313	CDH12P3	chr5	71589693	71589989		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_407	TRIM74	chr7	74187708	74197691	0.9973973973973974	2	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_240	AL157893.1	chr10	88097762	88099813		1	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_167	CHEK2P2	chr15	19353208	19362048	0.9583230579531443	0	95-98%	expressed-K=0: exon-homogenized	N	N	N
ID_78	AC243562.1	chr15	82144483	82145499	0.9695181907571289	0	95-98%	expressed-K=0: exon-homogenized	N	N	N
ID_302	BOLA2B	chr16	29735379	29736755		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_14	AC005562.2	chr17	31562334	31562446		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_431	PPIAL4F	chr1	143472956	143473742	1.0	0	>=99.9% (K=0)	expressed-K=0: young identical	N	N	N
ID_215	AC244669.2	chr1	120210345	120332947	1.0	0	>=99.9% (K=0)	expressed-K=0: young identical	N	N	N
ID_313	CDH12P1	chr5	70901860	70902156	1.0	0	>=99.9% (K=0)	expressed-K=0: young identical	N	N	N
ID_213	AC239809.1	chr1	146572932	146573150		0	no-sibling	silent	N	N	N
ID_481	UBE2Q2P8	chr15	82169947	82170050		0	no-sibling	silent	N	N	N
