fam	gene	chrom	start	end	bp	cls	mean_total	mean_uniq	fam_found	mischain_frac	nearest_copy_bp	verified_bucket	topup_recoverable
ID_22	AC239859.4	chr1	142533330	142570879	37549	pseudogene	3.8	3.8	True		0	FOUND:rna-split	False
ID_212	AC239800.1	chr1	142817363	142832784	15421	transcribed_pseudogene	62.8	62.8	True		0	FOUND:projection	False
ID_211	AC239798.1	chr1	142883385	142897871	14486	transcribed_pseudogene	9.2	9.0	True		0	FOUND:projection	False
ID_357	FCGR1CP	chr1	142946822	142955600	8778	transcribed_pseudogene	16.9	16.9	True		0	FOUND:rna-split	False
ID_226	H3-2	chr1	142966564	142977985	11421	transcribed_pseudogene	7.7	7.7	True		0	FOUND:rna-split	False
ID_354	FAM72C	chr1	143027383	143043986	16603	coding	56.8	46.1	True		0	FOUND:rna-split	False
ID_462	SRGAP2D	chr1	143047107	143140349	93242	transcribed_pseudogene	57.1	56.3	True		0	FOUND:rna-split	False
ID_431	PPIAL4F	chr1	143472956	143473742	786	fragment	1.1	1.0	True		40	MISS:not-expressed	False
ID_213	AC246785.1	chr1	143591826	143594083	2257	piece-of-other	1.0	1.0	True		1703	MISS:not-expressed	False
ID_431	PPIAL4E	chr1	143692933	143693719	786	fragment	0.0	0.0	True		10960	MISS:not-expressed	False
ID_22	FP700107.1	chr1	143760914	143779230	18316	unannotated	8.6	7.9	True		0	FOUND:rna-split	False
ID_462	SRGAP2B	chr1	144012010	144220236	208226	coding	87.3	86.7	True		0	FOUND:rna-split	False
ID_354	FAM72D	chr1	144220682	144237402	16720	coding	147.0	139.2	True		0	FOUND:rna-split	False
ID_211	AC241585.3	chr1	144264691	144273083	8392	piece-of-other	21.8	21.8	True		0	FOUND:rna-split	False
ID_431	PPIAL4D	chr1	144366357	144366853	496	fragment	3.1	3.1	True		0	FOUND:rna-split	False
ID_215	AC239860.2	chr1	144624326	144625491	1165	piece-of-other	88.4	82.4	True		0	FOUND:rna-split	False
ID_215	AC239860.1	chr1	144625929	144637478	11549	piece-of-other	88.0	82.0	True		0	FOUND:rna-split	False
ID_400	NOTCH2NLA	chr1	145263046	145345902	82856	coding	220.3	208.0	True		0	FOUND:rna-split	False
ID_448	SEC22B3P	chr1	145439433	145451394	11961	transcribed_pseudogene	18.5	15.9	True		0	FOUND:rna-split	False
ID_215	PDE4DIP	chr1	145474975	145714337	239362	coding	42.9	42.4	True		0	FOUND:rna-split	False
ID_213	AC239804.2	chr1	145768949	145779518	10569	unannotated	6.4	6.4	True		0	FOUND:rna-split	False
ID_215	AC245297.1	chr1	145855639	145979396	123757	coding	26.8	26.2	True		0	FOUND:rna-split	False
ID_448	SEC22B2P	chr1	146003303	146015266	11963	transcribed_pseudogene	5.5	3.7	True		0	FOUND:projection	False
ID_400	NOTCH2NLB	chr1	146108307	146215315	107008	coding	684.6	674.4	True		0	FOUND:rna-split	False
ID_212	AC245100.8	chr1	146347679	146348727	1048	piece-of-other	69.0	69.0	True		0	FOUND:rna-split	False
ID_213	AC239809.1	chr1	146572932	146573150	218	fragment	5.0	5.0	True	0.0	2799	MISS:collapse-K0	False
ID_215	PDE4DIPP1	chr1	146713522	146726811	13289	transcribed_pseudogene	20.5	20.2	True		0	FOUND:rna-split	False
ID_213	AC245407.1	chr1	148346520	148348932	2412	unannotated	5.6	5.6	True	0.12	2252	MISS:collapse-K0	False
ID_400	NOTCH2NLC	chr1	148519505	148596912	77407	coding	127.9	122.6	True		0	FOUND:rna-split	False
ID_431	PPIAL4C	chr1	148708008	148708609	601	fragment	0.0	0.0	True		258	MISS:not-expressed	False
ID_212	LINC00869	chr1	148730482	148829853	99371	lncRNA	18.2	18.2	True		0	FOUND:rna-split	False
ID_211	AC243772.3	chr1	148800985	148871935	70950	transcribed_pseudogene	32.8	32.7	True		0	FOUND:rna-split	False
ID_357	FCGR1A	chr1	148906815	148916660	9845	piece-of-other	75.5	75.5	True		0	FOUND:rna-split	False
ID_226	H2BC18	chr1	148906833	148936508	29675	coding	37.6	37.6	True		0	FOUND:rna-split	False
ID_226	H3C13	chr1	148937358	148937828	470	fragment	28.8	28.8	True		0	FOUND:rna-split	False
ID_354	FAM72A	chr1	205450359	205468600	18241	coding	196.4	196.4	True		0	FOUND:rna-split	False
ID_462	SRGAP2	chr1	205466058	205728625	262567	coding	242.3	242.2	True		0	FOUND:rna-split	False
ID_35	AL592148.2	chr1	221743930	221753495	9565	piece-of-other	11.2	11.2	True		0	FOUND:projection	False
ID_35	GTF2IP20	chr1	223141181	223182346	41165	transcribed_pseudogene	281.4	281.4	True		0	FOUND:projection	False
ID_35	LINC01347	chr1	242467318	242512761	45443	lncRNA	84.2	84.1	True		0	FOUND:protein-tail	False
ID_63	ANAPC1P1	chr2	86863741	86914950	51209	transcribed_pseudogene	3.1	3.0	True	0.0	18933	MISS:collapse-K0	False
ID_395	RGPD1	chr2	86909901	87019191	109290	coding	422.0	384.4	True		0	FOUND:rna-split	False
ID_63	ANAPC1P2	chr2	87037033	87058220	21187	transcribed_pseudogene	101.6	101.6	True		0	FOUND:rna-split	False
ID_63	ANAPC1P3	chr2	87123762	87126211	2449	pseudogene	3.0	3.0	True	0.67	16785	MISS:mischain	False
ID_63	AC083899.1	chr2	87130427	87202282	71855	transcribed_pseudogene	8.4	7.4	True		0	FOUND:rna-split	False
ID_63	ANAPC1P4	chr2	87712968	87750095	37127	transcribed_pseudogene	19.4	18.2	True		0	FOUND:rna-split	False
ID_395	RGPD2	chr2	87767939	87837964	70025	coding	2153.1	2090.8	True		0	FOUND:rna-split	False
ID_63	ANAPC1P5	chr2	87992304	88004460	12156	piece-of-other	4.3	3.9	True	0.35	9318	MISS:mischain	False
ID_22	AC006453.1	chr2	89538522	89556925	18403	piece-of-other	22.1	3.2	True		0	FOUND:rna-split	False
ID_24	LSP1P5	chr2	90105022	90147871	42849	piece-of-other	19.9	14.9	True		0	FOUND:rna-split	False
ID_26	AC006453.4	chr2	90228191	90245534	17343	piece-of-other	5.7	5.4	True		0	FOUND:rna-split	False
ID_24	LSP1P4	chr2	91806874	91849698	42824	transcribed_pseudogene	16.5	14.4	True		0	FOUND:rna-split	False
ID_22	AC027612.2	chr2	91875827	91904480	28653	transcribed_pseudogene	1.7	1.7	True		0	FOUND:rna-split	False
ID_251	ANKRD36B	chr2	97950885	98048181	97296	coding	1066.4	1055.7	True	0.0	6029799	MISS:seeding-gap	False
ID_395	RGPD3	chr2	106852051	106929839	77788	coding	346.2	346.2	True		0	FOUND:rna-split	False
ID_63	AC097527.1	chr2	106932223	106939096	6873	transcribed_pseudogene	0.8	0.8	True		36110	MISS:not-expressed	False
ID_395	RGPD4	chr2	108288410	108354099	65689	coding	233.2	233.0	True		0	FOUND:rna-split	False
ID_386	LIMS1	chr2	108994973	109147842	152869	coding	111.1	111.1	True		0	FOUND:rna-split	False
ID_386	LIMS4	chr2	110869109	110895544	26435	coding	275.9	273.2	True		0	FOUND:rna-split	False
ID_395	RGPD5	chr2	110936275	111001638	65363	coding	1677.0	1637.9	True		0	FOUND:protein-tail	False
ID_63	ANAPC1	chr2	112037440	112311134	273694	coding	126.2	125.9	True		0	FOUND:rna-split	False
ID_395	RGPD8	chr2	112795143	112861095	65952	coding	739.6	711.0	True		0	FOUND:protein-tail	False
ID_391	WASH2P	chr2	114013234	114023720	10486	transcribed_pseudogene	103.1	103.1	True		0	FOUND:rna-split	False
ID_332	DDX11L2	chr2	114023720	114025947	2227	transcribed_pseudogene	46.4	46.4	True		0	FOUND:rna-split	False
ID_65	FAR2P1	chr2	130441675	130470147	28472	transcribed_pseudogene	719.3	719.3	True		0	FOUND:rna-split	False
ID_65	CYP4F27P	chr2	130478035	130479051	1016	piece-of-other	699.4	699.4	True		0	FOUND:projection	False
ID_65	FAR2P2	chr2	130850654	130865267	14613	transcribed_pseudogene	526.3	523.5	True		0	FOUND:rna-split	False
ID_65	CYP4F62P	chr2	130863729	130875321	11592	transcribed_pseudogene	252.4	248.1	True		0	FOUND:rna-split	False
ID_65	CYP4F30P	chr2	131114190	131120019	5829	transcribed_pseudogene	278.1	277.4	True		0	FOUND:rna-split	False
ID_65	FAR2P3	chr2	131124287	131152985	28698	pseudogene	264.6	264.1	True		0	FOUND:rna-split	False
ID_65	FAR2P4	chr2	131713789	131743753	29964	lncRNA	475.3	475.3	True		0	FOUND:projection	False
ID_141	AC119751.3	chr3	95668991	95671638	2647	piece-of-other	89.6	89.6	True		0	FOUND:protein-tail	False
ID_146	AC233280.19	chr3	198342015	198343130	1115	piece-of-other	10.7	9.7	True	0.0	7634	MISS:coverage-limited	True
ID_146	AC124944.2	chr3	198403551	198444967	41416	piece-of-other	97.5	97.5	True		0	FOUND:rna-split	False
ID_35	FAM157A	chr3	200883047	200954215	71168	lncRNA	50.8	48.4	True		0	FOUND:projection	False
ID_391	WASH8P	chr3	201079783	201097278	17495	transcribed_pseudogene	288.6	288.1	True		0	FOUND:rna-split	False
ID_35	AC110079.1	chr4	121896771	121939030	42259	transcribed_pseudogene	93.5	93.3	True		0	FOUND:protein-tail	False
ID_35	GTF2IP12	chr4	122710627	122759756	49129	lncRNA	65.4	65.4	True		0	FOUND:protein-tail	False
ID_163	GUSBP1	chr5	21350028	21696579	346551	transcribed_pseudogene	304.6	283.9	True		0	FOUND:rna-split	False
ID_399	NAIPP1	chr5	70432873	70449844	16971	pseudogene	22.3	22.2	True		0	FOUND:protein-tail	False
ID_163	GUSBP3	chr5	70465243	70505040	39797	transcribed_pseudogene	92.6	71.5	True		0	FOUND:rna-split	False
ID_163	AC131392.1	chr5	70679155	70725182	46027	piece-of-other	169.0	84.2	True		0	FOUND:rna-split	False
ID_399	NAIPP2	chr5	70774918	70792685	17767	piece-of-other	182.5	156.7	True		0	FOUND:expr-collapse	False
ID_313	CDH12P1	chr5	70901860	70902156	296	fragment	187.7	134.7	False	0.28	24341	MISS:genuine-miss	False
ID_163	GUSBP16	chr5	71208720	71252673	43953	transcribed_pseudogene	222.6	128.7	True		0	FOUND:rna-split	False
ID_399	NAIP	chr5	71424929	71482091	57162	coding	172.3	161.6	True		0	FOUND:rna-split	False
ID_399	NAIPP4	chr5	71559603	71585455	25852	pseudogene	118.7	116.2	True		0	FOUND:rna-split	False
ID_313	CDH12P3	chr5	71589693	71589989	296	fragment	225.0	223.0	False	0.74	1514	MISS:mischain	False
ID_163	AC146949.1	chr5	71701647	71740552	38905	transcribed_pseudogene	1307.6	1267.6	True		0	FOUND:rna-split	False
ID_182	FAM153B	chr5	176604120	176659690	55570	transcribed_pseudogene	339.3	336.0	True		0	FOUND:rna-split	False
ID_182	FAM153A	chr5	178251444	178327488	76044	coding	232.3	230.9	True		0	FOUND:rna-split	False
ID_35	AC008443.6	chr5	181851743	181855644	3901	unannotated	59.8	59.2	True	0.01	8714	MISS:seeding-gap	False
ID_163	GUSBP2	chr6	26739835	26824933	85098	transcribed_pseudogene	625.7	625.7	True		0	FOUND:rna-split	False
ID_207	SPDYE1	chr7	44156261	44168507	12246	piece-of-other	278.0	278.0	True		0	FOUND:projection	False
ID_208	GTF2IP14	chr7	66290271	66306356	16085	pseudogene	233.6	233.6	True		0	FOUND:projection	False
ID_208	GTF2IP5	chr7	66995739	67024210	28471	pseudogene	245.2	245.2	True		0	FOUND:protein-tail	False
ID_207	SPDYE21	chr7	68498461	68506406	7945	coding	64.8	64.8	True		0	FOUND:projection	False
ID_8	PMS2P4	chr7	68507281	68522154	14873	transcribed_pseudogene	81.0	81.0	True		0	FOUND:rna-split	False
ID_207	SPDYE7P	chr7	74091027	74099848	8821	transcribed_pseudogene	15.6	15.6	True		0	FOUND:projection	False
ID_12	POM121	chr7	74107538	74179670	72132	coding	91.2	91.2	True		0	FOUND:rna-split	False
ID_407	NSUN5P2	chr7	74175809	74183019	7210	transcribed_pseudogene	259.6	259.5	True		0	FOUND:rna-split	False
ID_407	TRIM74	chr7	74187708	74197691	9983	coding	62.0	61.4	True	0.11	207	MISS:resolved-elsewhere	False
ID_8	PMS2P7	chr7	74233765	74249332	15567	transcribed_pseudogene	356.5	352.4	True		0	FOUND:rna-split	False
ID_8	PMS2P11	chr7	74265295	74269589	4294	pseudogene	383.0	375.8	True		0	FOUND:protein-tail	False
ID_207	SPDYE17	chr7	74276649	74286089	9440	coding	291.4	277.0	True		0	FOUND:rna-split	False
ID_8	PMS2P6	chr7	74293709	74305513	11804	pseudogene	181.2	166.9	True		0	FOUND:rna-split	False
ID_207	SPDYE10P	chr7	74304323	74311264	6941	coding	116.4	100.3	True		0	FOUND:rna-split	False
ID_402	NCF1B	chr7	74420835	74436153	15318	transcribed_pseudogene	14.2	14.2	False	0.93	6805	MISS:mischain	True
ID_374	GTF2IRD2P1	chr7	74442956	74480301	37345	pseudogene	20.0	19.9	True		0	FOUND:projection	False
ID_208	GTF2I	chr7	75852514	75962984	110470	coding	809.6	802.5	True		0	FOUND:protein-tail	False
ID_402	NCF1	chr7	75976253	75991692	15439	coding	35.8	34.8	False	0.45	6768	MISS:mischain	True
ID_374	GTF2IRD2	chr7	75998458	76053859	55401	coding	126.9	124.7	True		0	FOUND:rna-split	False
ID_8	PMS2P5	chr7	76096419	76100140	3721	transcribed_pseudogene	95.1	92.1	True		0	FOUND:protein-tail	False
ID_207	SPDYE12P	chr7	76108976	76115619	6643	coding	56.9	54.8	True		0	FOUND:rna-split	False
ID_208	CASTOR2	chr7	76167037	76233789	66752	coding	15.3	14.3	True	0.07	43593	MISS:collapse-K0	False
ID_374	GTF2IRD2B	chr7	76296514	76353770	57256	coding	144.3	138.9	True		0	FOUND:rna-split	False
ID_402	NCF1C	chr7	76360590	76375995	15405	transcribed_pseudogene	14.8	11.1	False	0.47	6821	MISS:mischain	True
ID_208	GTF2IP1	chr7	76389248	76441615	52367	transcribed_pseudogene	183.7	157.7	True		0	FOUND:protein-tail	False
ID_207	SPDYE9	chr7	76510544	76520418	9874	piece-of-other	81.7	58.5	True		0	FOUND:rna-split	False
ID_207	SPDYE8	chr7	76538561	76548009	9448	piece-of-other	62.4	50.0	True		0	FOUND:rna-split	False
ID_207	SPDYE13	chr7	76568351	76574235	5884	coding	52.2	38.0	True		0	FOUND:rna-split	False
ID_8	PMS2P10	chr7	76575232	76586963	11731	piece-of-other	46.4	38.3	True		0	FOUND:projection	False
ID_207	SPDYE14	chr7	76596367	76602252	5885	piece-of-other	44.1	36.4	True		0	FOUND:projection	False
ID_8	AC211486.3	chr7	76603248	76614958	11710	piece-of-other	44.0	36.9	True		0	FOUND:projection	False
ID_207	SPDYE15	chr7	76624357	76630241	5884	coding	51.9	43.7	True		0	FOUND:rna-split	False
ID_8	PMS2P2	chr7	76631238	76646816	15578	transcribed_pseudogene	72.6	66.1	True		0	FOUND:rna-split	False
ID_407	TRIM73	chr7	76682335	76698280	15945	coding	89.5	87.2	True		0	FOUND:rna-split	False
ID_407	NSUN5P1	chr7	76697604	76704067	6463	transcribed_pseudogene	257.4	257.3	True		0	FOUND:rna-split	False
ID_12	POM121C	chr7	76704064	76773584	69520	coding	81.3	81.2	True		0	FOUND:rna-split	False
ID_207	SPDYE5	chr7	76780965	76791636	10671	coding	56.7	55.7	True		0	FOUND:protein-tail	False
ID_207	SPDYE16	chr7	77810553	77820700	10147	coding	34.6	33.2	True		0	FOUND:projection	False
ID_12	AC004980.1	chr7	77828590	77906904	78314	lncRNA	149.7	149.7	True		0	FOUND:rna-split	False
ID_12	POMZP3	chr7	77889197	77906183	16986	piece-of-other	188.7	188.7	True		0	FOUND:rna-split	False
ID_207	SPDYE18	chr7	78303830	78311572	7742	coding	132.7	132.4	True		0	FOUND:projection	False
ID_207	SPDYE3	chr7	101547787	101562282	14495	coding	155.1	155.1	True		0	FOUND:rna-split	False
ID_8	PMS2P1	chr7	101559306	101576392	17086	transcribed_pseudogene	168.7	168.7	True		0	FOUND:rna-split	False
ID_207	SPDYE6	chr7	103663166	103673862	10696	coding	19.8	19.7	True		0	FOUND:projection	False
ID_207	SPDYE2	chr7	103962118	103972964	10846	coding	657.6	644.4	True		0	FOUND:projection	False
ID_127	TCAF2	chr7	144980464	145010762	30298	coding	58.8	56.1	True		0	FOUND:rna-split	False
ID_127	AC099548.2	chr7	145042141	145117285	75144	transcribed_pseudogene	45.9	44.3	True		0	FOUND:rna-split	False
ID_127	TCAF2C	chr7	145090337	145098763	8426	piece-of-other	51.8	51.6	True		0	FOUND:rna-split	False
ID_490	ZNF705G	chr8	7084496	7114544	30048	piece-of-other	16.8	16.8	True		0	FOUND:rna-split	False
ID_338	DEFB108C	chr8	7102093	7106486	4393	piece-of-other	15.8	15.8	True	0.0	13413	MISS:seeding-gap	False
ID_458	SPAG11A	chr8	7171678	7192682	21004	piece-of-other	1.6	0.8	False		44774	MISS:not-expressed	False
ID_490	ZNF705D	chr8	7619008	7630136	11128	coding	9.1	8.5	True		0	FOUND:rna-split	False
ID_338	DEFB108D	chr8	7634987	7639336	4349	piece-of-other	7.6	7.6	True	0.1	8574	MISS:seeding-gap	False
ID_338	DEFB108A	chr8	12080371	12084735	4364	pseudogene	28.4	28.4	True		0	FOUND:protein-tail	False
ID_334	DEFB104B	chr8	12522996	12527770	4774	coding	0.0	0.0	False		32375	MISS:not-expressed	False
ID_458	SPAG11B	chr8	12534401	12555431	21030	coding	0.5	0.3	False		43780	MISS:not-expressed	False
ID_490	ZNF705B	chr8	12612891	12638954	26063	pseudogene	89.6	89.3	True		0	FOUND:rna-split	False
ID_245	CNTNAP3	chr9	39086152	39301732	215580	coding	118.5	118.5	True		0	FOUND:rna-split	False
ID_261	CNTNAP3P5	chr9	39786634	39796678	10044	pseudogene	3.4	3.4	True		0	FOUND:rna-split	False
ID_261	AL513478.3	chr9	40182305	40186244	3939	lncRNA	4.4	4.4	True	0.0	25350	MISS:collapse-K0	False
ID_260	AL513478.2	chr9	40202700	40208822	6122	pseudogene	11.5	11.5	False	0.0	2772	MISS:genuine-miss	False
ID_280	ANKRD20A3P	chr9	40211671	40284336	72665	transcribed_pseudogene	680.3	667.4	True		0	FOUND:rna-split	False
ID_104	AL669942.1	chr9	40336207	40344131	7924	lncRNA	299.6	292.1	True		0	FOUND:rna-split	False
ID_245	BX005040.4	chr9	41323315	41373554	50239	pseudogene	5.2	5.2	True		0	FOUND:rna-split	False
ID_147	AC125634.1	chr9	42529786	42537205	7419	transcribed_pseudogene	31.5	24.6	True		0	FOUND:rna-split	False
ID_245	CNTNAP3B	chr9	43440746	43680056	239310	coding	146.1	145.6	True		0	FOUND:rna-split	False
ID_359	FGF7P5	chr9	44178191	44179570	1379	pseudogene	64.2	1.0	True		0	FOUND:rna-split	False
ID_359	FGF7P7	chr9	44220295	44221682	1387	pseudogene	82.7	11.0	True		0	FOUND:rna-split	False
ID_261	BX664718.2	chr9	44277729	44354481	76752	pseudogene	4.0	3.2	True		0	FOUND:rna-split	False
ID_260	MEP1AP4	chr9	44369523	44375633	6110	pseudogene	3.0	1.6	False		23493	MISS:not-expressed	False
ID_280	ANKRD20A7P	chr9	44382760	44503215	120455	pseudogene	65.4	65.4	True		0	FOUND:rna-split	False
ID_104	CYP4F60P	chr9	44502952	44504018	1066	piece-of-other	32.0	32.0	True		0	FOUND:protein-tail	False
ID_348	DUX4L50	chr9	47737220	47737936	716	fragment	3.0	3.0	False	0.0	3233033	MISS:thin-single-exon	False
ID_147	AL353626.3	chr9	77394972	77407442	12470	coding	253.0	245.6	True		0	FOUND:rna-split	False
ID_104	FAM95B1	chr9	77797810	77805957	8147	unannotated	311.1	299.0	True		0	FOUND:rna-split	False
ID_260	MEP1AP1	chr9	77952010	77958144	6134	pseudogene	43.0	43.0	False	0.01	24015	MISS:genuine-miss	False
ID_261	AL773545.4	chr9	77974578	77978517	3939	lncRNA	4.0	4.0	True	0.25	46583	MISS:seeding-gap	False
ID_267	AL590399.2	chr9	78289826	78290136	310	fragment	145.4	140.0	True		0	FOUND:protein-tail	False
ID_245	CNTNAP3P2	chr9	78831664	79065816	234152	transcribed_pseudogene	51.8	51.8	True		0	FOUND:rna-split	False
ID_280	ANKRD20A1	chr9	79615465	79703187	87722	lncRNA	423.4	391.7	True		0	FOUND:rna-split	False
ID_261	CNTNAP3P1	chr9	80247804	80257862	10058	unannotated	1.9	1.9	True		12759	MISS:not-expressed	False
ID_359	FGF7P8	chr9	80292843	80294222	1379	pseudogene	8.7	7.7	True		0	FOUND:rna-split	False
ID_35	FAM157B	chr9	150478579	150516124	37545	lncRNA	17.2	14.4	True		0	FOUND:protein-tail	False
ID_35	AL133216.2	chr10	38447204	38496163	48959	lncRNA	55.1	55.1	True		0	FOUND:protein-tail	False
ID_240	SYT15	chr10	47464575	47480533	15958	coding	6.5	6.5	True		0	FOUND:rna-split	False
ID_443	SHLD2P1	chr10	47496904	47538456	41552	transcribed_pseudogene	307.4	305.5	True		0	FOUND:rna-split	False
ID_327	CTSLP3	chr10	47641642	47647779	6137	pseudogene	18.3	18.3	True		0	FOUND:rna-split	False
ID_443	SHLD2P3	chr10	48581036	48621767	40731	transcribed_pseudogene	411.6	408.9	True		0	FOUND:rna-split	False
ID_240	FO681492.1	chr10	48641165	48655007	13842	coding	2.5	2.5	True		0	FOUND:rna-split	False
ID_327	CTSLP4	chr10	51553971	51557497	3526	pseudogene	48.8	48.8	True		0	FOUND:rna-split	False
ID_327	CTSLP6	chr10	80739715	80743245	3530	pseudogene	38.0	38.0	True		0	FOUND:rna-split	False
ID_443	SHLD2	chr10	87977792	88075100	97308	coding	351.9	351.9	True		0	FOUND:rna-split	False
ID_240	AL157893.1	chr10	88097762	88099813	2051	unannotated	32.9	32.9	True		0	FOUND:rna-split	False
ID_327	CTSLP1	chr10	88270282	88273802	3520	pseudogene	73.9	73.9	True		0	FOUND:rna-split	False
ID_332	FO538757.1	chr11	3740	5220	1480	coding	12.3	12.3	True	0.0	701	MISS:resolved-elsewhere	False
ID_391	WASHC1	chr11	5922	16459	10537	coding	210.3	210.1	True		0	FOUND:rna-split	False
ID_43	TRIM64DP	chr11	89696664	89702267	5603	pseudogene	11.2	11.2	True		0	FOUND:protein-tail	False
ID_43	TRIM64B	chr11	89788985	89795720	6735	coding	0.4	0.4	True		4114	MISS:not-expressed	False
ID_43	TRIM64	chr11	89888639	89894223	5584	coding	4.1	2.4	True	0.14	4110	MISS:collapse-K0	False
ID_43	TRIM64EP	chr11	89977681	89983077	5396	coding	33.2	33.2	True		0	FOUND:protein-tail	False
ID_332	DDX11L5	chr12	5135	6786	1651	coding	4.0	4.0	True		0	FOUND:projection	False
ID_49	AC009533.1	chr12	9259741	9295801	36060	lncRNA	61.5	61.5	True		0	FOUND:rna-split	False
ID_49	DDX12P	chr12	9401422	9430965	29543	transcribed_pseudogene	60.0	60.0	True		0	FOUND:rna-split	False
ID_49	DDX11	chr12	30948352	30979293	30941	coding	96.6	96.6	True		0	FOUND:protein-tail	False
ID_22	AL356585.3	chr13	13560341	13578654	18313	piece-of-other	14.3	13.4	True		0	FOUND:rna-split	False
ID_251	AL356585.4	chr13	13734170	13738626	4456	pseudogene	38.6	38.6	True		0	FOUND:rna-split	False
ID_147	FO681491.1	chr13	17624760	17647558	22798	pseudogene	59.6	58.9	True		0	FOUND:rna-split	False
ID_142	CR381670.1	chr14	5759975	5783699	23724	pseudogene	16.5	13.4	True		0	FOUND:rna-split	False
ID_411	OR11H12	chr14	13104431	13105517	1086	coding	1.0	0.0	False		792	MISS:not-expressed	False
ID_65	CR383656.5	chr14	13134773	13154353	19580	pseudogene	0.4	0.4	True		13264	MISS:not-expressed	False
ID_403	NF1P10	chr14	13212855	13215996	3141	pseudogene	17.8	17.7	True		0	FOUND:rna-split	False
ID_411	OR11H13P	chr14	13493444	13494424	980	pseudogene	16.3	16.3	False	0.06	4720	MISS:genuine-miss	False
ID_300	BMS1P17	chr14	13614822	13630011	15189	piece-of-other	76.3	63.5	True		0	FOUND:protein-tail	False
ID_403	NF1P7	chr14	13803703	13813427	9724	pseudogene	35.5	35.5	True		0	FOUND:rna-split	False
ID_148	AC126603.1	chr15	18136928	18186041	49113	pseudogene	28.5	27.4	False	0.26	5270	MISS:genuine-miss	False
ID_188	HERC2P3	chr15	18291208	18418223	127015	transcribed_pseudogene	78.7	78.0	True		0	FOUND:rna-split	False
ID_71	AC023310.1	chr15	18428068	18432445	4377	piece-of-other	3.5	3.5	True		0	FOUND:projection	False
ID_116	GOLGA6L6	chr15	18443672	18453636	9964	coding	46.3	44.5	True		0	FOUND:rna-split	False
ID_113	GOLGA8CP	chr15	18474211	18487534	13323	transcribed_pseudogene	235.4	202.6	True		0	FOUND:rna-split	False
ID_167	CHEK2P2	chr15	19353208	19362048	8840	lncRNA	30.6	30.4	True		0	FOUND:rna-split	False
ID_113	GOLGA8EP	chr15	20099133	20109998	10865	transcribed_pseudogene	189.9	184.1	True		0	FOUND:rna-split	False
