family_id	n_rna_copies	famCN	totalCN	projection_loci
GWFAM53	2	9	9	chr7:44156585-44158805@0.9852;chr7:74099379-74101535@0.9847;chr7:77820231-77822509@0.9879;chr7:78311103-78313338@0.9870;chr7:103672972-103675148@0.9865;chr7:103869074-103871250@0.9870;chr7:103962436-103964612@0.9865
GWFAM54	6	6	12	chr7:76494126-76502937@0.9451;chr7:76522149-76530957@0.9447;chr7:76550168-76558953@0.9451;chr7:76578155-76586963@0.9451;chr7:76606170-76614958@0.9443;chr7:76793357-76802119@0.9791
GWFAM55	3	3	3	
GWFAM56	2	2	2	
GWFAM57	2	3	3	chr7:76085482-76092920@0.9906
GWFAM58	2	2	2	
GWFAM59	2	3	3	chr7:74442958-74480301@0.9933
GWFAM60	3	4	7	chr11:71740965-71748474@0.9721;chr12:8186153-8193651@0.9782;chr4:9402077-9409582@0.9660;chr8:7618905-7626413@0.9980
GWFAM61	2	3	3	chr9:78831170-78973882@0.9882
GWFAM62	3	4	4	chr9:39083589-39093154@0.9891
GWFAM63	2	2	3	chr22:16708330-16722645@0.9630
GWFAM64	2	4	4	chr9:39097613-39102011@0.9820;chr9:41384882-41389297@0.9979
GWFAM65	2	6	6	chr2:95349660-95357227@0.9843;chr9:40244744-40252324@0.9909;chr9:43045200-43052759@0.9950;chr9:77908413-77915984@0.9950
