family_id	chrom	start	end	span	n_exon	n_reads	on_member	fp_flags	verdict
GWFAM10	chr1	103505640	103513421	7781	9	111	Y	-	KEEP
GWFAM10	chr1	103536279	103544043	7764	9	112	N	-	KEEP
GWFAM10	chr1	103599801	103607561	7760	9	104	N	-	KEEP
GWFAM10	chr1	103630427	103638186	7759	9	116	Y	-	KEEP
GWFAM10	chr1	103693935	103701697	7762	9	116	N	-	KEEP
GWFAM10	chr1	103724559	103732338	7779	9	107	N	-	KEEP
GWFAM10	chr1	103788051	103795830	7779	9	139	Y	-	KEEP
GWFAM11	chr1	120080761	120085736	4975	1	15	Y	-	KEEP
GWFAM11	chr1	145339449	145348715	9266	1	37	Y	-	KEEP
GWFAM11	chr1	145350043	145354675	4632	1	10	N	single_exon_off	REVIEW
GWFAM11	chr1	146101560	146109037	7477	1	54	Y	-	KEEP
GWFAM11	chr1	146111969	146114970	3001	1	6	Y	-	KEEP
GWFAM11	chr1	148511239	148526266	15027	1	114	Y	-	KEEP
GWFAM12	chr1	120102765	120104480	1715	1	7	Y	-	KEEP
GWFAM12	chr1	145367089	145368918	1829	1	7	N	single_exon_off	REVIEW
GWFAM13	chr1	120160798	120172657	11859	1	375	Y	-	KEEP
GWFAM13	chr1	145437406	145440278	2872	1	12	Y	-	KEEP
GWFAM13	chr1	148486948	148496611	9663	1	20	N	single_exon_off	REVIEW
GWFAM14	chr1	120196688	120203757	7069	1	19	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM14	chr1	145461657	145467843	6186	1	21	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM14	chr1	145985416	145989178	3762	1	17	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM15	chr1	120350622	120354255	3633	1	14	Y	-	KEEP
GWFAM15	chr1	120356269	120358040	1771	1	3	N	low_read,single_exon_off	DROP_FP
GWFAM15	chr1	120924064	120927197	3133	1	9	N	single_exon_off	REVIEW
GWFAM15	chr1	120928380	120933800	5420	1	9	N	single_exon_off	REVIEW
GWFAM15	chr1	144336021	144340605	4584	2	5	N	-	KEEP
GWFAM15	chr1	146345913	146359231	13318	1	162	Y	-	KEEP
GWFAM15	chr1	148729310	148743626	14316	1	158	Y	-	KEEP
GWFAM16	chr1	120463516	120467592	4076	1	6	N	single_exon_off	REVIEW
GWFAM16	chr1	120468031	120470751	2720	1	5	N	single_exon_off	REVIEW
GWFAM16	chr1	120476414	120481142	4728	3	27	N	-	KEEP
GWFAM16	chr1	120818528	120841268	22740	20	37	Y	-	KEEP
GWFAM16	chr1	143621477	143624172	2695	1	18	N	single_exon_off	REVIEW
GWFAM16	chr1	143624581	143625770	1189	1	3	N	low_read,single_exon_off	DROP_FP
GWFAM16	chr1	143625804	143642688	16884	15	34	N	-	KEEP
GWFAM16	chr1	144414746	144420008	5262	3	17	N	-	KEEP
GWFAM16	chr1	144483845	144692470	208625	20	5	Y	giant_span	DROP_FP
GWFAM16	chr1	145236045	145238270	2225	1	6	N	single_exon_off	REVIEW
GWFAM16	chr1	145252989	145259478	6489	1	23	N	single_exon_off	REVIEW
GWFAM16	chr1	145260592	145263549	2957	2	3	Y	low_read	DROP_FP
GWFAM16	chr1	145721210	145740087	18877	16	57	N	-	KEEP
GWFAM16	chr1	145738769	145741942	3173	1	15	N	single_exon_off	REVIEW
GWFAM16	chr1	146189554	146215274	25720	20	336	Y	-	KEEP
GWFAM16	chr1	146679786	146702814	23028	20	54	N	-	KEEP
GWFAM16	chr1	146712596	146728033	15437	6	3	Y	low_read	DROP_FP
GWFAM16	chr1	146775196	146777757	2561	1	8	N	single_exon_off	REVIEW
GWFAM17	chr1	120502141	120530557	28416	17	8	Y	-	KEEP
GWFAM17	chr1	145669942	145693339	23397	8	3	Y	low_read	DROP_FP
GWFAM18	chr1	120545222	120572142	26920	14	28	Y	-	KEEP
GWFAM18	chr1	145603540	145627379	23839	1	84	Y	-	KEEP
GWFAM19	chr1	120973039	120975506	2467	1	5	Y	-	KEEP
GWFAM19	chr1	146389979	146392785	2806	1	22	N	single_exon_off	REVIEW
GWFAM19	chr1	148779497	148781979	2482	2	4	Y	-	KEEP
GWFAM20	chr1	120994188	120999098	4910	1	13	Y	-	KEEP
GWFAM20	chr1	142840285	142845044	4759	1	9	N	single_exon_off	REVIEW
GWFAM21	chr1	121037460	121039596	2136	2	5	Y	-	KEEP
GWFAM21	chr1	144269964	144274672	4708	1	8	Y	-	KEEP
GWFAM21	chr1	148844040	148858978	14938	7	3	Y	low_read	DROP_FP
GWFAM22	chr1	121104546	121114503	9957	1	16	Y	-	KEEP
GWFAM22	chr1	142962436	142964680	2244	1	4	N	single_exon_off	REVIEW
GWFAM23	chr1	121115049	121125198	10149	1	40	Y	-	KEEP
GWFAM23	chr1	142968442	142978820	10378	1	30	Y	-	KEEP
GWFAM23	chr1	148923203	148938654	15451	1	115	Y	-	KEEP
GWFAM24	chr1	121177004	121194212	17208	4	105	Y	-	KEEP
GWFAM24	chr1	143027385	143044434	17049	4	33	Y	-	KEEP
GWFAM24	chr1	144220181	144237400	17219	4	83	Y	-	KEEP
GWFAM24	chr1	205450362	205467576	17214	4	153	Y	-	KEEP
GWFAM25	chr1	121396667	121402233	5566	1	96	Y	-	KEEP
GWFAM25	chr1	143140170	143148404	8234	1	59	Y	-	KEEP
GWFAM25	chr1	144010279	144017472	7193	1	75	Y	-	KEEP
GWFAM26	chr1	142487571	142490707	3136	1	37	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM26	chr1	143822204	143825771	3567	1	21	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM27	chr1	142539075	142541239	2164	1	4	Y	-	KEEP
GWFAM27	chr1	143769707	143773502	3795	1	8	Y	-	KEEP
GWFAM28	chr1	142558405	142560357	1952	1	3	Y	low_read	DROP_FP
GWFAM28	chr1	143752182	143754147	1965	2	5	N	-	KEEP
GWFAM29	chr1	142848567	142851179	2612	1	9	N	single_exon_off	REVIEW
GWFAM29	chr1	142851975	142854093	2118	1	5	N	single_exon_off	REVIEW
GWFAM29	chr1	144302335	144306360	4025	1	12	N	single_exon_off	REVIEW
GWFAM29	chr1	144306819	144310978	4159	1	27	N	single_exon_off	REVIEW
GWFAM29	chr1	148807130	148821290	14160	1	53	Y	-	KEEP
GWFAM30	chr1	142865288	142869211	3923	1	6	N	single_exon_off	REVIEW
GWFAM30	chr1	144288806	144296177	7371	1	31	N	single_exon_off	REVIEW
GWFAM30	chr1	148824984	148829853	4869	1	17	Y	-	KEEP
GWFAM31	chr1	142879501	142882189	2688	1	7	N	single_exon_off	REVIEW
GWFAM31	chr1	148840566	148842840	2274	1	8	Y	-	KEEP
GWFAM32	chr1	142908690	142913041	4351	1	20	N	single_exon_off	REVIEW
GWFAM32	chr1	148869760	148871935	2175	2	8	Y	-	KEEP
GWFAM33	chr1	142950377	142957127	6750	2	3	Y	low_read	DROP_FP
GWFAM33	chr1	148905353	148917111	11758	2	7	Y	-	KEEP
GWFAM34	chr1	143087031	143090807	3776	1	25	Y	-	KEEP
GWFAM34	chr1	144083388	144220041	136653	4	10	Y	giant_span	DROP_FP
GWFAM34	chr1	205471922	205478618	6696	3	3	Y	low_read	DROP_FP
GWFAM34	chr1	205479948	205493016	13068	1	95	Y	-	KEEP
GWFAM35	chr1	143471210	143472916	1706	1	3	N	low_read,single_exon_off	DROP_FP
GWFAM35	chr1	144357575	144366404	8829	1	25	Y	-	KEEP
GWFAM35	chr1	148708867	148711476	2609	1	8	N	single_exon_off	REVIEW
GWFAM36	chr1	143588644	143590123	1479	1	3	N	low_read,single_exon_off	DROP_FP
GWFAM36	chr1	145773484	145776587	3103	1	11	Y	-	KEEP
GWFAM36	chr1	148351184	148354140	2956	1	7	N	single_exon_off	REVIEW
GWFAM37	chr1	143643350	143645857	2507	1	15	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM37	chr1	144414631	144419874	5243	1	46	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM37	chr1	145721106	145723363	2257	1	60	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM37	chr1	148602579	148620962	18383	15	132	N	off_benchmark_family	DROP_FP
GWFAM37	chr1	148632130	148635233	3103	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM37	chr1	148676047	148680542	4495	1	107	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM38	chr1	143679703	143681973	2270	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM38	chr1	144377716	144380437	2721	1	12	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM38	chr1	148689555	148697164	7609	1	22	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM39	chr1	144615297	144618229	2932	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM39	chr1	146732825	146735425	2600	1	14	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM40	chr1	145202968	145221126	18158	24	12	N	off_benchmark_family	DROP_FP
GWFAM40	chr1	145226594	145227678	1084	1	4	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM40	chr1	145236037	145246414	10377	14	9	N	off_benchmark_family	DROP_FP
GWFAM40	chr1	146225393	146227896	2503	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM40	chr1	148661691	148663765	2074	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM41	chr1	145403374	145405072	1698	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM41	chr1	146049672	146051366	1694	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM42	chr1	145409841	145420382	10541	1	366	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM42	chr1	146034335	146044703	10368	1	93	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM43	chr1	145438326	145458056	19730	5	5	Y	-	KEEP
GWFAM43	chr1	145995543	145999046	3503	1	6	N	single_exon_off	REVIEW
GWFAM43	chr1	148478976	148481504	2528	1	4	N	single_exon_off	REVIEW
GWFAM44	chr1	145517053	145523975	6922	1	11	Y	-	KEEP
GWFAM44	chr1	145934012	145936997	2985	1	6	Y	-	KEEP
GWFAM45	chr1	145809479	145812209	2730	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM45	chr1	148388733	148390520	1787	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM46	chr1	146564432	146570133	5701	1	37	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM46	chr1	148314382	148322992	8610	1	43	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM47	chr1	146579615	146583519	3904	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM47	chr1	148298898	148301978	3080	1	7	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM48	chr1	148952675	148959354	6679	1	33	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM48	chr1	148983126	148989255	6129	1	30	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM49	chr1	148962910	148975791	12881	1	419	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM49	chr1	148976738	148979186	2448	1	12	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM50	chr1	223095446	223098952	3506	1	7	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM50	chr1	242421137	242423628	2491	1	8	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM51	chr10	47474199	47478854	4655	1	13	Y	-	KEEP
GWFAM51	chr10	48639092	48643703	4611	1	13	Y	-	KEEP
GWFAM52	chr10	47487170	47491497	4327	1	9	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM52	chr10	48627999	48631264	3265	1	9	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM53	chr10	47493150	47495433	2283	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM53	chr10	48624070	48626345	2275	1	9	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM54	chr10	47496891	47522145	25254	7	331	Y	-	KEEP
GWFAM54	chr10	48597343	48622555	25212	7	430	Y	-	KEEP
GWFAM55	chr10	47528772	47531321	2549	1	4	Y	-	KEEP
GWFAM55	chr10	48587857	48594960	7103	1	10	Y	-	KEEP
GWFAM55	chr10	88034891	88075100	40209	8	136	Y	-	KEEP
GWFAM56	chr10	47553778	47556534	2756	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM56	chr10	48563218	48565974	2756	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM57	chr10	47644964	47648835	3871	4	11	Y	-	KEEP
GWFAM57	chr10	51553695	51558671	4976	7	7	Y	-	KEEP
GWFAM57	chr10	80739438	80744404	4966	8	10	Y	-	KEEP
GWFAM57	chr10	88270005	88274945	4940	8	10	Y	-	KEEP
GWFAM58	chr10	80633539	80695930	62391	6	40	N	giant_span,off_benchmark_family	DROP_FP
GWFAM58	chr10	88169702	88226451	56749	4	71	N	giant_span,off_benchmark_family	DROP_FP
GWFAM58	chr10	88322086	88325138	3052	1	113	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM59	chr10	80687794	80695302	7508	1	78	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM59	chr10	88224436	88225645	1209	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM60	chr10	80695841	80706508	10667	1	116	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM60	chr10	88225993	88233452	7459	1	78	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM61	chr10	80709796	80720225	10429	7	8	N	off_benchmark_family	DROP_FP
GWFAM61	chr10	88108220	88118615	10395	7	23	N	off_benchmark_family	DROP_FP
GWFAM61	chr10	88240879	88250798	9919	7	11	N	off_benchmark_family	DROP_FP
GWFAM62	chr10	88098873	88110240	11367	1	112	Y	-	KEEP
GWFAM62	chr10	88239075	88241813	2738	1	7	N	single_exon_off	REVIEW
GWFAM63	chr11	5921	12648	6727	8	26	Y	-	KEEP
GWFAM63	chr19	6991	13971	6980	10	14	N	-	KEEP
GWFAM64	chr11	18637	27970	9333	1	31	N	single_exon_off	REVIEW
GWFAM64	chr12	18032	22445	4413	1	16	N	single_exon_off	REVIEW
GWFAM64	chr12	22638	24827	2189	1	5	N	single_exon_off	REVIEW
GWFAM64	chr15	99726260	99727311	1051	1	3	N	low_read,single_exon_off	DROP_FP
GWFAM64	chr15	99728692	99730604	1912	1	6	N	single_exon_off	REVIEW
GWFAM64	chr19	19532	23671	4139	1	13	N	single_exon_off	REVIEW
GWFAM64	chr19	24218	30839	6621	1	9	N	single_exon_off	REVIEW
GWFAM64	chr2	113993712	114008772	15060	1	24	N	single_exon_off	REVIEW
GWFAM64	chr3	201073396	201084836	11440	1	88	Y	-	KEEP
GWFAM65	chr11	32280	36383	4103	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM65	chr15	99716132	99719602	3470	1	14	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM65	chr19	33198	36238	3040	1	18	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM66	chr11	39220	43479	4259	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM66	chr15	99711159	99713822	2663	1	8	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM67	chr11	89715114	89718309	3195	1	20	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM67	chr11	89959906	89976276	16370	1	25	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM68	chr11	89761319	89765380	4061	1	14	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM68	chr11	89919004	89921073	2069	1	4	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM69	chr11	89778212	89780503	2291	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM69	chr11	89903697	89906160	2463	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM70	chr11	89799834	89800958	1124	1	7	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM70	chr11	89804244	89807760	3516	1	7	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM70	chr11	89876603	89884529	7926	1	18	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM71	chr11	89836758	89839238	2480	1	8	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM71	chr11	89845004	89847607	2603	1	4	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM72	chr12	7517	22621	15104	11	24	N	-	KEEP
GWFAM72	chr19	14001	17034	3033	1	7	N	single_exon_off	REVIEW
GWFAM72	chr2	114008775	114023764	14989	11	18	Y	-	KEEP
GWFAM72	chr3	201080381	201097322	16941	11	41	Y	-	KEEP
GWFAM73	chr12	9266428	9270155	3727	1	23	Y	-	KEEP
GWFAM73	chr12	9426964	9430974	4010	1	25	Y	-	KEEP
GWFAM74	chr12	9293564	9299049	5485	2	7	Y	-	KEEP
GWFAM74	chr12	9398067	9404252	6185	7	4	Y	-	KEEP
GWFAM75	chr12	9354862	9380245	25383	2	22	N	off_benchmark_family	DROP_FP
GWFAM75	chr12	30983124	30986416	3292	2	3	N	low_read,off_benchmark_family	DROP_FP
GWFAM76	chr12	9388554	9391497	2943	1	7	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM76	chr12	30998195	31007571	9376	4	10	N	off_benchmark_family	DROP_FP
GWFAM77	chr13	13455564	13539798	84234	24	728	N	giant_span,off_benchmark_family	DROP_FP
GWFAM77	chr21	10520471	10605259	84788	23	727	N	giant_span,off_benchmark_family	DROP_FP
GWFAM78	chr13	13551713	13555415	3702	1	7	N	single_exon_off	REVIEW
GWFAM78	chr2	89566790	89571309	4519	1	11	N	single_exon_off	REVIEW
GWFAM78	chr2	90171828	90178251	6423	1	8	N	single_exon_off	REVIEW
GWFAM78	chr21	10612563	10620853	8290	1	18	Y	-	KEEP
GWFAM79	chr13	13566064	13568510	2446	1	4	Y	-	KEEP
GWFAM79	chr2	89547653	89551210	3557	1	11	Y	-	KEEP
GWFAM79	chr2	90172114	90200097	27983	8	5	N	-	KEEP
GWFAM79	chr2	91891893	91894401	2508	1	3	Y	low_read	DROP_FP
GWFAM79	chr21	10621192	10624178	2986	1	8	Y	-	KEEP
GWFAM79	chr21	10629221	10635252	6031	1	212	Y	-	KEEP
GWFAM80	chr13	13571812	13574047	2235	1	9	Y	-	KEEP
GWFAM80	chr13	13737150	13836749	99599	9	12	Y	giant_span	DROP_FP
GWFAM80	chr21	10637581	10640121	2540	1	3	Y	low_read	DROP_FP
GWFAM80	chr21	10640558	10652233	11675	1	58	Y	-	KEEP
GWFAM80	chr21	10664000	10668641	4641	1	10	Y	-	KEEP
GWFAM80	chr21	10672256	10688799	16543	1	64	Y	-	KEEP
GWFAM81	chr13	13759224	13767228	8004	1	12	N	single_exon_off	REVIEW
GWFAM81	chr21	10653243	10655405	2162	1	9	Y	-	KEEP
GWFAM82	chr13	17624579	17630913	6334	1	107	Y	-	KEEP
GWFAM82	chr21	11382324	11383780	1456	1	5	Y	-	KEEP
GWFAM83	chr13	17648947	17654802	5855	2	4	N	-	KEEP
GWFAM83	chr21	11407007	11412222	5215	2	6	Y	-	KEEP
GWFAM84	chr13	17675482	17679227	3745	1	30	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM84	chr13	17680246	17682222	1976	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM84	chr21	11431387	11437530	6143	1	14	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM85	chr13	17684623	17689902	5279	1	10	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM85	chr21	11439662	11445380	5718	1	12	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM85	chr9	77450338	77453865	3527	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM86	chr14	5764335	5769540	5205	1	10	Y	-	KEEP
GWFAM86	chr14	5772459	5786189	13730	1	30	Y	-	KEEP
GWFAM86	chr22	5783526	5785007	1481	1	3	N	low_read,single_exon_off	DROP_FP
GWFAM86	chr3	95686513	95703105	16592	6	9	N	-	KEEP
GWFAM86	chr3	95704100	95750146	46046	3	18	N	-	KEEP
GWFAM87	chr14	13080693	13083255	2562	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM87	chr22	16077552	16081118	3566	1	23	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM88	chr14	13099819	13103639	3820	1	9	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM88	chr22	16097744	16101421	3677	1	8	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM89	chr14	13114478	13117506	3028	1	19	N	single_exon_off	REVIEW
GWFAM89	chr2	130455585	130467118	11533	5	172	Y	-	KEEP
GWFAM89	chr2	130850651	130862939	12288	3	226	Y	-	KEEP
GWFAM89	chr2	131127742	131138908	11166	3	132	Y	-	KEEP
GWFAM89	chr22	16112149	16116553	4404	1	8	Y	-	KEEP
GWFAM90	chr14	13167617	13173897	6280	1	47	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM90	chr14	13844372	13848204	3832	1	23	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM90	chr22	16161803	16164983	3180	1	25	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM91	chr14	13199750	13202367	2617	1	8	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM91	chr14	13205825	13208109	2284	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM91	chr14	13815212	13827884	12672	1	206	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM91	chr22	16183762	16188937	5175	1	44	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM92	chr14	13212491	13221708	9217	7	3	Y	low_read	DROP_FP
GWFAM92	chr14	13806098	13813758	7660	7	3	Y	low_read	DROP_FP
GWFAM92	chr22	16196201	16198012	1811	1	3	Y	low_read	DROP_FP
GWFAM92	chr22	16203029	16206333	3304	1	6	Y	-	KEEP
GWFAM93	chr14	13234562	13241619	7057	1	555	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM93	chr14	13785208	13790939	5731	1	48	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM93	chr22	16218558	16221317	2759	2	3	N	low_read,off_benchmark_family	DROP_FP
GWFAM94	chr14	13241945	13254173	12228	4	6	N	off_benchmark_family	DROP_FP
GWFAM94	chr22	16228028	16236478	8450	3	7	N	off_benchmark_family	DROP_FP
GWFAM95	chr14	13256139	13262472	6333	2	105	N	off_benchmark_family	DROP_FP
GWFAM95	chr14	13762739	13770247	7508	2	4	N	off_benchmark_family	DROP_FP
GWFAM95	chr22	16241033	16245734	4701	2	11	N	off_benchmark_family	DROP_FP
GWFAM96	chr14	13264623	13311944	47321	12	3	N	low_read,off_benchmark_family	DROP_FP
GWFAM96	chr14	13751084	13762017	10933	4	16	N	off_benchmark_family	DROP_FP
GWFAM96	chr22	16247822	16269714	21892	7	3	N	low_read,off_benchmark_family	DROP_FP
GWFAM97	chr14	13438918	13470788	31870	1	244	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM97	chr14	13562824	13570592	7768	1	126	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM97	chr14	13571556	13582216	10660	1	199	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM97	chr14	13587128	13591029	3901	1	15	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM97	chr22	16416800	16442537	25737	1	205	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM98	chr14	13483763	13488724	4961	1	114	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM98	chr22	16095756	16097411	1655	1	4	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM99	chr14	13592834	13596822	3988	1	19	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM99	chr22	16412824	16415685	2861	1	21	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM100	chr14	13598409	13612125	13716	1	186	N	single_exon_off	REVIEW
GWFAM100	chr22	16390771	16410133	19362	1	248	Y	-	KEEP
GWFAM101	chr14	13677253	13695854	18601	3	15	N	off_benchmark_family	DROP_FP
GWFAM101	chr22	16313505	16352180	38675	4	9	N	off_benchmark_family	DROP_FP
GWFAM102	chr15	18191311	18200120	8809	5	3	N	low_read	DROP_FP
GWFAM102	chr15	19353209	19358256	5047	2	2	Y	low_read	DROP_FP
GWFAM102	chr16	33739450	33742435	2985	1	3	Y	low_read	DROP_FP
GWFAM103	chr15	18230235	18233825	3590	2	15	N	off_benchmark_family	DROP_FP
GWFAM103	chr15	19319363	19322676	3313	2	12	N	off_benchmark_family	DROP_FP
GWFAM103	chr16	33710632	33713656	3024	2	8	N	off_benchmark_family	DROP_FP
GWFAM104	chr15	18238093	18245534	7441	2	84	N	off_benchmark_family	DROP_FP
GWFAM104	chr15	19303037	19312954	9917	1	40	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM105	chr15	18294407	18350498	56091	4	5	Y	giant_span	DROP_FP
GWFAM105	chr15	20235035	20237495	2460	1	6	Y	-	KEEP
