family_id	copy_idx	tid	chrom	start	end	n_exon	strand	n_reads
GWFAM4	0	DN_chr1_120166651_5	chr1	120166651	120189976	5	-	535
GWFAM4	1	DN_chr1_145438326_5	chr1	145438326	145458056	5	-	5
GWFAM5	0	DN_chr1_120502141_17	chr1	120502141	120530557	17	-	8
GWFAM5	1	DN_chr1_145693433_6	chr1	145693433	145700085	6	+	10
GWFAM5	2	DN_chr1_146712596_6	chr1	146712596	146728033	6	-	3
GWFAM6	0	DN_chr1_120545222_14	chr1	120545222	120572142	14	-	28
GWFAM6	1	DN_chr1_120571223_2	chr1	120571223	120574484	2	+	3
GWFAM6	2	DN_chr1_145618754_17	chr1	145618754	145648575	17	+	63
GWFAM7	0	DN_chr1_120818528_20	chr1	120818528	120841268	20	+	37
GWFAM7	1	DN_chr1_144483845_20	chr1	144483845	144692470	20	-	5
GWFAM7	2	DN_chr1_146189554_20	chr1	146189554	146215274	20	+	336
GWFAM8	0	DN_chr1_120982508_7	chr1	120982508	121023299	7	+	3
GWFAM8	1	DN_chr1_148788131_2	chr1	148788131	148793942	2	+	5
GWFAM9	0	DN_chr1_121100297_2	chr1	121100297	121107026	2	-	4
GWFAM9	1	DN_chr1_142950377_2	chr1	142950377	142957127	2	-	3
GWFAM10	0	DN_chr1_121177004_4	chr1	121177004	121194212	4	-	105
GWFAM10	1	DN_chr1_143027385_4	chr1	143027385	143044434	4	-	33
GWFAM10	2	DN_chr1_144220181_4	chr1	144220181	144237400	4	+	83
GWFAM10	3	DN_chr1_205450362_4	chr1	205450362	205467576	4	-	153
GWFAM11	0	DN_chr1_121194335_10	chr1	121194335	121400102	10	+	46
GWFAM11	1	DN_chr1_143044636_8	chr1	143044636	143141793	8	+	20
GWFAM11	2	DN_chr1_205467678_23	chr1	205467678	205728609	23	+	24
GWFAM12	0	DN_chr1_142816953_2	chr1	142816953	142819478	2	+	72
GWFAM12	1	DN_chr1_148779497_2	chr1	148779497	148781979	2	+	4
GWFAM13	0	DN_chr1_142897904_8	chr1	142897904	142955757	8	+	4
GWFAM13	1	DN_chr1_148858557_5	chr1	148858557	148915820	5	+	11
GWFAM14	0	DN_chr1_144259428_7	chr1	144259428	144274596	7	+	3
GWFAM14	1	DN_chr1_148844040_7	chr1	148844040	148858978	7	-	3
GWFAM15	0	DN_chr1_145271620_5	chr1	145271620	145346037	5	-	75
GWFAM15	1	DN_chr1_148519457_5	chr1	148519457	148594181	5	+	18
GWFAM16	0	DN_chr10_47496891_7	chr10	47496891	47522145	7	-	331
GWFAM16	1	DN_chr10_48597343_7	chr10	48597343	48622555	7	+	430
GWFAM16	2	DN_chr10_88034891_8	chr10	88034891	88075100	8	+	136
GWFAM17	0	DN_chr10_51553695_7	chr10	51553695	51558671	7	-	7
GWFAM17	1	DN_chr10_80739438_8	chr10	80739438	80744404	8	-	10
GWFAM17	2	DN_chr10_88270005_8	chr10	88270005	88274945	8	-	10
GWFAM18	0	DN_chr11_5921_8	chr11	5921	12648	8	-	26
GWFAM18	1	DN_chr12_9293564_2	chr12	9293564	9299049	2	+	7
GWFAM18	2	DN_chr12_9398067_7	chr12	9398067	9404252	7	-	4
GWFAM18	3	DN_chr12_30966234_18	chr12	30966234	30979287	18	+	7
GWFAM18	4	DN_chr19_3550_1	chr19	3550	7006	1	+	5
GWFAM18	5	DN_chr2_114008775_11	chr2	114008775	114023764	11	+	18
GWFAM18	6	DN_chr2_114023714_4	chr2	114023714	114028508	4	-	4
GWFAM18	7	DN_chr3_201080381_11	chr3	201080381	201097322	11	+	41
GWFAM19	0	DN_chr11_89697046_9	chr11	89697046	89746833	9	+	2
GWFAM19	1	DN_chr11_89977474_11	chr11	89977474	90051009	11	-	2
GWFAM20	0	DN_chr14_5744726_5	chr14	5744726	5760234	5	-	3
GWFAM20	1	DN_chr3_95670515_4	chr3	95670515	95685209	4	-	4
GWFAM20	2	DN_chr9_44446329_6	chr9	44446329	44464301	6	+	22
GWFAM21	0	DN_chr14_13212491_7	chr14	13212491	13221708	7	-	3
GWFAM21	1	DN_chr14_13806098_7	chr14	13806098	13813758	7	+	3
GWFAM22	0	DN_chr14_13606672_3	chr14	13606672	13650774	3	-	4
GWFAM22	1	DN_chr22_16358849_4	chr22	16358849	16402779	4	+	11
GWFAM23	0	DN_chr15_18448886_5	chr15	18448886	18453631	5	-	40
GWFAM23	1	DN_chr15_18474204_18	chr15	18474204	18487534	18	+	32
GWFAM23	2	DN_chr15_20096768_6	chr15	20096768	20102630	6	-	51
GWFAM23	3	DN_chr15_20131009_5	chr15	20131009	20135764	5	+	2
GWFAM23	4	DN_chr15_20131035_2	chr15	20131035	20132991	2	-	6
GWFAM23	5	DN_chr15_20279485_17	chr15	20279485	20289994	17	-	18
GWFAM23	6	DN_chr15_20841196_18	chr15	20841196	20854572	18	+	59
GWFAM23	7	DN_chr15_21007393_4	chr15	21007393	21011300	4	+	4
GWFAM23	8	DN_chr15_21065796_5	chr15	21065796	21070472	5	-	10
GWFAM23	9	DN_chr15_21091023_18	chr15	21091023	21102686	18	+	4
GWFAM23	10	DN_chr15_26121347_18	chr15	26121347	26134747	18	+	71
GWFAM23	11	DN_chr15_26296281_18	chr15	26296281	26309739	18	-	102
GWFAM23	12	DN_chr15_26330279_5	chr15	26330279	26334957	5	+	18
GWFAM23	13	DN_chr15_26478468_19	chr15	26478468	26489133	19	-	8
GWFAM23	14	DN_chr15_27874674_19	chr15	27874674	27885407	19	+	12
GWFAM23	15	DN_chr15_27926771_19	chr15	27926771	27938889	19	+	21
GWFAM23	16	DN_chr15_28196853_19	chr15	28196853	28207534	19	-	10
GWFAM23	17	DN_chr15_28400987_4	chr15	28400987	28404945	4	+	17
GWFAM23	18	DN_chr15_30241447_19	chr15	30241447	30252178	19	-	31
GWFAM23	19	DN_chr15_30394463_3	chr15	30394463	30397647	3	+	7
GWFAM23	20	DN_chr15_32184800_14	chr15	32184800	32193680	14	-	150
GWFAM23	21	DN_chr15_80204134_9	chr15	80204134	80213595	9	-	41
GWFAM23	22	DN_chr15_80293456_6	chr15	80293456	80303275	6	+	137
GWFAM23	23	DN_chr15_82101756_9	chr15	82101756	82111482	9	+	45
GWFAM23	24	DN_chr15_82259345_4	chr15	82259345	82265184	4	-	94
GWFAM24	0	DN_chr15_20137415_2	chr15	20137415	20140138	2	+	15
GWFAM24	1	DN_chr15_21012906_2	chr15	21012906	21015088	2	+	14
GWFAM24	2	DN_chr15_26091803_2	chr15	26091803	26094614	2	-	46
GWFAM24	3	DN_chr15_28301649_9	chr15	28301649	28311839	9	+	2
GWFAM25	0	DN_chr15_20166965_14	chr15	20166965	20217915	14	+	7
GWFAM25	1	DN_chr15_26366162_12	chr15	26366162	26417003	12	+	2
GWFAM26	0	DN_chr15_20248076_5	chr15	20248076	20262932	5	+	34
GWFAM26	1	DN_chr15_26447769_5	chr15	26447769	26461983	5	+	15
GWFAM27	0	DN_chr15_21046131_4	chr15	21046131	21051822	4	+	8
GWFAM27	1	DN_chr15_26350453_4	chr15	26350453	26355958	4	-	3
GWFAM28	0	DN_chr15_27890895_3	chr15	27890895	27894586	3	-	4
GWFAM28	1	DN_chr15_28187514_3	chr15	28187514	28191340	3	+	8
GWFAM28	2	DN_chr15_30232390_2	chr15	30232390	30235978	2	+	5
GWFAM29	0	DN_chr15_28365707_3	chr15	28365707	28378374	3	+	35
GWFAM29	1	DN_chr15_30218965_3	chr15	30218965	30231655	3	-	54
GWFAM29	2	DN_chr15_82038561_3	chr15	82038561	82048582	3	+	9
GWFAM29	3	DN_chr15_82243784_3	chr15	82243784	82253411	3	-	6
GWFAM30	0	DN_chr15_80275469_2	chr15	80275469	80280125	2	+	3
GWFAM30	1	DN_chr15_82283313_2	chr15	82283313	82289404	2	-	6
GWFAM31	0	DN_chr15_80309552_3	chr15	80309552	80324523	3	+	2
GWFAM31	1	DN_chr15_82117762_3	chr15	82117762	82132729	3	+	2
GWFAM32	0	DN_chr16_11963314_6	chr16	11963314	11977729	6	-	19
GWFAM32	1	DN_chr16_14749588_7	chr16	14749588	14763868	7	+	79
GWFAM32	2	DN_chr16_15368407_7	chr16	15368407	15382704	7	-	38
GWFAM32	3	DN_chr16_16391852_7	chr16	16391852	16406187	7	+	50
GWFAM32	4	DN_chr16_28623009_8	chr16	28623009	28637430	8	-	184
GWFAM32	5	DN_chr16_28736995_8	chr16	28736995	28771999	8	-	13
GWFAM32	6	DN_chr16_28924819_3	chr16	28924819	28929072	3	+	8
GWFAM32	7	DN_chr16_28935124_3	chr16	28935124	28939424	3	+	9
GWFAM32	8	DN_chr16_29038773_8	chr16	29038773	29053449	8	+	46
GWFAM32	9	DN_chr16_29330277_2	chr16	29330277	29333924	2	+	10
GWFAM32	10	DN_chr16_29663364_7	chr16	29663364	29679826	7	-	11
GWFAM32	11	DN_chr16_29665059_3	chr16	29665059	29667691	3	+	3
GWFAM32	12	DN_chr16_75785725_2	chr16	75785725	75790348	2	-	16
GWFAM32	13	DN_chr16_80195301_7	chr16	80195301	80209898	7	+	70
GWFAM33	0	DN_chr16_14745960_2	chr16	14745960	14748931	2	-	3
GWFAM33	1	DN_chr16_28642098_17	chr16	28642098	28680751	17	-	2
GWFAM34	0	DN_chr16_15115422_3	chr16	15115422	15127838	3	-	4
GWFAM34	1	DN_chr16_33028694_6	chr16	33028694	33038516	6	+	2
GWFAM34	2	DN_chr2_112310620_2	chr2	112310620	112315788	2	+	5
GWFAM34	3	DN_chr5_71239854_2	chr5	71239854	71247943	2	-	4
GWFAM34	4	DN_chr7_67011150_2	chr7	67011150	67014667	2	-	4
GWFAM34	5	DN_chr7_75851643_2	chr7	75851643	75859325	2	-	4
GWFAM34	6	DN_chr9_40284162_2	chr9	40284162	40286861	2	+	3
GWFAM35	0	DN_chr16_32641451_2	chr16	32641451	32644091	2	+	44
GWFAM35	1	DN_chr16_33087553_3	chr16	33087553	33090179	3	-	67
GWFAM35	2	DN_chr16_33608941_3	chr16	33608941	33611147	3	+	72
GWFAM36	0	DN_chr16_33018805_2	chr16	33018805	33021681	2	+	4
GWFAM36	1	DN_chr5_176633786_18	chr5	176633786	176660127	18	+	98
GWFAM37	0	DN_chr17_32966879_12	chr17	32966879	32999374	12	+	698
GWFAM37	1	DN_chr17_47157094_14	chr17	47157094	47199791	14	+	169
GWFAM37	2	DN_chr17_47374297_14	chr17	47374297	47418507	14	+	333
GWFAM37	3	DN_chr17_65723582_12	chr17	65723582	65767244	12	-	287
GWFAM38	0	DN_chr17_37262359_4	chr17	37262359	37268734	4	+	5
GWFAM38	1	DN_chr17_39060523_2	chr17	39060523	39065020	2	-	7
GWFAM39	0	DN_chr17_37325493_14	chr17	37325493	37336401	14	-	18
GWFAM39	1	DN_chr17_38911398_14	chr17	38911398	38922351	14	+	64
GWFAM39	2	DN_chr17_38965104_14	chr17	38965104	38976080	14	-	108
GWFAM39	3	DN_chr17_38991017_14	chr17	38991017	39001930	14	+	43
GWFAM39	4	DN_chr17_39044721_13	chr17	39044721	39056587	13	-	37
GWFAM39	5	DN_chr17_60876852_14	chr17	60876852	60887802	14	-	32
GWFAM39	6	DN_chr17_63134628_14	chr17	63134628	63145601	14	-	10
GWFAM40	0	DN_chr17_47197628_4	chr17	47197628	47223746	4	-	6
GWFAM40	1	DN_chr17_47415147_4	chr17	47415147	47441256	4	-	7
GWFAM41	0	DN_chr18_15046458_1	chr18	15046458	15052997	1	+	118
GWFAM41	1	DN_chr9_44121786_3	chr9	44121786	44180567	3	+	26
GWFAM41	2	DN_chr9_44219300_3	chr9	44219300	44278082	3	-	32
GWFAM41	3	DN_chr9_78270608_3	chr9	78270608	78332495	3	+	52
GWFAM42	0	DN_chr2_86990810_4	chr2	86990810	87019193	4	+	388
GWFAM42	1	DN_chr2_87767940_4	chr2	87767940	87796331	4	-	1877
GWFAM42	2	DN_chr2_106864167_4	chr2	106864167	106886028	4	-	336
GWFAM42	3	DN_chr2_108332286_4	chr2	108332286	108354098	4	+	150
GWFAM42	4	DN_chr2_110936276_4	chr2	110936276	110958146	4	-	1747
GWFAM42	5	DN_chr2_112795145_4	chr2	112795145	112817026	4	-	763
GWFAM43	0	DN_chr2_87035893_11	chr2	87035893	87081546	11	-	32
GWFAM43	1	DN_chr2_87731954_8	chr2	87731954	87751237	8	+	3
GWFAM44	0	DN_chr2_87187249_7	chr2	87187249	87202508	7	+	3
GWFAM44	1	DN_chr2_112193889_20	chr2	112193889	112235512	20	-	48
GWFAM45	0	DN_chr2_130455585_5	chr2	130455585	130467118	5	-	172
GWFAM45	1	DN_chr2_130850651_3	chr2	130850651	130862939	3	-	226
GWFAM45	2	DN_chr2_131127742_3	chr2	131127742	131138908	3	+	132
GWFAM45	3	DN_chr2_131733759_6	chr2	131733759	131746039	6	+	174
GWFAM46	0	DN_chr2_131113334_5	chr2	131113334	131127292	5	+	123
GWFAM46	1	DN_chr9_40338283_2	chr9	40338283	40344129	2	+	104
GWFAM46	2	DN_chr9_44501075_3	chr9	44501075	44504187	3	+	6
GWFAM46	3	DN_chr9_77797813_2	chr9	77797813	77803669	2	-	75
GWFAM47	0	DN_chr22_18939295_2	chr22	18939295	18945907	2	-	606
GWFAM47	1	DN_chr22_21522629_2	chr22	21522629	21528479	2	-	483
GWFAM47	2	DN_chr22_23051930_2	chr22	23051930	23057994	2	-	176
GWFAM47	3	DN_chr22_24720915_2	chr22	24720915	24727320	2	+	470
GWFAM47	4	DN_chr22_25104811_2	chr22	25104811	25110576	2	-	744
GWFAM48	0	DN_chr5_21355708_2	chr5	21355708	21359266	2	+	9
GWFAM48	1	DN_chr5_21356294_2	chr5	21356294	21359258	2	-	3
GWFAM49	0	DN_chr5_21529010_2	chr5	21529010	21551589	2	+	3
GWFAM49	1	DN_chr5_70703359_2	chr5	70703359	70707972	2	-	6
GWFAM49	2	DN_chr5_70703375_2	chr5	70703375	70708326	2	+	53
GWFAM49	3	DN_chr5_71230715_2	chr5	71230715	71235808	2	+	21
GWFAM49	4	DN_chr5_71231629_2	chr5	71231629	71235464	2	-	65
GWFAM50	0	DN_chr5_70431526_2	chr5	70431526	70445569	2	+	5
GWFAM50	1	DN_chr5_71583803_2	chr5	71583803	71588179	2	-	8
GWFAM51	0	DN_chr5_70465248_6	chr5	70465248	70536675	6	-	9
GWFAM51	1	DN_chr5_71651327_14	chr5	71651327	71771462	14	-	156
GWFAM51	2	DN_chr6_26692934_7	chr6	26692934	26825376	7	-	183
GWFAM52	0	DN_chr7_44156219_9	chr7	44156219	44167935	9	+	81
GWFAM52	1	DN_chr7_74305117_5	chr7	74305117	74310263	5	-	3
GWFAM52	2	DN_chr7_76781265_8	chr7	76781265	76790925	8	+	5
GWFAM52	3	DN_chr7_77811109_8	chr7	77811109	77821124	8	-	16
GWFAM52	4	DN_chr7_78302321_9	chr7	78302321	78313662	9	-	22
GWFAM52	5	DN_chr7_101547785_11	chr7	101547785	101561864	11	+	33
GWFAM52	6	DN_chr7_103962063_9	chr7	103962063	103973553	9	+	257
GWFAM53	0	DN_chr7_68496695_2	chr7	68496695	68498931	2	+	19
GWFAM53	1	DN_chr7_76779010_2	chr7	76779010	76785303	2	-	7
GWFAM54	0	DN_chr7_68510452_5	chr7	68510452	68522660	5	-	29
GWFAM54	1	DN_chr7_74234305_14	chr7	74234305	74297915	14	+	9
GWFAM54	2	DN_chr7_76093057_7	chr7	76093057	76110051	7	+	9
GWFAM54	3	DN_chr7_76638835_5	chr7	76638835	76646259	5	-	3
GWFAM54	4	DN_chr7_78268905_13	chr7	78268905	78493017	13	+	2
GWFAM54	5	DN_chr7_101540123_7	chr7	101540123	101576443	7	-	26
GWFAM55	0	DN_chr7_74169423_3	chr7	74169423	74176532	3	+	283
GWFAM55	1	DN_chr7_74471345_9	chr7	74471345	74502657	9	+	3
GWFAM55	2	DN_chr7_76704061_3	chr7	76704061	76710484	3	-	193
GWFAM56	0	DN_chr7_74175816_4	chr7	74175816	74180642	4	-	41
GWFAM56	1	DN_chr7_76700063_4	chr7	76700063	76704731	4	+	60
GWFAM57	0	DN_chr7_74226723_6	chr7	74226723	74234169	6	-	29
GWFAM57	1	DN_chr7_76646609_6	chr7	76646609	76653875	6	+	13
GWFAM58	0	DN_chr7_75859853_33	chr7	75859853	75962982	33	+	108
GWFAM58	1	DN_chr7_76389249_24	chr7	76389249	76441408	24	-	29
GWFAM59	0	DN_chr7_75998460_16	chr7	75998460	76053901	16	-	15
GWFAM59	1	DN_chr7_76296469_16	chr7	76296469	76353769	16	+	19
GWFAM60	0	DN_chr8_7084743_2	chr8	7084743	7088680	2	-	3
GWFAM60	1	DN_chr8_12072284_7	chr8	12072284	12100698	7	+	4
GWFAM60	2	DN_chr8_12612912_7	chr8	12612912	12641394	7	+	13
GWFAM61	0	DN_chr9_39179080_9	chr9	39179080	39301963	9	-	29
GWFAM61	1	DN_chr9_43536410_8	chr9	43536410	43680114	8	-	19
GWFAM62	0	DN_chr9_41373515_6	chr9	41373515	41400750	6	+	3
GWFAM62	1	DN_chr9_43443305_4	chr9	43443305	43449767	4	-	3
GWFAM62	2	DN_chr9_79059977_3	chr9	79059977	79069496	3	+	9
GWFAM63	0	DN_chr9_42529784_5	chr9	42529784	42541590	5	+	10
GWFAM63	1	DN_chr9_77394514_5	chr9	77394514	77407977	5	+	96
GWFAM64	0	DN_chr9_43454753_2	chr9	43454753	43459162	2	-	7
GWFAM64	1	DN_chr9_79038465_3	chr9	79038465	79054747	3	+	5
GWFAM65	0	DN_chr9_44411329_2	chr9	44411329	44430820	2	+	3
GWFAM65	1	DN_chr9_79648576_2	chr9	79648576	79656132	2	+	86
