gene_a	gene_b
CHM13_G0002813	CHM13_G0002860
CHM13_G0002813	CHM13_G0002895
CHM13_G0002813	CHM13_G0003045
CHM13_G0002813	CHM13_G0003050
CHM13_G0002816	CHM13_G0002862
CHM13_G0002816	CHM13_G0003053
CHM13_G0002816	CHM13_G0003054
CHM13_G0002817	CHM13_G0002862
CHM13_G0002817	CHM13_G0002864
CHM13_G0002817	CHM13_G0003053
CHM13_G0002817	CHM13_G0003054
CHM13_G0002819	CHM13_G0002864
CHM13_G0002819	CHM13_G0003054
CHM13_G0002821	CHM13_G0002864
CHM13_G0002821	CHM13_G0003056
CHM13_G0002823	CHM13_G0002867
CHM13_G0002823	CHM13_G0002892
CHM13_G0002823	CHM13_G0002894
CHM13_G0002823	CHM13_G0004511
CHM13_G0002823	CHM13_G0004512
CHM13_G0002824	CHM13_G0002868
CHM13_G0002824	CHM13_G0002892
CHM13_G0002824	CHM13_G0004511
CHM13_G0002824	CHM13_G0004512
CHM13_G0002825	CHM13_G0002893
CHM13_G0002825	CHM13_G0004513
CHM13_G0002840	CHM13_G0002889
CHM13_G0002840	CHM13_G0031575
CHM13_G0002840	LOFF_G0000122
CHM13_G0002840	LOFF_G0001446
CHM13_G0002841	CHM13_G0002888
CHM13_G0002841	CHM13_G0031576
CHM13_G0002841	LOFF_G0000123
CHM13_G0002841	LOFF_G0001445
CHM13_G0002844	CHM13_G0002887
CHM13_G0002844	CHM13_G0014229
CHM13_G0002844	CHM13_G0031527
CHM13_G0002844	CHM13_G0031579
CHM13_G0002844	LOFF_G0000126
CHM13_G0002854	CHM13_G0003045
CHM13_G0002855	CHM13_G0003045
CHM13_G0002858	CHM13_G0002896
CHM13_G0002858	CHM13_G0003045
CHM13_G0002860	CHM13_G0002895
CHM13_G0002860	CHM13_G0003050
CHM13_G0002862	CHM13_G0003053
CHM13_G0002862	CHM13_G0003054
CHM13_G0002864	CHM13_G0003054
CHM13_G0002864	CHM13_G0003056
CHM13_G0002867	CHM13_G0002894
CHM13_G0002867	CHM13_G0004511
CHM13_G0002867	CHM13_G0004512
CHM13_G0002868	CHM13_G0002892
CHM13_G0002868	CHM13_G0004512
CHM13_G0002869	LOFF_G0000107
CHM13_G0002869	LOFF_G0000144
CHM13_G0002869	LOFF_G0001452
CHM13_G0002870	CHM13_G0002885
CHM13_G0002870	LOFF_G0000104
CHM13_G0002870	LOFF_G0000112
CHM13_G0002872	CHM13_G0002884
CHM13_G0002872	CHM13_G0002900
CHM13_G0002872	CHM13_G0002965
CHM13_G0002872	CHM13_G0003040
CHM13_G0002872	CHM13_G0003044
CHM13_G0002876	CHM13_G0002954
CHM13_G0002876	CHM13_G0003035
CHM13_G0002876	LOFF_G0000065
CHM13_G0002877	CHM13_G0002905
CHM13_G0002877	CHM13_G0002953
CHM13_G0002877	CHM13_G0003032
CHM13_G0002884	CHM13_G0002900
CHM13_G0002884	CHM13_G0002965
CHM13_G0002884	CHM13_G0003040
CHM13_G0002884	CHM13_G0003044
CHM13_G0002885	LOFF_G0000104
CHM13_G0002885	LOFF_G0000112
CHM13_G0002887	CHM13_G0014229
CHM13_G0002887	CHM13_G0031527
CHM13_G0002887	CHM13_G0031579
CHM13_G0002887	LOFF_G0000126
CHM13_G0002888	CHM13_G0031576
CHM13_G0002888	LOFF_G0000123
CHM13_G0002888	LOFF_G0001445
CHM13_G0002889	CHM13_G0031575
CHM13_G0002889	LOFF_G0000122
CHM13_G0002889	LOFF_G0001446
CHM13_G0002891	LOFF_G0000108
CHM13_G0002891	LOFF_G0000117
CHM13_G0002892	CHM13_G0004511
CHM13_G0002892	CHM13_G0004512
CHM13_G0002893	CHM13_G0004513
CHM13_G0002894	CHM13_G0004511
CHM13_G0002894	CHM13_G0004512
CHM13_G0002895	CHM13_G0003050
CHM13_G0002896	CHM13_G0002956
CHM13_G0002896	CHM13_G0003045
CHM13_G0002896	CHM13_G0003047
CHM13_G0002900	CHM13_G0003040
CHM13_G0002900	CHM13_G0003044
CHM13_G0002911	CHM13_G0002993
CHM13_G0002912	CHM13_G0002993
CHM13_G0002914	CHM13_G0002999
CHM13_G0002915	CHM13_G0002996
CHM13_G0002926	CHM13_G0016662
CHM13_G0002926	CHM13_G0016663
CHM13_G0002926	CHM13_G0016664
CHM13_G0002927	CHM13_G0016664
CHM13_G0002928	CHM13_G0016662
CHM13_G0002928	CHM13_G0016663
CHM13_G0002929	CHM13_G0016662
CHM13_G0002929	CHM13_G0016663
CHM13_G0002939	CHM13_G0002962
CHM13_G0002939	CHM13_G0003041
CHM13_G0002939	CHM13_G0003043
CHM13_G0002941	CHM13_G0002962
CHM13_G0002941	CHM13_G0003041
CHM13_G0002944	CHM13_G0002961
CHM13_G0002944	CHM13_G0013216
CHM13_G0002945	CHM13_G0002960
CHM13_G0002945	CHM13_G0003037
CHM13_G0002947	CHM13_G0002956
CHM13_G0002947	CHM13_G0002957
CHM13_G0002947	LOFF_G0000067
CHM13_G0002953	CHM13_G0003032
CHM13_G0002954	CHM13_G0003035
CHM13_G0002954	LOFF_G0000065
CHM13_G0002956	CHM13_G0002964
CHM13_G0002956	CHM13_G0002967
CHM13_G0002956	CHM13_G0003045
CHM13_G0002956	CHM13_G0003047
CHM13_G0002960	CHM13_G0003037
CHM13_G0002961	CHM13_G0013216
CHM13_G0002962	CHM13_G0003041
CHM13_G0002962	CHM13_G0003043
CHM13_G0002964	CHM13_G0003045
CHM13_G0002964	CHM13_G0003047
CHM13_G0002965	CHM13_G0003040
CHM13_G0002965	CHM13_G0003044
CHM13_G0002967	CHM13_G0003045
CHM13_G0002967	CHM13_G0003047
CHM13_G0002985	CHM13_G0003032
CHM13_G0002987	LOFF_G0000163
CHM13_G0002990	CHM13_G0003030
CHM13_G0002991	CHM13_G0027094
CHM13_G0003032	CHM13_G0022160
CHM13_G0003035	LOFF_G0000065
CHM13_G0003040	CHM13_G0003044
CHM13_G0003350	CHM13_G0005944
CHM13_G0003350	CHM13_G0044538
CHM13_G0003663	CHM13_G0003668
CHM13_G0003663	CHM13_G0003669
CHM13_G0003664	CHM13_G0003670
CHM13_G0003665	CHM13_G0003671
CHM13_G0003666	LOFF_G0000174
CHM13_G0003668	LOFF_G0000176
CHM13_G0003669	LOFF_G0000176
CHM13_G0003670	LOFF_G0000178
CHM13_G0003671	LOFF_G0000179
CHM13_G0003672	LOFF_G0000174
CHM13_G0003673	LOFF_G0000176
CHM13_G0003704	CHM13_G0006095
CHM13_G0003704	CHM13_G0006101
CHM13_G0004319	CHM13_G0039437
CHM13_G0004513	CHM13_G0006189
CHM13_G0004736	CHM13_G0048186
CHM13_G0004736	CHM13_G0048193
CHM13_G0004790	CHM13_G0004820
CHM13_G0004790	CHM13_G0005257
CHM13_G0004790	CHM13_G0042692
CHM13_G0004792	CHM13_G0004820
CHM13_G0004792	CHM13_G0005257
CHM13_G0004792	CHM13_G0042692
CHM13_G0004792	LOFF_G0001567
CHM13_G0004819	CHM13_G0004923
CHM13_G0004819	CHM13_G0005255
CHM13_G0004819	CHM13_G0006105
CHM13_G0004819	CHM13_G0035608
CHM13_G0004819	LOFF_G0000196
CHM13_G0004820	CHM13_G0005256
CHM13_G0004820	CHM13_G0005257
CHM13_G0004820	CHM13_G0006103
CHM13_G0004820	CHM13_G0035606
CHM13_G0004820	LOFF_G0000183
CHM13_G0004820	LOFF_G0000184
CHM13_G0004820	LOFF_G0000192
CHM13_G0004820	LOFF_G0000194
CHM13_G0004820	LOFF_G0000195
CHM13_G0004820	LOFF_G0001567
CHM13_G0004822	CHM13_G0006102
CHM13_G0004825	CHM13_G0034150
CHM13_G0004923	CHM13_G0035608
CHM13_G0004923	CHM13_G0035609
CHM13_G0004924	CHM13_G0034150
CHM13_G0004924	CHM13_G0034152
CHM13_G0004924	CHM13_G0034153
CHM13_G0004924	CHM13_G0035609
CHM13_G0005254	CHM13_G0006105
CHM13_G0005254	CHM13_G0006106
CHM13_G0005254	CHM13_G0006107
CHM13_G0005254	CHM13_G0034150
CHM13_G0005254	CHM13_G0034152
CHM13_G0005254	CHM13_G0034153
CHM13_G0005254	CHM13_G0035608
CHM13_G0005254	CHM13_G0035609
CHM13_G0005254	CHM13_G0042694
CHM13_G0005254	CHM13_G0042695
CHM13_G0005254	CHM13_G0049688
CHM13_G0005255	CHM13_G0006105
CHM13_G0005255	CHM13_G0035608
CHM13_G0005255	CHM13_G0042694
CHM13_G0005255	LOFF_G0002088
CHM13_G0005256	CHM13_G0006103
CHM13_G0005256	CHM13_G0042692
CHM13_G0005256	LOFF_G0000183
CHM13_G0005256	LOFF_G0000184
CHM13_G0005257	CHM13_G0006103
CHM13_G0005257	CHM13_G0035606
CHM13_G0005257	CHM13_G0042692
CHM13_G0005257	LOFF_G0000184
CHM13_G0005257	LOFF_G0001567
CHM13_G0005259	CHM13_G0042691
CHM13_G0005440	CHM13_G0025722
CHM13_G0005440	CHM13_G0036410
CHM13_G0005441	LOFF_G0001357
CHM13_G0005441	LOFF_G0001361
CHM13_G0005441	LOFF_G0001365
CHM13_G0005442	LOFF_G0001358
CHM13_G0005442	LOFF_G0001362
CHM13_G0005442	LOFF_G0001366
CHM13_G0005944	CHM13_G0044538
CHM13_G0006103	LOFF_G0001567
CHM13_G0006106	CHM13_G0034150
CHM13_G0006106	CHM13_G0034152
CHM13_G0006106	CHM13_G0034153
CHM13_G0006106	CHM13_G0049688
CHM13_G0006107	CHM13_G0034150
CHM13_G0006107	CHM13_G0034152
CHM13_G0006107	CHM13_G0049688
CHM13_G0006223	CHM13_G0006229
CHM13_G0006223	CHM13_G0006238
CHM13_G0006223	CHM13_G0006263
CHM13_G0006223	CHM13_G0006337
CHM13_G0006224	CHM13_G0006338
CHM13_G0006224	CHM13_G0006340
CHM13_G0006226	CHM13_G0006340
CHM13_G0006229	CHM13_G0006238
CHM13_G0006229	CHM13_G0006261
CHM13_G0006229	CHM13_G0006263
CHM13_G0006230	CHM13_G0006261
CHM13_G0006230	CHM13_G0006329
CHM13_G0006233	CHM13_G0006332
CHM13_G0006238	CHM13_G0006241
CHM13_G0006238	CHM13_G0006263
CHM13_G0006238	CHM13_G0006274
CHM13_G0006238	CHM13_G0006275
CHM13_G0006238	CHM13_G0006291
CHM13_G0006238	CHM13_G0006337
CHM13_G0006238	CHM13_G0006662
CHM13_G0006238	CHM13_G0006663
CHM13_G0006241	CHM13_G0006263
CHM13_G0006241	CHM13_G0006274
CHM13_G0006241	CHM13_G0006275
CHM13_G0006241	CHM13_G0006291
CHM13_G0006242	CHM13_G0006272
CHM13_G0006242	CHM13_G0006290
CHM13_G0006243	CHM13_G0006270
CHM13_G0006243	CHM13_G0006272
CHM13_G0006243	CHM13_G0006287
CHM13_G0006243	CHM13_G0006290
CHM13_G0006244	CHM13_G0006270
CHM13_G0006244	CHM13_G0006287
CHM13_G0006245	CHM13_G0006270
CHM13_G0006245	CHM13_G0006287
CHM13_G0006246	CHM13_G0006270
CHM13_G0006246	CHM13_G0006287
CHM13_G0006248	CHM13_G0006288
CHM13_G0006249	LOFF_G0000342
CHM13_G0006250	CHM13_G0006286
CHM13_G0006250	CHM13_G0006910
CHM13_G0006250	CHM13_G0006912
CHM13_G0006253	CHM13_G0006282
CHM13_G0006253	CHM13_G0006284
CHM13_G0006253	CHM13_G0006907
CHM13_G0006255	CHM13_G0006284
CHM13_G0006258	CHM13_G0006280
CHM13_G0006258	CHM13_G0006354
CHM13_G0006258	CHM13_G0006792
CHM13_G0006258	CHM13_G0006917
CHM13_G0006259	CHM13_G0006278
CHM13_G0006259	CHM13_G0006280
CHM13_G0006259	CHM13_G0006354
CHM13_G0006259	CHM13_G0006792
CHM13_G0006259	CHM13_G0006917
CHM13_G0006261	CHM13_G0006275
CHM13_G0006261	CHM13_G0006277
CHM13_G0006261	CHM13_G0006293
CHM13_G0006263	CHM13_G0006274
CHM13_G0006263	CHM13_G0006275
CHM13_G0006263	CHM13_G0006291
CHM13_G0006264	CHM13_G0006295
CHM13_G0006265	CHM13_G0006294
CHM13_G0006270	CHM13_G0006287
CHM13_G0006272	CHM13_G0006290
CHM13_G0006274	CHM13_G0006291
CHM13_G0006275	CHM13_G0006291
CHM13_G0006275	CHM13_G0006293
CHM13_G0006277	CHM13_G0006293
CHM13_G0006280	CHM13_G0006354
CHM13_G0006280	CHM13_G0006792
CHM13_G0006280	CHM13_G0006917
CHM13_G0006282	CHM13_G0006907
CHM13_G0006286	CHM13_G0006910
CHM13_G0006286	CHM13_G0006912
CHM13_G0006342	CHM13_G0006357
CHM13_G0006352	CHM13_G0006915
CHM13_G0006354	CHM13_G0006917
CHM13_G0006783	CHM13_G0006910
CHM13_G0006783	CHM13_G0032242
CHM13_G0006788	CHM13_G0006790
CHM13_G0006788	CHM13_G0006910
CHM13_G0006788	CHM13_G0006913
CHM13_G0006790	CHM13_G0006915
CHM13_G0006792	CHM13_G0006917
CHM13_G0006910	CHM13_G0006915
CHM13_G0006910	CHM13_G0032242
CHM13_G0006913	CHM13_G0006915
CHM13_G0007136	CHM13_G0013224
CHM13_G0007136	CHM13_G0013431
CHM13_G0007747	CHM13_G0007754
CHM13_G0007748	CHM13_G0007756
CHM13_G0007758	CHM13_G0043633
CHM13_G0007761	CHM13_G0043636
CHM13_G0007762	LOFF_G0002098
CHM13_G0007764	LOFF_G0002098
CHM13_G0007767	LOFF_G0002099
CHM13_G0007768	LOFF_G0002101
CHM13_G0007768	LOFF_G0002102
CHM13_G0007768	LOFF_G0002103
CHM13_G0007774	CHM13_G0043637
CHM13_G0007777	CHM13_G0043638
CHM13_G0007778	LOFF_G0002113
CHM13_G0007780	CHM13_G0020120
CHM13_G0007780	CHM13_G0026967
CHM13_G0007780	CHM13_G0032073
CHM13_G0007780	CHM13_G0041021
CHM13_G0007780	LOFF_G0002647
CHM13_G0007781	CHM13_G0020119
CHM13_G0007781	CHM13_G0020120
CHM13_G0007781	CHM13_G0026967
CHM13_G0007781	CHM13_G0026968
CHM13_G0007781	CHM13_G0032072
CHM13_G0007781	CHM13_G0032073
CHM13_G0007781	CHM13_G0041020
CHM13_G0007781	CHM13_G0055183
CHM13_G0007781	LOFF_G0001616
CHM13_G0007783	CHM13_G0032072
CHM13_G0007783	LOFF_G0000998
CHM13_G0007783	LOFF_G0001388
CHM13_G0007783	LOFF_G0001617
CHM13_G0007786	CHM13_G0041015
CHM13_G0007786	LOFF_G0000994
CHM13_G0007786	LOFF_G0001392
CHM13_G0007787	CHM13_G0041013
CHM13_G0007787	LOFF_G0000993
CHM13_G0007787	LOFF_G0001393
CHM13_G0007788	CHM13_G0041011
CHM13_G0007788	LOFF_G0000992
CHM13_G0007788	LOFF_G0001394
CHM13_G0007793	CHM13_G0022670
CHM13_G0007793	CHM13_G0022678
CHM13_G0007793	CHM13_G0022679
CHM13_G0007793	CHM13_G0026975
CHM13_G0007793	CHM13_G0026976
CHM13_G0007793	CHM13_G0034150
CHM13_G0007793	CHM13_G0034152
CHM13_G0007793	CHM13_G0034153
CHM13_G0007793	CHM13_G0035608
CHM13_G0007793	CHM13_G0035609
CHM13_G0007793	CHM13_G0041005
CHM13_G0007793	CHM13_G0041006
CHM13_G0007793	CHM13_G0049688
CHM13_G0007793	CHM13_G0057493
CHM13_G0007793	LOFF_G0002252
CHM13_G0007793	LOFF_G0002253
CHM13_G0007793	LOFF_G0002281
CHM13_G0007793	LOFF_G0002282
CHM13_G0007793	LOFF_G0002898
CHM13_G0007793	LOFF_G0002900
CHM13_G0007794	CHM13_G0022670
CHM13_G0007794	CHM13_G0022679
CHM13_G0007794	CHM13_G0026975
CHM13_G0007794	CHM13_G0034150
CHM13_G0007794	CHM13_G0034152
CHM13_G0007794	CHM13_G0034153
CHM13_G0007794	CHM13_G0035609
CHM13_G0007794	CHM13_G0041006
CHM13_G0007794	LOFF_G0002253
CHM13_G0007794	LOFF_G0002281
CHM13_G0007794	LOFF_G0002900
CHM13_G0007795	CHM13_G0022678
CHM13_G0007795	CHM13_G0022679
CHM13_G0007795	CHM13_G0022680
CHM13_G0007795	CHM13_G0026975
CHM13_G0007795	CHM13_G0026976
CHM13_G0007795	CHM13_G0035608
CHM13_G0007795	CHM13_G0035609
CHM13_G0007795	CHM13_G0041005
CHM13_G0007795	LOFF_G0001999
CHM13_G0007795	LOFF_G0002252
CHM13_G0007795	LOFF_G0002253
CHM13_G0007795	LOFF_G0002282
CHM13_G0007795	LOFF_G0002898
CHM13_G0007795	LOFF_G0002899
CHM13_G0007796	CHM13_G0022670
CHM13_G0007796	CHM13_G0022673
CHM13_G0007796	CHM13_G0022675
CHM13_G0007796	CHM13_G0022676
CHM13_G0007796	CHM13_G0022677
CHM13_G0007796	CHM13_G0026977
CHM13_G0007796	CHM13_G0026979
CHM13_G0007796	CHM13_G0026980
CHM13_G0007796	CHM13_G0035606
CHM13_G0007796	CHM13_G0041002
CHM13_G0007796	CHM13_G0046619
CHM13_G0007796	LOFF_G0002250
CHM13_G0007796	LOFF_G0002284
CHM13_G0007796	LOFF_G0002285
CHM13_G0007796	LOFF_G0002287
CHM13_G0007796	LOFF_G0002289
CHM13_G0007796	LOFF_G0002892
CHM13_G0007796	LOFF_G0002895
CHM13_G0007796	LOFF_G0002897
CHM13_G0007799	CHM13_G0022670
CHM13_G0007799	CHM13_G0022673
CHM13_G0007799	CHM13_G0026979
CHM13_G0007799	CHM13_G0041002
CHM13_G0007799	CHM13_G0041003
CHM13_G0007799	CHM13_G0057492
CHM13_G0007799	LOFF_G0001567
CHM13_G0007800	CHM13_G0022682
CHM13_G0008019	CHM13_G0008021
CHM13_G0008020	CHM13_G0008022
CHM13_G0008539	CHM13_G0038201
CHM13_G0009291	CHM13_G0009292
CHM13_G0009292	CHM13_G0009293
CHM13_G0009292	CHM13_G0009294
CHM13_G0009293	CHM13_G0009294
CHM13_G0010226	CHM13_G0010258
CHM13_G0010229	CHM13_G0010256
CHM13_G0010230	CHM13_G0010255
CHM13_G0010231	CHM13_G0010254
CHM13_G0010233	CHM13_G0010252
CHM13_G0010234	CHM13_G0010251
CHM13_G0010235	CHM13_G0010250
CHM13_G0010236	CHM13_G0010249
CHM13_G0010237	CHM13_G0010248
CHM13_G0010238	CHM13_G0010247
CHM13_G0010239	CHM13_G0010246
CHM13_G0010240	CHM13_G0010245
CHM13_G0010241	CHM13_G0010243
CHM13_G0011158	CHM13_G0020120
CHM13_G0011158	CHM13_G0020121
CHM13_G0011158	CHM13_G0026967
CHM13_G0011158	CHM13_G0032073
CHM13_G0011158	LOFF_G0001616
CHM13_G0011158	LOFF_G0002647
CHM13_G0011159	CHM13_G0035610
CHM13_G0011483	CHM13_G0011597
CHM13_G0011483	CHM13_G0033893
CHM13_G0011483	CHM13_G0033895
CHM13_G0011487	CHM13_G0011496
CHM13_G0011489	CHM13_G0011495
CHM13_G0011495	CHM13_G0011919
CHM13_G0011496	CHM13_G0011917
CHM13_G0013224	CHM13_G0013431
CHM13_G0014228	CHM13_G0035643
CHM13_G0014228	CHM13_G0035644
CHM13_G0014229	CHM13_G0031527
CHM13_G0014229	CHM13_G0031579
CHM13_G0014229	CHM13_G0035644
CHM13_G0014229	CHM13_G0035646
CHM13_G0014229	LOFF_G0000126
CHM13_G0014229	LOFF_G0001465
CHM13_G0014230	CHM13_G0031533
CHM13_G0014230	CHM13_G0031581
CHM13_G0014230	LOFF_G0001441
CHM13_G0014232	CHM13_G0031584
CHM13_G0014236	LOFF_G0000528
CHM13_G0014236	LOFF_G0000671
CHM13_G0014236	LOFF_G0000872
CHM13_G0014236	LOFF_G0001683
CHM13_G0014236	LOFF_G0001814
CHM13_G0014238	CHM13_G0035650
CHM13_G0014240	CHM13_G0035652
CHM13_G0014534	CHM13_G0038128
CHM13_G0015641	LOFF_G0000462
CHM13_G0015641	LOFF_G0000613
CHM13_G0015641	LOFF_G0000824
CHM13_G0015641	LOFF_G0001632
CHM13_G0015641	LOFF_G0001690
CHM13_G0015641	LOFF_G0001763
CHM13_G0015641	LOFF_G0001840
CHM13_G0015641	LOFF_G0001968
CHM13_G0015642	LOFF_G0000584
CHM13_G0015642	LOFF_G0001737
CHM13_G0015643	CHM13_G0055885
CHM13_G0015643	LOFF_G0000570
CHM13_G0015643	LOFF_G0001726
CHM13_G0015651	LOFF_G0001867
CHM13_G0015661	CHM13_G0015690
CHM13_G0015661	CHM13_G0015709
