fam	gene	chrom	start	end	bp	cls	bucket	rna_found	topup	n_exons	exonic_bp	exon_frac	n_cds	n_genes	biotypes
ID_207	SPDYE7P	chr7	74091027	74099848	8821	transcribed_pseudogene	FOUND:projection	True	False	8	1317	0.149	0	0	-
ID_12	POM121	chr7	74107538	74179670	72132	coding	FOUND:rna-split	True	False	363	144773	2.007	276	1	protein_coding
ID_407	NSUN5P2	chr7	74175809	74183019	7210	transcribed_pseudogene	FOUND:rna-split	True	False	35	21482	2.979	1	1	protein_coding
ID_407	TRIM74	chr7	74187708	74197691	9983	coding	MISS:resolved-elsewhere	False	False	55	10147	1.016	46	1	protein_coding
ID_8	PMS2P7	chr7	74233765	74249332	15567	transcribed_pseudogene	FOUND:rna-split	True	False	8	2421	0.156	0	1	protein_coding
ID_8	PMS2P11	chr7	74265295	74269589	4294	pseudogene	FOUND:protein-tail	True	False	0	0	0.0	0	0	-
ID_207	SPDYE17	chr7	74276649	74286089	9440	coding	FOUND:rna-split	True	False	14	4115	0.436	12	1	protein_coding
ID_8	PMS2P6	chr7	74293709	74305513	11804	pseudogene	FOUND:rna-split	True	False	3	3176	0.269	0	1	protein_coding
ID_207	SPDYE10P	chr7	74304323	74311264	6941	coding	FOUND:rna-split	True	False	17	6077	0.876	15	1	protein_coding
ID_402	NCF1B	chr7	74420835	74436153	15318	transcribed_pseudogene	MISS:mischain	False	True	8	1516	0.099	0	0	-
ID_374	GTF2IRD2P1	chr7	74442956	74480301	37345	pseudogene	FOUND:projection	True	False	0	0	0.0	0	0	-
ID_208	GTF2I	chr7	75852514	75962984	110470	coding	FOUND:protein-tail	True	False	184	24396	0.221	169	2	lncRNA;protein_coding
ID_402	NCF1	chr7	75976253	75991692	15439	coding	MISS:mischain	False	True	11	1349	0.087	11	1	protein_coding
ID_374	GTF2IRD2	chr7	75998458	76053859	55401	coding	FOUND:rna-split	True	False	315	82603	1.491	193	1	protein_coding
ID_8	PMS2P5	chr7	76096419	76100140	3721	transcribed_pseudogene	FOUND:protein-tail	True	False	9	1249	0.336	0	0	-
ID_207	SPDYE12P	chr7	76108976	76115619	6643	coding	FOUND:rna-split	True	False	6	827	0.124	6	1	protein_coding
ID_208	CASTOR2	chr7	76167037	76233789	66752	coding	MISS:collapse-K0	False	False	10	9061	0.136	10	2	protein_coding
ID_374	GTF2IRD2B	chr7	76296514	76353770	57256	coding	FOUND:rna-split	True	False	35	8526	0.149	33	1	protein_coding
ID_402	NCF1C	chr7	76360590	76375995	15405	transcribed_pseudogene	MISS:mischain	False	True	11	1383	0.09	0	0	-
ID_208	GTF2IP1	chr7	76389248	76441615	52367	transcribed_pseudogene	FOUND:protein-tail	True	False	26	3838	0.073	0	1	protein_coding
ID_207	SPDYE9	chr7	76510544	76520418	9874	piece-of-other	FOUND:rna-split	True	False	22	7877	0.798	18	2	protein_coding
ID_207	SPDYE8	chr7	76538561	76548009	9448	piece-of-other	FOUND:rna-split	True	False	8	2281	0.241	6	2	protein_coding
ID_207	SPDYE13	chr7	76568351	76574235	5884	coding	FOUND:rna-split	True	False	6	800	0.136	6	2	protein_coding
ID_8	PMS2P10	chr7	76575232	76586963	11731	piece-of-other	FOUND:projection	True	False	6	1987	0.169	5	2	protein_coding
ID_207	SPDYE14	chr7	76596367	76602252	5885	piece-of-other	FOUND:projection	True	False	0	0	0.0	0	1	protein_coding
ID_8	AC211486.3	chr7	76603248	76614958	11710	piece-of-other	FOUND:projection	True	False	5	603	0.051	5	1	protein_coding
ID_207	SPDYE15	chr7	76624357	76630241	5884	coding	FOUND:rna-split	True	False	12	1600	0.272	12	1	protein_coding
ID_8	PMS2P2	chr7	76631238	76646816	15578	transcribed_pseudogene	FOUND:rna-split	True	False	8	3549	0.228	0	1	protein_coding
ID_407	TRIM73	chr7	76682335	76698280	15945	coding	FOUND:rna-split	True	False	11	2182	0.137	4	1	protein_coding
ID_407	NSUN5P1	chr7	76697604	76704067	6463	transcribed_pseudogene	FOUND:rna-split	True	False	20	3649	0.565	0	1	protein_coding
ID_12	POM121C	chr7	76704064	76773584	69520	coding	FOUND:rna-split	True	False	27	9372	0.135	12	1	protein_coding
ID_207	SPDYE5	chr7	76780965	76791636	10671	coding	FOUND:protein-tail	True	False	8	3147	0.295	7	1	protein_coding
ID_207	SPDYE16	chr7	77810553	77820700	10147	coding	FOUND:projection	True	False	25	5905	0.582	23	1	protein_coding
ID_12	AC004980.1	chr7	77828590	77906904	78314	lncRNA	FOUND:rna-split	True	False	16	5506	0.07	10	2	lncRNA;protein_coding
ID_12	POMZP3	chr7	77889197	77906183	16986	piece-of-other	FOUND:rna-split	True	False	14	4142	0.244	10	2	lncRNA;protein_coding
ID_207	SPDYE18	chr7	78303830	78311572	7742	coding	FOUND:projection	True	False	14	2133	0.276	13	1	protein_coding
ID_207	SPDYE3	chr7	101547787	101562282	14495	coding	FOUND:rna-split	True	False	22	6370	0.439	20	1	protein_coding
ID_8	PMS2P1	chr7	101559306	101576392	17086	transcribed_pseudogene	FOUND:rna-split	True	False	15	5011	0.293	4	2	lncRNA;protein_coding
ID_207	SPDYE6	chr7	103663166	103673862	10696	coding	FOUND:projection	True	False	19	8152	0.762	18	1	protein_coding
ID_207	SPDYE2	chr7	103962118	103972964	10846	coding	FOUND:projection	True	False	26	5187	0.478	24	1	protein_coding
ID_127	TCAF2	chr7	144980464	145010762	30298	coding	FOUND:rna-split	True	False	79	44516	1.469	66	1	protein_coding
ID_127	AC099548.2	chr7	145042141	145117285	75144	transcribed_pseudogene	FOUND:rna-split	True	False	9	5312	0.071	0	0	-
ID_127	TCAF2C	chr7	145090337	145098763	8426	piece-of-other	FOUND:rna-split	True	False	6	4080	0.484	0	0	-
ID_490	ZNF705G	chr8	7084496	7114544	30048	piece-of-other	FOUND:rna-split	True	False	75	10350	0.344	37	2	lncRNA;protein_coding
ID_338	DEFB108C	chr8	7102093	7106486	4393	piece-of-other	MISS:seeding-gap	False	False	2	222	0.051	0	2	lncRNA;protein_coding
ID_458	SPAG11A	chr8	7171678	7192682	21004	piece-of-other	MISS:not-expressed	False	False	22	3763	0.179	22	2	lncRNA;protein_coding
ID_490	ZNF705D	chr8	7619008	7630136	11128	coding	FOUND:rna-split	True	False	11	6797	0.611	10	1	protein_coding
ID_338	DEFB108D	chr8	7634987	7639336	4349	piece-of-other	MISS:seeding-gap	False	False	2	221	0.051	0	1	protein_coding
ID_338	DEFB108A	chr8	12080371	12084735	4364	pseudogene	FOUND:protein-tail	True	False	2	224	0.051	0	1	protein_coding
ID_334	DEFB104B	chr8	12522996	12527770	4774	coding	MISS:not-expressed	False	False	2	282	0.059	2	1	protein_coding
ID_458	SPAG11B	chr8	12534401	12555431	21030	coding	MISS:not-expressed	False	False	19	2353	0.112	19	1	protein_coding
ID_490	ZNF705B	chr8	12612891	12638954	26063	pseudogene	FOUND:rna-split	True	False	2	222	0.009	0	0	-
ID_245	CNTNAP3	chr9	39086152	39301732	215580	coding	FOUND:rna-split	True	False	47	9945	0.046	47	1	protein_coding
ID_261	CNTNAP3P5	chr9	39786634	39796678	10044	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_261	AL513478.3	chr9	40182305	40186244	3939	lncRNA	MISS:collapse-K0	False	False	7	388	0.099	0	1	lncRNA
ID_260	AL513478.2	chr9	40202700	40208822	6122	pseudogene	MISS:genuine-miss	False	False	8	1535	0.251	0	1	lncRNA
ID_280	ANKRD20A3P	chr9	40211671	40284336	72665	transcribed_pseudogene	FOUND:rna-split	True	False	104	23973	0.33	0	1	lncRNA
ID_104	AL669942.1	chr9	40336207	40344131	7924	lncRNA	FOUND:rna-split	True	False	5	1543	0.195	0	1	lncRNA
ID_245	BX005040.4	chr9	41323315	41373554	50239	pseudogene	FOUND:rna-split	True	False	2	281	0.006	0	0	-
ID_147	AC125634.1	chr9	42529786	42537205	7419	transcribed_pseudogene	FOUND:rna-split	True	False	10	2280	0.307	0	0	-
ID_245	CNTNAP3B	chr9	43440746	43680056	239310	coding	FOUND:rna-split	True	False	451	113378	0.474	446	1	protein_coding
ID_359	FGF7P5	chr9	44178191	44179570	1379	pseudogene	FOUND:rna-split	True	False	2	293	0.212	0	0	-
ID_359	FGF7P7	chr9	44220295	44221682	1387	pseudogene	FOUND:rna-split	True	False	2	301	0.217	0	1	lncRNA
ID_261	BX664718.2	chr9	44277729	44354481	76752	pseudogene	FOUND:rna-split	True	False	7	2310	0.03	0	2	lncRNA
ID_260	MEP1AP4	chr9	44369523	44375633	6110	pseudogene	MISS:not-expressed	False	False	4	1094	0.179	0	0	-
ID_280	ANKRD20A7P	chr9	44382760	44503215	120455	pseudogene	FOUND:rna-split	True	False	20	9486	0.079	7	3	lncRNA;protein_coding
ID_104	CYP4F60P	chr9	44502952	44504018	1066	piece-of-other	FOUND:protein-tail	True	False	5	956	0.897	0	1	lncRNA
ID_348	DUX4L50	chr9	47737220	47737936	716	fragment	MISS:thin-single-exon	False	False	3	2151	3.004	0	1	lncRNA
ID_147	AL353626.3	chr9	77394972	77407442	12470	coding	FOUND:rna-split	True	False	18	2430	0.195	12	1	protein_coding
ID_104	FAM95B1	chr9	77797810	77805957	8147	unannotated	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_260	MEP1AP1	chr9	77952010	77958144	6134	pseudogene	MISS:genuine-miss	False	False	4	1097	0.179	0	0	-
ID_261	AL773545.4	chr9	77974578	77978517	3939	lncRNA	MISS:seeding-gap	False	False	4	294	0.075	0	1	lncRNA
ID_267	AL590399.2	chr9	78289826	78290136	310	fragment	FOUND:protein-tail	True	False	0	0	0.0	0	0	-
ID_245	CNTNAP3P2	chr9	78831664	79065816	234152	transcribed_pseudogene	FOUND:rna-split	True	False	24	3862	0.016	0	0	-
ID_280	ANKRD20A1	chr9	79615465	79703187	87722	lncRNA	FOUND:rna-split	True	False	44	7930	0.09	0	2	lncRNA
ID_261	CNTNAP3P1	chr9	80247804	80257862	10058	unannotated	MISS:not-expressed	False	False	0	0	0.0	0	0	-
ID_359	FGF7P8	chr9	80292843	80294222	1379	pseudogene	FOUND:rna-split	True	False	2	293	0.212	0	1	lncRNA
ID_35	FAM157B	chr9	150478579	150516124	37545	lncRNA	FOUND:protein-tail	True	False	17	12588	0.335	0	2	lncRNA
ID_35	AL133216.2	chr10	38447204	38496163	48959	lncRNA	FOUND:protein-tail	True	False	87	19526	0.399	0	2	lncRNA
ID_240	SYT15	chr10	47464575	47480533	15958	coding	FOUND:rna-split	True	False	95	56098	3.515	74	2	lncRNA;protein_coding
ID_443	SHLD2P1	chr10	47496904	47538456	41552	transcribed_pseudogene	FOUND:rna-split	True	False	14	6893	0.166	0	2	lncRNA
ID_327	CTSLP3	chr10	47641642	47647779	6137	pseudogene	FOUND:rna-split	True	False	1	138	0.022	0	0	-
ID_443	SHLD2P3	chr10	48581036	48621767	40731	transcribed_pseudogene	FOUND:rna-split	True	False	29	8842	0.217	0	3	lncRNA;protein_coding
ID_240	FO681492.1	chr10	48641165	48655007	13842	coding	FOUND:rna-split	True	False	96	58043	4.193	85	3	lncRNA;protein_coding
ID_327	CTSLP4	chr10	51553971	51557497	3526	pseudogene	FOUND:rna-split	True	False	7	1004	0.285	0	0	-
ID_327	CTSLP6	chr10	80739715	80743245	3530	pseudogene	FOUND:rna-split	True	False	7	1004	0.284	0	0	-
ID_443	SHLD2	chr10	87977792	88075100	97308	coding	FOUND:rna-split	True	False	270	98796	1.015	191	4	lncRNA;protein_coding
