family_id	gene	chrom	start	end	n_sibs	best_sibling(det)	best_id_to_sib	best_cov_of_shorter	class
ID_63	ANAPC1P1	chr2	86863741	86914950	7	ANAPC1P5(N)	0.984	0.340	partial-homology (cov<0.50; coverage-gate frontier)
ID_127	TCAF2	chr7	144980464	145010762	2	AC099548.2(N)	0.990	0.148	partial-homology (cov<0.50; coverage-gate frontier)
ID_431	PPIAL4A	chr1	120899120	120899781	0	?	0.00	0.00	singleton/no-reads
ID_431	PPIAL4E	chr1	143692933	143693719	0	?	0.00	0.00	singleton/no-reads
ID_431	PPIAL4C	chr1	148708008	148708609	0	?	0.00	0.00	singleton/no-reads
ID_334	DEFB104B	chr8	12522996	12527770	0	?	0.00	0.00	singleton/no-reads
ID_332	DDX11L16	chr16	4785	7013	0	?	0.00	0.00	singleton/no-reads
ID_391	WASH6P	chr16	6965	11846	0	?	0.00	0.00	singleton/no-reads
ID_167	AC133548.1	chr16	32772942	32779658	0	?	0.00	0.00	singleton/no-reads
ID_348	DUX4L50	chr9	47737220	47737936	0	?	0.00	0.00	singleton/no-reads
ID_222	AC243829.6	chr17	37415116	37415223	0	?	0.00	0.00	singleton/no-reads
ID_261	CNTNAP3P5	chr9	39786634	39796678	0	?	0.00	0.00	singleton/no-reads
ID_65	CR383656.5	chr14	13134773	13154353	0	?	0.00	0.00	singleton/no-reads
ID_302	BOLA2B	chr16	29735379	29736755	0	?	0.00	0.00	singleton/no-reads
ID_215	AC244669.2	chr1	120210345	120332947	0	?	0.00	0.00	singleton/no-reads
