family_id	gene	chrom	start	end	orig_primary_reads	best_sibling_id	unique_own_reads	ambig_own_mapq0	secondaries	detected_copy_nearby	cause
ID_127	TCAF2	chr7	144980464	145010762	267	0.9989	136	44	378	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_127	TCAF2C	chr7	145090337	145098763	83	NA	11	2	110	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_251	AL356585.4	chr13	13734170	13738626	140	0.9514	39	0	1091	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_14	LRRC37BP1	chr17	31574334	31581958	843	0.9816	304	1	3356	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_147	ANKRD30BP2	chr21	11382453	11411385	446	0.9629	331	2	7912	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_175	AC134878.2	chr22	5801017	5862418	466	0.9805	413	3	4478	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_251	ANKRD36B	chr2	97950885	98048181	4361	1.0000	3280	218	39477	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_127	AC099548.2	chr7	145042141	145117285	551	1.0000	78	51	2092	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_175	TEKT4P2	chr21	5692610	5754003	72	1.0000	24	1	4879	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
ID_431	PPIAL4A	chr1	120899120	120899781	0	0.9884	0	0	664	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_431	PPIAL4E	chr1	143692933	143693719	0	0.9980	0	0	679	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_431	PPIAL4C	chr1	148708008	148708609	0	NA	0	0	652	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_334	DEFB104B	chr8	12522996	12527770	0	NA	0	0	4	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_332	DDX11L16	chr16	4785	7013	0	0.9838	0	0	162	N	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_213	AC246785.1	chr1	143591826	143594083	1	0.9934	0	0	15	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_391	WASH6P	chr16	6965	11846	1	0.9872	0	11	1961	N	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_167	AC133548.1	chr16	32772942	32779658	1	0.9154	0	19	244	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_92	AC243829.7	chr17	37109490	37110818	1	0.9840	0	0	73	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_348	DUX4L50	chr9	47737220	47737936	3	NA	0	0	4	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_131	AC105272.1	chr1	103516936	103517135	4	NA	0	0	907	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_92	AC053481.4	chr17	63130560	63131864	4	NA	0	0	99	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_431	PPIAL4D	chr1	144366357	144366853	5	0.9839	0	0	562	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_222	AC243829.6	chr17	37415116	37415223	6	NA	0	0	1	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_261	CNTNAP3P5	chr9	39786634	39796678	7	0.9832	0	0	86	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_65	CR383656.5	chr14	13134773	13154353	8	0.9945	0	0	2210	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_146	AC233280.19	chr3	198342015	198343130	12	0.9865	0	0	17	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_226	H3P4	chr1	121127576	121127993	13	0.9737	0	0	4	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_26	AC006453.4	chr2	90228191	90245534	13	0.9582	0	8	225	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_402	NCF1B	chr7	74420835	74436153	15	0.9970	2	0	17	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_402	NCF1C	chr7	76360590	76375995	17	NA	2	0	14	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_411	OR11H13P	chr14	13493444	13494424	18	0.9806	2	0	6	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_240	SYT15	chr10	47464575	47480533	24	0.9968	0	0	143	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_226	H3C13	chr1	148937358	148937828	29	NA	0	0	6	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_313	CDH12P3	chr5	71589693	71589989	225	NA	0	0	23	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_407	TRIM74	chr7	74187708	74197691	105	0.9974	2	7	208	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_240	AL157893.1	chr10	88097762	88099813	41	NA	1	0	0	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_167	CHEK2P2	chr15	19353208	19362048	40	0.9583	0	1	230	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_78	AC243562.1	chr15	82144483	82145499	70	0.9695	0	0	35	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_302	BOLA2B	chr16	29735379	29736755	445	NA	0	19	24	Y	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_14	AC005562.2	chr17	31562334	31562446	525	NA	0	0	2	N	expressed-K=0: exon-homogenized (reads tie, genome <99.9% -> gene-conversion candidate)
ID_431	PPIAL4F	chr1	143472956	143473742	2	1.0000	0	0	681	Y	expressed-K=0: young identical (exon AND genome ~identical)
ID_215	AC244669.2	chr1	120210345	120332947	64	1.0000	0	14	1850	Y	expressed-K=0: young identical (exon AND genome ~identical)
ID_313	CDH12P1	chr5	70901860	70902156	188	1.0000	0	0	22	Y	expressed-K=0: young identical (exon AND genome ~identical)
ID_213	AC239809.1	chr1	146572932	146573150	5	NA	0	0	0	Y	silent (no reads on member)
ID_481	UBE2Q2P8	chr15	82169947	82170050	32	NA	0	0	0	Y	silent (no reads on member)
