family_id	gene	chrom	start	end	primary_reads	topup_added	best_sibling_id	control_detected	topup_detected	classification
ID_251	AL356585.4	chr13	13734170	13738626	140	0	0.9514	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_148	AC126603.1	chr15	18136928	18186041	50	0	0.9660	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_167	CHEK2P2	chr15	19353208	19362048	40	0	0.9583	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_156	WHAMMP3	chr15	20336417	20358287	362	0	0.9900	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_78	AC243562.1	chr15	82144483	82145499	70	0	0.9695	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_302	BOLA2B	chr16	29735379	29736755	445	0	NA	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_14	AC005562.2	chr17	31562334	31562446	525	0	NA	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_14	LRRC37BP1	chr17	31574334	31581958	843	0	0.9816	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_14	AC090616.5	chr17	33034040	33040757	54	0	0.9125	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_147	ANKRD30BP2	chr21	11382453	11411385	446	0	0.9629	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_175	AC134878.2	chr22	5801017	5862418	466	0	0.9805	N	N	structural: well-covered (>=40 reads), coverage not the issue
ID_215	AC244669.2	chr1	120210345	120332947	64	0	1.0000	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
ID_215	AC245297.1	chr1	145855639	145979396	226	0	0.9991	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
ID_63	ANAPC1P1	chr2	86863741	86914950	43	0	1.0000	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
ID_251	ANKRD36B	chr2	97950885	98048181	4361	0	1.0000	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
ID_313	CDH12P1	chr5	70901860	70902156	188	0	1.0000	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
ID_407	TRIM73	chr7	76682335	76698280	374	0	1.0000	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
ID_127	AC099548.2	chr7	145042141	145117285	551	0	1.0000	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
ID_175	TEKT4P2	chr21	5692610	5754003	72	0	1.0000	N	N	structural: well-covered (>=40 reads), coverage not the issue [K=0 near-identical]
