family_id	genes	chrom	n_soto_members	n_recovered_blind	sensitivity	precision	status	merge_evidence
ID_88	GOLGA6L10;GOLGA6L4;GOLGA6L5P;GOLGA6L9	chr15	4	4	1.0	1.0	EXACT	
ID_127	AC099548.2;TCAF2;TCAF2C	chr7	3	3	1.0	1.0	EXACT	
ID_179	ULK4P1;ULK4P2;ULK4P3	chr15	3	3	1.0	1.0	EXACT	
ID_209	AC233699.1;NPEPPS;NPEPPSP1	chr17	3	3	1.0	1.0	EXACT	
ID_24	AC239859.5;LSP1P4;LSP1P5	chr1	3	3	1.0	1.0	EXACT	
ID_260	AL513478.2;MEP1AP1;MEP1AP4	chr9	3	3	1.0	1.0	EXACT	
ID_374	GTF2IRD2;GTF2IRD2B;GTF2IRD2P1	chr7	3	3	1.0	1.0	EXACT	
ID_402	NCF1;NCF1B;NCF1C	chr7	3	3	1.0	1.0	EXACT	
ID_403	NF1P10;NF1P11;NF1P7	chr14	3	3	1.0	1.0	EXACT	
ID_411	OR11H1;OR11H12;OR11H13P	chr14	3	3	1.0	1.0	EXACT	
ID_443	SHLD2;SHLD2P1;SHLD2P3	chr10	3	3	1.0	1.0	EXACT	
ID_448	SEC22B;SEC22B2P;SEC22B3P	chr1	3	3	1.0	1.0	EXACT	
ID_474	TP53TG3B;TP53TG3C;TP53TG3D	chr16	3	3	1.0	1.0	EXACT	
ID_146	AC124944.2;AC233280.19	chr3	2	2	1.0	1.0	EXACT	
ID_175	AC134878.2;TEKT4P2	chr21	2	2	1.0	1.0	EXACT	
ID_300	BMS1P17;BMS1P22	chr14	2	2	1.0	1.0	EXACT	
ID_313	CDH12P1;CDH12P3	chr5	2	2	1.0	1.0	EXACT	
ID_386	LIMS1;LIMS4	chr2	2	2	1.0	1.0	EXACT	
ID_393	MST1L;MST1P2	chr1	2	2	1.0	1.0	EXACT	
ID_458	SPAG11A;SPAG11B	chr8	2	2	1.0	1.0	EXACT	
ID_92	AC053481.4;AC243829.7	chr17	2	2	1.0	1.0	EXACT	
ID_141	AC119751.3	chr3	1	1	1.0	1.0	EXACT	
ID_142	CR381670.1	chr14	1	1	1.0	1.0	EXACT	
ID_222	AC243829.6	chr17	1	1	1.0	1.0	EXACT	
ID_267	AL590399.2	chr9	1	1	1.0	1.0	EXACT	
ID_302	BOLA2B	chr16	1	1	1.0	1.0	EXACT	
ID_334	DEFB104B	chr8	1	1	1.0	1.0	EXACT	
ID_348	DUX4L50	chr9	1	1	1.0	1.0	EXACT	
