family	gene	locus	member_bp	fam_size	dna_best_paralog_id	dna_n_paralogs_ge90	dna_exists_in_genome	dna_pipeline_recovered	rna_recovered	rna_bucket
ID_215	PDE4DIP	chr1:145474975-145714337	239362	7	0.996	5	yes	yes	yes	FOUND:rna-split
ID_213	AC239804.2	chr1:145768949-145779518	10569	4	0.994	3	yes	yes	yes	FOUND:rna-split
ID_215	AC245297.1	chr1:145855639-145979396	123757	7	0.997	3	yes	yes	yes	FOUND:rna-split
ID_448	SEC22B2P	chr1:146003303-146015266	11963	3	0.999	3	yes	yes	yes	FOUND:projection
ID_400	NOTCH2NLB	chr1:146108307-146215315	107008	6	0.984	42	yes	yes	yes	FOUND:rna-split
ID_212	AC245100.8	chr1:146347679-146348727	1048	5	0.990	5	yes	yes	yes	FOUND:rna-split
ID_213	AC239809.1	chr1:146572932-146573150	218	4	0.995	7	yes	no	no	MISS:collapse-K0
ID_215	PDE4DIPP1	chr1:146713522-146726811	13289	7	0.980	4	yes	yes	yes	FOUND:rna-split
ID_213	AC245407.1	chr1:148346520-148348932	2412	4	0.994	3	yes	yes	no	MISS:collapse-K0
ID_400	NOTCH2NLC	chr1:148519505-148596912	77407	6	0.984	4	yes	yes	yes	FOUND:rna-split
ID_431	PPIAL4C	chr1:148708008-148708609	601	5	0.993	6	yes	yes	no	MISS:not-expressed
ID_212	LINC00869	chr1:148730482-148829853	99371	5	0.991	11	yes	yes	yes	FOUND:rna-split
ID_211	AC243772.3	chr1:148800985-148871935	70950	4	0.990	3	yes	yes	yes	FOUND:rna-split
ID_357	FCGR1A	chr1:148906815-148916660	9845	3	0.988	2	yes	yes	yes	FOUND:rna-split
ID_226	H2BC18	chr1:148906833-148936508	29675	5	0.974	2	yes	yes	yes	FOUND:rna-split
ID_226	H3C13	chr1:148937358-148937828	470	5	0.987	4	yes	yes	yes	FOUND:rna-split
ID_354	FAM72A	chr1:205450359-205468600	18241	4	0.993	3	yes	yes	yes	FOUND:rna-split
ID_462	SRGAP2	chr1:205466058-205728625	262567	4	0.991	4	yes	yes	yes	FOUND:rna-split
ID_35	AL592148.2	chr1:221743930-221753495	9565	10	0.979	15	yes	yes	yes	FOUND:projection
ID_35	GTF2IP20	chr1:223141181-223182346	41165	10	0.974	6	yes	yes	yes	FOUND:projection
ID_35	LINC01347	chr1:242467318-242512761	45443	10	0.985	17	yes	yes	yes	FOUND:protein-tail
ID_63	ANAPC1P1	chr2:86863741-86914950	51209	8	0.979	6	yes	yes	no	MISS:collapse-K0
ID_395	RGPD1	chr2:86909901-87019191	109290	6	0.992	5	yes	yes	yes	FOUND:rna-split
ID_63	ANAPC1P2	chr2:87037033-87058220	21187	8	0.981	3	yes	yes	yes	FOUND:rna-split
ID_63	ANAPC1P3	chr2:87123762-87126211	2449	8	0.998	4	yes	yes	no	MISS:mischain
ID_63	AC083899.1	chr2:87130427-87202282	71855	8	0.998	4	yes	yes	yes	FOUND:rna-split
ID_63	ANAPC1P4	chr2:87712968-87750095	37127	8	0.978	4	yes	yes	yes	FOUND:rna-split
ID_395	RGPD2	chr2:87767939-87837964	70025	6	0.992	2	yes	yes	yes	FOUND:rna-split
ID_63	ANAPC1P5	chr2:87992304-88004460	12156	8	0.979	4	yes	yes	no	MISS:mischain
ID_22	AC006453.1	chr2:89538522-89556925	18403	6	0.999	14	yes	yes	yes	FOUND:rna-split
ID_24	LSP1P5	chr2:90105022-90147871	42849	3	0.998	6	yes	yes	yes	FOUND:rna-split
ID_26	AC006453.4	chr2:90228191-90245534	17343	2	0.993	7	yes	yes	yes	FOUND:rna-split
ID_24	LSP1P4	chr2:91806874-91849698	42824	3	0.997	6	yes	yes	yes	FOUND:rna-split
ID_22	AC027612.2	chr2:91875827-91904480	28653	6	0.990	14	yes	yes	yes	FOUND:rna-split
ID_251	ANKRD36B	chr2:97950885-98048181	97296	2	0.974	15	yes	yes	no	MISS:seeding-gap
ID_395	RGPD3	chr2:106852051-106929839	77788	6	0.985	6	yes	yes	yes	FOUND:rna-split
ID_63	AC097527.1	chr2:106932223-106939096	6873	8	0.985	5	yes	yes	no	MISS:not-expressed
ID_395	RGPD4	chr2:108288410-108354099	65689	6	0.985	7	yes	yes	yes	FOUND:rna-split
ID_386	LIMS1	chr2:108994973-109147842	152869	2	0.980	4	yes	yes	yes	FOUND:rna-split
ID_386	LIMS4	chr2:110869109-110895544	26435	2	0.997	2	yes	yes	yes	FOUND:rna-split
ID_395	RGPD5	chr2:110936275-111001638	65363	6	0.993	7	yes	yes	yes	FOUND:protein-tail
ID_63	ANAPC1	chr2:112037440-112311134	273694	8	0.958	5	yes	yes	yes	FOUND:rna-split
ID_395	RGPD8	chr2:112795143-112861095	65952	6	0.967	7	yes	yes	yes	FOUND:protein-tail
ID_391	WASH2P	chr2:114013234-114023720	10486	5	0.987	7	yes	yes	yes	FOUND:rna-split
ID_332	DDX11L2	chr2:114023720-114025947	2227	6	0.986	11	yes	yes	yes	FOUND:rna-split
ID_65	FAR2P1	chr2:130441675-130470147	28472	9	0.953	6	yes	yes	yes	FOUND:rna-split
ID_65	CYP4F27P	chr2:130478035-130479051	1016	9	0.994	3	yes	yes	yes	FOUND:projection
ID_65	FAR2P2	chr2:130850654-130865267	14613	9	0.992	3	yes	yes	yes	FOUND:rna-split
ID_65	CYP4F62P	chr2:130863729-130875321	11592	9	0.998	3	yes	yes	yes	FOUND:rna-split
ID_65	CYP4F30P	chr2:131114190-131120019	5829	9	0.998	3	yes	yes	yes	FOUND:rna-split
ID_65	FAR2P3	chr2:131124287-131152985	28698	9	0.992	3	yes	yes	yes	FOUND:rna-split
ID_65	FAR2P4	chr2:131713789-131743753	29964	9	0.972	3	yes	yes	yes	FOUND:projection
ID_141	AC119751.3	chr3:95668991-95671638	2647	1	0.995	16	yes	yes	yes	FOUND:protein-tail
ID_146	AC233280.19	chr3:198342015-198343130	1115	2	0.996	2	yes	yes	yes	MISS:coverage-limited
ID_146	AC124944.2	chr3:198403551-198444967	41416	2	0.921	1	yes	yes	yes	FOUND:rna-split
ID_35	FAM157A	chr3:200883047-200954215	71168	10	0.987	11	yes	yes	yes	FOUND:projection
ID_391	WASH8P	chr3:201079783-201097278	17495	5	0.973	2	yes	yes	yes	FOUND:rna-split
ID_35	AC110079.1	chr4:121896771-121939030	42259	10	0.973	11	yes	yes	yes	FOUND:protein-tail
ID_35	GTF2IP12	chr4:122710627-122759756	49129	10	0.970	15	yes	yes	yes	FOUND:protein-tail
ID_163	GUSBP1	chr5:21350028-21696579	346551	6	0.977	24	yes	yes	yes	FOUND:rna-split
ID_399	NAIPP1	chr5:70432873-70449844	16971	4	0.990	1	yes	yes	yes	FOUND:protein-tail
ID_163	GUSBP3	chr5:70465243-70505040	39797	6	0.995	9	yes	yes	yes	FOUND:rna-split
ID_163	AC131392.1	chr5:70679155-70725182	46027	6	0.992	30	yes	yes	yes	FOUND:rna-split
ID_399	NAIPP2	chr5:70774918-70792685	17767	4	0.997	2	yes	yes	yes	FOUND:expr-collapse
ID_313	CDH12P1	chr5:70901860-70902156	296	2	1.000	3	yes	yes	no	MISS:genuine-miss
ID_163	GUSBP16	chr5:71208720-71252673	43953	6	0.993	25	yes	yes	yes	FOUND:rna-split
ID_399	NAIP	chr5:71424929-71482091	57162	4	0.997	1	yes	yes	yes	FOUND:rna-split
ID_399	NAIPP4	chr5:71559603-71585455	25852	4	0.994	3	yes	yes	yes	FOUND:rna-split
ID_313	CDH12P3	chr5:71589693-71589989	296	2	1.000	3	yes	yes	no	MISS:mischain
ID_163	AC146949.1	chr5:71701647-71740552	38905	6	0.995	9	yes	yes	yes	FOUND:rna-split
ID_182	FAM153B	chr5:176604120-176659690	55570	4	0.889	0	yes	yes	yes	FOUND:rna-split
ID_182	FAM153A	chr5:178251444-178327488	76044	4	0.954	2	yes	yes	yes	FOUND:rna-split
ID_35	AC008443.6	chr5:181851743-181855644	3901	10	0.988	15	yes	yes	no	MISS:seeding-gap
ID_163	GUSBP2	chr6:26739835-26824933	85098	6	0.971	23	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE1	chr7:44156261-44168507	12246	17	0.970	8	yes	yes	yes	FOUND:projection
ID_208	GTF2IP14	chr7:66290271-66306356	16085	5	0.975	1	yes	yes	yes	FOUND:projection
ID_208	GTF2IP5	chr7:66995739-67024210	28471	5	0.969	1	yes	yes	yes	FOUND:protein-tail
ID_207	SPDYE21	chr7:68498461-68506406	7945	17	0.978	8	yes	yes	yes	FOUND:projection
ID_8	PMS2P4	chr7:68507281-68522154	14873	9	0.978	8	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE7P	chr7:74091027-74099848	8821	17	0.968	8	yes	yes	yes	FOUND:projection
ID_12	POM121	chr7:74107538-74179670	72132	4	0.976	4	yes	yes	yes	FOUND:rna-split
ID_407	NSUN5P2	chr7:74175809-74183019	7210	4	0.985	1	yes	yes	yes	FOUND:rna-split
ID_407	TRIM74	chr7:74187708-74197691	9983	4	0.997	1	yes	yes	yes	MISS:resolved-elsewhere
ID_8	PMS2P7	chr7:74233765-74249332	15567	9	0.996	11	yes	yes	yes	FOUND:rna-split
ID_8	PMS2P11	chr7:74265295-74269589	4294	9	0.993	11	yes	yes	yes	FOUND:protein-tail
ID_207	SPDYE17	chr7:74276649-74286089	9440	17	0.998	9	yes	yes	yes	FOUND:rna-split
ID_8	PMS2P6	chr7:74293709-74305513	11804	9	0.997	11	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE10P	chr7:74304323-74311264	6941	17	0.998	8	yes	yes	yes	FOUND:rna-split
ID_402	NCF1B	chr7:74420835-74436153	15318	3	0.997	2	yes	yes	yes	MISS:mischain
ID_374	GTF2IRD2P1	chr7:74442956-74480301	37345	3	0.987	2	yes	yes	yes	FOUND:projection
ID_208	GTF2I	chr7:75852514-75962984	110470	5	0.995	2	yes	yes	yes	FOUND:protein-tail
ID_402	NCF1	chr7:75976253-75991692	15439	3	0.994	2	yes	yes	yes	MISS:mischain
ID_374	GTF2IRD2	chr7:75998458-76053859	55401	3	0.972	2	yes	yes	yes	FOUND:rna-split
ID_8	PMS2P5	chr7:76096419-76100140	3721	9	0.971	11	yes	yes	yes	FOUND:protein-tail
ID_207	SPDYE12P	chr7:76108976-76115619	6643	17	0.971	2	yes	yes	yes	FOUND:rna-split
ID_208	CASTOR2	chr7:76167037-76233789	66752	5	0.986	2	yes	yes	no	MISS:collapse-K0
ID_374	GTF2IRD2B	chr7:76296514-76353770	57256	3	0.987	2	yes	yes	yes	FOUND:rna-split
ID_402	NCF1C	chr7:76360590-76375995	15405	3	0.997	2	yes	yes	yes	MISS:mischain
ID_208	GTF2IP1	chr7:76389248-76441615	52367	5	0.997	3	yes	yes	yes	FOUND:protein-tail
ID_207	SPDYE9	chr7:76510544-76520418	9874	17	1.000	9	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE8	chr7:76538561-76548009	9448	17	1.000	10	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE13	chr7:76568351-76574235	5884	17	1.000	10	yes	yes	yes	FOUND:rna-split
ID_8	PMS2P10	chr7:76575232-76586963	11731	9	0.999	11	yes	yes	yes	FOUND:projection
ID_207	SPDYE14	chr7:76596367-76602252	5885	17	0.998	8	yes	yes	yes	FOUND:projection
ID_8	AC211486.3	chr7:76603248-76614958	11710	9	0.999	11	yes	yes	yes	FOUND:projection
ID_207	SPDYE15	chr7:76624357-76630241	5884	17	1.000	10	yes	yes	yes	FOUND:rna-split
ID_8	PMS2P2	chr7:76631238-76646816	15578	9	0.996	11	yes	yes	yes	FOUND:rna-split
ID_407	TRIM73	chr7:76682335-76698280	15945	4	0.997	1	yes	yes	yes	FOUND:rna-split
ID_407	NSUN5P1	chr7:76697604-76704067	6463	4	0.993	1	yes	yes	yes	FOUND:rna-split
ID_12	POM121C	chr7:76704064-76773584	69520	4	0.982	3	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE5	chr7:76780965-76791636	10671	17	0.978	8	yes	yes	yes	FOUND:protein-tail
ID_207	SPDYE16	chr7:77810553-77820700	10147	17	0.988	8	yes	yes	yes	FOUND:projection
ID_12	AC004980.1	chr7:77828590-77906904	78314	4	0.982	6	yes	yes	yes	FOUND:rna-split
ID_12	POMZP3	chr7:77889197-77906183	16986	4	0.983	2	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE18	chr7:78303830-78311572	7742	17	0.986	8	yes	yes	yes	FOUND:projection
ID_207	SPDYE3	chr7:101547787-101562282	14495	17	0.968	11	yes	yes	yes	FOUND:rna-split
ID_8	PMS2P1	chr7:101559306-101576392	17086	9	0.969	11	yes	yes	yes	FOUND:rna-split
ID_207	SPDYE6	chr7:103663166-103673862	10696	17	0.994	8	yes	yes	yes	FOUND:projection
ID_207	SPDYE2	chr7:103962118-103972964	10846	17	0.996	8	yes	yes	yes	FOUND:projection
ID_127	TCAF2	chr7:144980464-145010762	30298	3	0.999	2	yes	no	yes	FOUND:rna-split
ID_127	AC099548.2	chr7:145042141-145117285	75144	3	0.999	74	yes	yes	yes	FOUND:rna-split
ID_127	TCAF2C	chr7:145090337-145098763	8426	3	0.995	1	yes	yes	yes	FOUND:rna-split
ID_490	ZNF705G	chr8:7084496-7114544	30048	3	0.966	5	yes	yes	yes	FOUND:rna-split
ID_338	DEFB108C	chr8:7102093-7106486	4393	3	0.994	4	yes	yes	no	MISS:seeding-gap
ID_458	SPAG11A	chr8:7171678-7192682	21004	2	0.996	2	yes	yes	no	MISS:not-expressed
ID_490	ZNF705D	chr8:7619008-7630136	11128	3	0.998	6	yes	yes	yes	FOUND:rna-split
ID_338	DEFB108D	chr8:7634987-7639336	4349	3	0.961	5	yes	yes	no	MISS:seeding-gap
ID_338	DEFB108A	chr8:12080371-12084735	4364	3	0.994	4	yes	yes	yes	FOUND:protein-tail
ID_334	DEFB104B	chr8:12522996-12527770	4774	1	0.992	2	yes	yes	no	MISS:not-expressed
ID_458	SPAG11B	chr8:12534401-12555431	21030	2	0.995	2	yes	yes	no	MISS:not-expressed
ID_490	ZNF705B	chr8:12612891-12638954	26063	3	0.995	3	yes	yes	yes	FOUND:rna-split
ID_245	CNTNAP3	chr9:39086152-39301732	215580	4	0.983	2	yes	yes	yes	FOUND:rna-split
ID_261	CNTNAP3P5	chr9:39786634-39796678	10044	5	0.995	5	yes	yes	yes	FOUND:rna-split
ID_261	AL513478.3	chr9:40182305-40186244	3939	5	0.997	2	yes	yes	no	MISS:collapse-K0
ID_260	AL513478.2	chr9:40202700-40208822	6122	3	0.989	2	yes	yes	no	MISS:genuine-miss
ID_280	ANKRD20A3P	chr9:40211671-40284336	72665	3	0.993	5	yes	yes	yes	FOUND:rna-split
ID_104	AL669942.1	chr9:40336207-40344131	7924	3	0.994	4	yes	yes	yes	FOUND:rna-split
ID_245	BX005040.4	chr9:41323315-41373554	50239	4	0.988	3	yes	yes	yes	FOUND:rna-split
ID_147	AC125634.1	chr9:42529786-42537205	7419	4	0.997	3	yes	yes	yes	FOUND:rna-split
ID_245	CNTNAP3B	chr9:43440746-43680056	239310	4	0.991	3	yes	yes	yes	FOUND:rna-split
ID_359	FGF7P5	chr9:44178191-44179570	1379	5	1.000	8	yes	yes	yes	FOUND:rna-split
ID_359	FGF7P7	chr9:44220295-44221682	1387	5	1.000	8	yes	yes	yes	FOUND:rna-split
ID_261	BX664718.2	chr9:44277729-44354481	76752	5	0.980	11	yes	yes	yes	FOUND:rna-split
ID_260	MEP1AP4	chr9:44369523-44375633	6110	3	0.989	2	yes	yes	no	MISS:not-expressed
ID_280	ANKRD20A7P	chr9:44382760-44503215	120455	3	0.914	3	yes	yes	yes	FOUND:rna-split
ID_104	CYP4F60P	chr9:44502952-44504018	1066	3	0.984	4	yes	yes	yes	FOUND:protein-tail
ID_348	DUX4L50	chr9:47737220-47737936	716	1	0.975	4	yes	yes	no	MISS:thin-single-exon
ID_147	AL353626.3	chr9:77394972-77407442	12470	4	0.996	1	yes	yes	yes	FOUND:rna-split
ID_104	FAM95B1	chr9:77797810-77805957	8147	3	0.970	5	yes	yes	yes	FOUND:rna-split
ID_260	MEP1AP1	chr9:77952010-77958144	6134	3	0.987	2	yes	yes	no	MISS:genuine-miss
ID_261	AL773545.4	chr9:77974578-77978517	3939	5	0.997	2	yes	yes	no	MISS:seeding-gap
ID_267	AL590399.2	chr9:78289826-78290136	310	1	1.000	6	yes	yes	yes	FOUND:protein-tail
ID_245	CNTNAP3P2	chr9:78831664-79065816	234152	4	0.989	2	yes	yes	yes	FOUND:rna-split
ID_280	ANKRD20A1	chr9:79615465-79703187	87722	3	0.993	5	yes	yes	yes	FOUND:rna-split
ID_261	CNTNAP3P1	chr9:80247804-80257862	10058	5	0.983	5	yes	yes	no	MISS:not-expressed
ID_359	FGF7P8	chr9:80292843-80294222	1379	5	0.994	8	yes	yes	yes	FOUND:rna-split
ID_35	FAM157B	chr9:150478579-150516124	37545	10	0.987	22	yes	yes	yes	FOUND:protein-tail
ID_35	AL133216.2	chr10:38447204-38496163	48959	10	0.972	12	yes	yes	yes	FOUND:protein-tail
ID_240	SYT15	chr10:47464575-47480533	15958	3	0.997	2	yes	yes	yes	FOUND:rna-split
ID_443	SHLD2P1	chr10:47496904-47538456	41552	3	0.993	2	yes	yes	yes	FOUND:rna-split
ID_327	CTSLP3	chr10:47641642-47647779	6137	4	0.991	4	yes	yes	yes	FOUND:rna-split
ID_443	SHLD2P3	chr10:48581036-48621767	40731	3	0.993	2	yes	yes	yes	FOUND:rna-split
ID_240	FO681492.1	chr10:48641165-48655007	13842	3	0.997	2	yes	yes	yes	FOUND:rna-split
ID_327	CTSLP4	chr10:51553971-51557497	3526	4	0.988	4	yes	yes	yes	FOUND:rna-split
ID_327	CTSLP6	chr10:80739715-80743245	3530	4	0.985	4	yes	yes	yes	FOUND:rna-split
ID_443	SHLD2	chr10:87977792-88075100	97308	3	0.960	2	yes	yes	yes	FOUND:rna-split
ID_240	AL157893.1	chr10:88097762-88099813	2051	3	0.966	2	yes	yes	yes	FOUND:rna-split
ID_327	CTSLP1	chr10:88270282-88273802	3520	4	0.988	4	yes	yes	yes	FOUND:rna-split
ID_332	FO538757.1	chr11:3740-5220	1480	6	0.995	11	yes	yes	yes	MISS:resolved-elsewhere
ID_391	WASHC1	chr11:5922-16459	10537	5	0.995	7	yes	yes	yes	FOUND:rna-split
ID_43	TRIM64DP	chr11:89696664-89702267	5603	4	0.997	1	yes	yes	yes	FOUND:protein-tail
ID_43	TRIM64B	chr11:89788985-89795720	6735	4	0.998	1	yes	yes	no	MISS:not-expressed
ID_43	TRIM64	chr11:89888639-89894223	5584	4	0.998	1	yes	yes	no	MISS:collapse-K0
ID_43	TRIM64EP	chr11:89977681-89983077	5396	4	0.997	1	yes	yes	yes	FOUND:protein-tail
ID_332	DDX11L5	chr12:5135-6786	1651	6	0.998	11	yes	yes	yes	FOUND:projection
ID_49	AC009533.1	chr12:9259741-9295801	36060	3	0.985	2	yes	yes	yes	FOUND:rna-split
ID_49	DDX12P	chr12:9401422-9430965	29543	3	0.985	2	yes	yes	yes	FOUND:rna-split
ID_49	DDX11	chr12:30948352-30979293	30941	3	0.962	2	yes	yes	yes	FOUND:protein-tail
ID_22	AL356585.3	chr13:13560341-13578654	18313	6	0.981	14	yes	yes	yes	FOUND:rna-split
ID_251	AL356585.4	chr13:13734170-13738626	4456	2	0.977	5	yes	yes	yes	FOUND:rna-split
ID_147	FO681491.1	chr13:17624760-17647558	22798	4	0.976	3	yes	yes	yes	FOUND:rna-split
ID_142	CR381670.1	chr14:5759975-5783699	23724	1	0.997	15	yes	yes	yes	FOUND:rna-split
ID_411	OR11H12	chr14:13104431-13105517	1086	3	0.994	3	yes	yes	no	MISS:not-expressed
ID_65	CR383656.5	chr14:13134773-13154353	19580	9	0.995	2	yes	yes	no	MISS:not-expressed
ID_403	NF1P10	chr14:13212855-13215996	3141	3	0.996	3	yes	yes	yes	FOUND:rna-split
ID_411	OR11H13P	chr14:13493444-13494424	980	3	0.981	3	yes	yes	no	MISS:genuine-miss
ID_300	BMS1P17	chr14:13614822-13630011	15189	2	0.997	2	yes	yes	yes	FOUND:protein-tail
ID_403	NF1P7	chr14:13803703-13813427	9724	3	0.956	3	yes	yes	yes	FOUND:rna-split
ID_148	AC126603.1	chr15:18136928-18186041	49113	2	0.993	1	yes	yes	no	MISS:genuine-miss
ID_188	HERC2P3	chr15:18291208-18418223	127015	4	0.994	4	yes	yes	yes	FOUND:rna-split
ID_71	AC023310.1	chr15:18428068-18432445	4377	5	0.996	6	yes	yes	yes	FOUND:projection
ID_116	GOLGA6L6	chr15:18443672-18453636	9964	6	0.966	6	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8CP	chr15:18474211-18487534	13323	16	0.996	6	yes	yes	yes	FOUND:rna-split
ID_167	CHEK2P2	chr15:19353208-19362048	8840	3	0.997	6	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8EP	chr15:20099133-20109998	10865	16	0.996	6	yes	yes	yes	FOUND:rna-split
ID_116	GOLGA6L22	chr15:20130998-20141345	10347	6	0.981	6	yes	yes	yes	FOUND:rna-split
ID_71	HERC2P7	chr15:20152552-20156955	4403	5	0.996	6	yes	yes	yes	FOUND:rna-split
ID_188	HERC2P2	chr15:20166919-20262941	96022	4	0.986	4	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8IP	chr15:20278132-20289966	11834	16	0.973	9	yes	yes	yes	FOUND:rna-split
ID_156	WHAMMP3	chr15:20336417-20358287	21870	5	0.971	2	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8DP	chr15:20841226-20854575	13349	16	0.996	6	yes	yes	yes	FOUND:rna-split
ID_116	GOLGA6L1	chr15:21006515-21016292	9777	6	0.993	6	yes	yes	yes	FOUND:rna-split
ID_71	AC242376.1	chr15:21046171-21050536	4365	5	0.994	6	yes	yes	yes	FOUND:rna-split
ID_116	AC100756.3	chr15:21062528-21070403	7875	6	0.997	6	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8S	chr15:21091024-21103533	12509	16	0.968	6	yes	yes	yes	FOUND:rna-split
ID_188	HERC2	chr15:25853559-26064943	211384	4	0.921	3	yes	yes	yes	FOUND:rna-split
ID_71	AC091304.3	chr15:26074992-26079365	4373	5	0.998	6	yes	yes	yes	FOUND:rna-split
ID_116	AC091304.1	chr15:26091804-26100822	9018	6	0.998	6	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8F	chr15:26121343-26134741	13398	16	1.000	6	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8G	chr15:26296346-26309751	13405	16	1.000	6	yes	yes	yes	FOUND:rna-split
ID_116	AC138749.1	chr15:26330348-26338091	7743	6	0.997	6	yes	yes	yes	FOUND:rna-split
ID_71	HERC2P11	chr15:26351728-26356111	4383	5	0.998	6	yes	yes	yes	FOUND:rna-split
