source	chrom	read_name	start	end	strand	exons
rustle	NC_073243.2	m64076_221110_210557/46203960/ccs	104801107	104805196	-1	104801107-104801463,104804730-104804832,104805128-104805196
rustle	NC_073243.2	m64076_221110_210557/85133633/ccs	104810180	104846638	-1	104810180-104813257,104814772-104814847,104816966-104817056,104822327-104822422,104822562-104822755,104840115-104840249,104845549-104845651,104846477-104846638
rustle	NC_073243.2	m64076_221110_210557/150078545/ccs	104811767	104846638	-1	104811767-104813257,104814772-104814847,104816966-104817056,104822327-104822422,104822562-104822748,104840115-104840249,104845549-104845651,104846477-104846638
rustle	NC_073243.2	m64076_221110_210557/51513150/ccs	104812710	104846589	-1	104812710-104813257,104814772-104814852,104822327-104822422,104822562-104822755,104832295-104832365,104840115-104840249,104845549-104845651,104846477-104846589
rustle	NC_073243.2	m64076_221110_210557/15665724/ccs	104815873	104823369	-1	104815873-104817056,104822327-104822422,104822562-104822755,104823210-104823369
rustle	NC_073243.2	m64076_221110_210557/73925815/ccs	104827169	104837094	1	104827169-104827222,104832043-104832171,104832986-104833015,104833285-104833335,104833424-104833517,104833600-104833706,104834953-104835011,104835341-104835482,104835777-104837094
rustle	NC_073243.2	m64076_221110_210557/133301052/ccs	104830527	104837091	1	104830527-104830737,104832043-104832171,104832986-104833015,104833285-104833335,104833424-104833517,104833600-104833706,104834953-104835011,104835341-104835482,104835778-104837091
rustle	NC_073243.2	m64076_221110_210557/12454342/ccs	104830592	104836766	1	104830592-104830737,104832986-104833015,104833285-104833335,104833424-104833517,104833600-104833706,104834953-104835011,104835341-104835482,104835777-104836766
rustle	NC_073243.2	m64076_221110_210557/57344061/ccs	104857408	104857769	-1	104857408-104857769
rustle	NC_073243.2	m64076_221110_210557/128647361/ccs	104868815	104875528	-1	104868815-104869549,104873850-104875528
rustle	NC_073243.2	m64076_221110_210557/91422818/ccs	104868882	104887402	-1	104868882-104869801,104880911-104881045,104886347-104886449,104887275-104887402
rustle	NC_073243.2	m64076_221110_210557/154667472/ccs	104869045	104887387	-1	104869045-104869801,104880911-104881045,104886347-104886449,104887275-104887387
rustle	NC_073243.2	m64076_221110_210557/3081015/ccs	104871396	104877901	1	104871396-104871545,104872851-104872979,104873794-104873823,104874093-104874143,104874232-104874325,104874408-104874514,104875759-104875817,104876147-104876288,104876583-104877901
rustle	NC_073243.2	m64076_221110_210557/10093997/ccs	104871397	104877901	1	104871397-104871545,104873794-104873823,104874093-104874143,104874232-104874325,104874408-104874514,104875759-104875817,104876147-104876288,104876583-104877901
rustle	NC_073243.2	m64076_221110_210557/135006480/ccs	104887557	104891922	1	104887557-104887758,104890188-104891922
rustle	NC_073243.2	m64076_221110_210557/27134672/ccs	104896228	104903401	-1	104896228-104896469,104899350-104899482,104901055-104903401
